Season,GROUP_SET,PLAYER_ID,PLAYER_NAME,NICKNAME,TEAM_ID,TEAM_ABBREVIATION,AGE,GP,W,L,W_PCT,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,TOV,STL,BLK,BLKA,PF,PFD,PTS,PLUS_MINUS,NBA_FANTASY_PTS,DD2,TD3,WNBA_FANTASY_PTS,GP_RANK,W_RANK,L_RANK,W_PCT_RANK,MIN_RANK,FGM_RANK,FGA_RANK,FG_PCT_RANK,FG3M_RANK,FG3A_RANK,FG3_PCT_RANK,FTM_RANK,FTA_RANK,FT_PCT_RANK,OREB_RANK,DREB_RANK,REB_RANK,AST_RANK,TOV_RANK,STL_RANK,BLK_RANK,BLKA_RANK,PF_RANK,PFD_RANK,PTS_RANK,PLUS_MINUS_RANK,NBA_FANTASY_PTS_RANK,DD2_RANK,TD3_RANK,WNBA_FANTASY_PTS_RANK
2023-24,Players,1631260,AJ Green,AJ,1610612749,MIL,24.0,3,1,2,0.333,4.921666666666667,0,1,0.0,0,1,0.0,0,0,0.0,0,0,0,1,0,0,0,0,0,0,0,-1,1.5,0,0,1.0,329,284,86,169,345,315,322,315,198,226,198,204,214,204,243,319,350,191,216,190,149,1,1,245,326,252,366,192,17,369
2023-24,Players,1631100,AJ Griffin,AJ,1610612737,ATL,20.0,1,0,1,0.0,0.75,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,5,0.0,0,0,0.0,399,361,16,361,420,315,371,315,198,299,198,204,214,204,243,319,350,276,216,190,149,1,1,245,326,140,391,192,17,391
2023-24,Players,1630639,AJ Lawson,AJ,1610612742,DAL,23.0,1,0,1,0.0,1.0516666666666667,0,1,0.0,0,1,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,-6,0.0,0,0,0.0,399,361,16,361,414,315,322,315,198,226,198,204,214,204,243,319,350,276,216,190,149,1,1,245,326,333,391,192,17,391
2023-24,Players,203932,Aaron Gordon,Aaron,1610612743,DEN,28.0,26,12,14,0.462,59.806666666666665,11,17,0.647,1,4,0.25,6,8,0.75,4,7,11,7,2,2,1,1,6,5,29,21,59.7,4,0,54.0,25,10,366,93,51,48,84,56,126,130,149,55,57,128,36,56,50,39,83,40,55,285,357,67,57,48,46,60,17,57
2023-24,Players,1628988,Aaron Holiday,Aaron,1610612745,HOU,27.0,13,1,12,0.077,15.37,0,4,0.0,0,3,0.0,1,1,1.0,1,2,3,1,1,1,0,0,3,2,1,-29,8.1,0,0,7.0,170,284,325,353,240,315,219,315,198,160,198,162,186,1,136,189,197,191,135,85,149,1,252,127,321,426,270,192,17,266
2023-24,Players,1630174,Aaron Nesmith,Aaron,1610612754,IND,24.0,22,6,16,0.273,59.42166666666667,7,20,0.35,1,8,0.125,7,9,0.778,2,5,7,2,1,1,2,7,12,9,22,9,41.4,1,0,38.0,65,89,396,239,53,85,71,229,126,83,190,48,47,125,85,88,96,139,135,85,21,451,439,23,81,103,88,128,17,92
2023-24,Players,1630598,Aaron Wiggins,Aaron,1610612760,OKC,25.0,12,3,9,0.25,28.64666666666667,5,7,0.714,1,2,0.5,0,0,0.0,1,2,3,2,1,2,0,0,1,0,11,3,22.6,0,0,21.0,179,190,278,261,171,112,169,38,126,186,38,204,214,204,136,189,197,139,135,40,149,1,122,245,146,160,164,192,17,163
2023-24,Players,1641766,Adama Sanogo,Adama,1610612741,CHI,22.0,1,1,0,1.0,2.283333333333333,0,0,0.0,0,0,0.0,1,2,0.5,0,1,1,0,1,0,0,0,2,1,1,4,1.2,1,0,2.0,399,284,1,1,388,315,371,315,198,299,198,162,141,173,243,250,277,276,135,190,149,1,198,167,321,149,371,128,17,351
2023-24,Players,201143,Al Horford,Al,1610612738,BOS,38.0,9,3,6,0.333,36.71,3,9,0.333,2,4,0.5,0,0,0.0,4,4,8,2,2,0,0,0,2,0,8,25,18.6,1,0,20.0,228,190,204,169,137,165,147,233,91,130,38,204,214,204,36,110,81,139,83,190,149,1,198,245,177,37,178,128,17,169
2023-24,Players,202692,Alec Burks,Alec,1610612752,NYK,32.0,14,1,13,0.071,42.24,5,19,0.263,4,12,0.333,1,1,1.0,1,2,3,2,0,0,2,1,4,6,15,-40,27.6,0,0,28.0,156,284,352,355,117,112,75,279,41,46,105,162,186,1,136,189,197,139,216,190,21,285,288,53,114,439,143,192,17,135
2023-24,Players,1630197,Aleksej Pokusevski,Aleksej,1610612766,CHA,22.0,5,2,3,0.4,12.77,1,3,0.333,0,2,0.0,0,0,0.0,0,1,1,0,0,0,1,0,1,0,2,13,6.2,0,0,5.0,292,227,120,124,266,238,246,233,198,186,198,204,214,204,243,250,277,276,216,190,55,1,122,245,274,82,292,192,17,299
2023-24,Players,1627936,Alex Caruso,Alex,1610612741,CHI,30.0,31,16,15,0.516,94.38333333333334,12,22,0.545,8,16,0.5,6,7,0.857,4,15,19,10,7,8,6,1,15,6,38,75,110.8,1,0,103.0,7,1,384,53,6,43,63,85,3,23,38,55,64,97,36,8,14,20,4,1,4,285,449,53,40,4,5,128,17,7
2023-24,Players,203458,Alex Len,Alex,1610612758,SAC,31.0,3,0,3,0.0,0.035,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,-2,0.0,0,0,0.0,329,361,120,361,447,315,371,315,198,299,198,204,214,204,243,319,350,276,216,190,149,1,1,245,326,273,391,192,17,391
2023-24,Players,1630578,Alperen Sengun,Alperen,1610612745,HOU,21.0,23,7,16,0.304,64.87333333333333,19,37,0.514,0,1,0.0,18,27,0.667,8,10,18,6,5,4,1,2,17,17,56,3,96.6,11,1,90.0,55,69,396,209,39,15,26,95,198,226,198,4,3,141,5,29,16,50,18,3,55,383,451,4,16,160,13,19,8,15
2023-24,Players,1641735,Amari Bailey,Amari,1610612766,CHA,20.0,1,1,0,1.0,1.4333333333333333,1,2,0.5,0,0,0.0,0,0,0.0,2,0,2,1,0,0,0,0,0,0,2,5,5.9,0,0,5.0,399,284,1,1,408,238,276,96,198,299,198,204,214,204,85,319,229,191,216,190,149,1,1,245,274,140,297,192,17,299
2023-24,Players,1641708,Amen Thompson,Amen,1610612745,HOU,21.0,11,3,8,0.273,15.868333333333334,4,6,0.667,1,1,1.0,1,1,1.0,3,4,7,1,0,2,0,1,4,1,10,-7,25.9,6,0,23.0,192,190,252,239,235,141,189,41,126,226,1,162,186,1,46,110,96,191,216,40,149,285,288,167,157,342,153,37,17,152
2023-24,Players,1629599,Amir Coffey,Amir,1610612746,LAC,27.0,11,5,6,0.455,17.091666666666665,3,4,0.75,3,4,0.75,1,3,0.333,0,0,0,3,0,1,0,0,1,2,10,-6,17.5,1,0,18.0,192,115,204,98,227,165,219,31,65,130,18,162,115,199,243,319,350,103,216,85,149,1,122,127,157,333,190,128,17,179
