Season,PLAYER_ID,PLAYER_NAME,TEAM_ABBREVIATION,POS,AGE,GP,MPG,USG,OFF,DEF,EPM,EW,TS_PCT,EFG_PCT,RIM_PCT,MID_PCT,FG3_PCT,FT_PCT,OREB_PCT,DREB_PCT,AST_PCT,TOV_PCT,STL_PCT,BLK_PCT,RK
2025-26,,Shai Gilgeous-Alexander,OKC,PG,27,68,33.2,32.5,7.3,2,9.3,19.1,67,59.7,68.8,54.6,38.6,88.1,1.9,11.5,33.2,8.7,2,2.2,1
2025-26,,Victor Wembanyama,SAS,C,22,64,29.1,32.2,4.3,4.4,8.7,15.2,62.5,56.9,73.1,40.7,34.9,82.7,8.1,32.6,17,10.8,1.7,10,2
2025-26,,Nikola Jokic,DEN,C,30,65,34.8,29.1,7.5,0.7,8.1,17.3,66.9,61.8,70.8,57.6,38,83.1,10.1,30.9,45.8,15.3,1.9,2.2,3
2025-26,,Giannis Antetokounmpo,MIL,PF,31,36,28.9,36.3,5.8,1.6,7.4,7.4,65.9,63.6,75.8,28.1,33.3,64.8,10.8,26.2,34.4,13.3,1.6,2.1,4
2025-26,,Kawhi Leonard,LAC,SF,34,65,32.1,32.9,6.2,0.4,6.6,13.8,63.3,57.3,70,51.1,38.7,89.1,4,18.5,19.3,8.5,2.9,1.2,5
2025-26,,Luka Doncic,LAL,PG,26,64,35.8,37,6.4,0.2,6.6,15.1,61.8,56.3,75.7,51,36.6,77.9,2.2,22,38.7,12.8,2.2,1.4,6
2025-26,,Ty Jerome,MEM,SG,28,15,22.5,34.1,7.1,-0.9,6.2,2.1,62.5,57.2,57.1,50,42,87.5,3.9,10.7,40.9,10.3,2.3,1.1,7
2025-26,,Chet Holmgren,OKC,C,23,69,28.9,21.7,2.2,3.8,6,12.3,65.2,61.4,74.2,49,36.2,79.2,7.6,25,8.2,10.6,1,6.4,8
2025-26,,Donovan Mitchell,CLE,SG,29,70,33.5,31.4,5.2,-0.2,5,12.9,61.7,56.3,64.3,52.6,36.4,86.8,2.4,12.5,26.6,11.1,2.1,0.8,9
2025-26,,Stephen Curry,GSW,PG,37,43,30.9,31.2,5.6,-0.6,5,7.3,64.8,58.7,67.1,50.6,39.3,92.7,1.4,11.4,24.5,12.1,1.7,1.2,10
2025-26,,Jalen Duren,DET,C,22,70,28.4,23.2,3.4,1.1,4.6,10.3,69,65,69.9,45.3,,74.9,15.2,26.2,10.4,11.6,1.4,2.9,11
2025-26,,LaMelo Ball,CHA,PG,24,72,28,30.8,4.8,-0.3,4.5,10.6,54.9,51.6,54.6,40.7,36.8,89.7,3.6,15.6,38.4,13.3,2.1,0.8,12
2025-26,,Cade Cunningham,DET,PG,24,64,33.9,29.8,3.7,0.8,4.5,11.2,57,51.3,60.7,43.8,34.2,81.3,2.9,15.1,43,14.9,2,2.5,13
2025-26,,Derrick White,BOS,SG,31,77,34.1,21.8,1.8,2.6,4.4,13.3,53,48.8,66.7,41.5,32.7,90.2,3.7,10.2,22.1,10,1.7,3.8,14
2025-26,,Jimmy Butler III,GSW,PF,36,39,30.3,22.8,3.7,0.5,4.3,5.9,65,55.5,64.5,41.2,37.6,86.9,8.4,11.5,24,9.3,2.2,0.6,15
2025-26,,Joel Embiid,PHI,C,31,38,31.6,33.9,3.7,0.6,4.3,6,60.2,52.7,65.5,46.9,33.1,85.5,7,19.6,20.9,11.4,0.8,3.4,16
2025-26,,Kevin Durant,HOU,PF,37,78,36.4,26.4,3.4,0.7,4.1,13.8,64.7,58.8,76.9,53.6,41.3,87.3,1.6,14.9,20.3,13.6,1.1,2.3,17
2025-26,,Isaiah Hartenstein,OKC,C,27,47,24.2,15.6,0.7,3.2,3.9,5.4,63.4,62.2,71.7,48,,60.2,15,27.1,18.9,19.5,2.1,3.2,18
2025-26,,Zach Edey,MEM,C,23,11,25.7,19.8,0.5,3.4,3.9,1.3,67.6,63.8,74.1,51.4,20,78.1,17.5,26.6,6.6,18.4,1.2,7.5,19
2025-26,,Lauri Markkanen,UTA,PF,28,42,34.3,27.1,3.4,0.4,3.8,6.7,61.5,54.8,68.4,40.3,35.4,89.6,6.3,15.1,10.1,6.5,1.4,1.4,20
2025-26,,Paul Reed,DET,C,26,65,13.9,20.1,1.2,2.4,3.6,4.1,64.9,63.6,74.9,43.2,32.5,66.4,17,20.6,13.4,13,3,6.9,21
2025-26,,nan,,,,,,,,,,,,,,,,,,,,,,,
2025-26,,nan,,,,,,,,,,,,,,,,,,,,,,,
2025-26,,nan,,,,,,,,,,,,,,,,,,,,,,,
2025-26,,nan,,,,,,,,,,,,,,,,,,,,,,,
2025-26,,nan,,,,,,,,,,,,,,,,,,,,,,,
2025-26,,nan,,,,,,,,,,,,,,,,,,,,,,,
2025-26,,nan,,,,,,,,,,,,,,,,,,,,,,,
2025-26,,nan,,,,,,,,,,,,,,,,,,,,,,,
2025-26,,nan,,,,,,,,,,,,,,,,,,,,,,,
2025-26,,nan,,,,,,,,,,,,,,,,,,,,,,,
2025-26,,nan,,,,,,,,,,,,,,,,,,,,,,,
2025-26,,nan,,,,,,,,,,,,,,,,,,,,,,,
2025-26,,nan,,,,,,,,,,,,,,,,,,,,,,,
2025-26,,nan,,,,,,,,,,,,,,,,,,,,,,,
2025-26,,nan,,,,,,,,,,,,,,,,,,,,,,,
2025-26,,nan,,,,,,,,,,,,,,,,,,,,,,,
2025-26,,nan,,,,,,,,,,,,,,,,,,,,,,,
2025-26,,nan,,,,,,,,,,,,,,,,,,,,,,,
2025-26,,nan,,,,,,,,,,,,,,,,,,,,,,,
2025-26,,nan,,,,,,,,,,,,,,,,,,,,,,,
2025-26,,nan,,,,,,,,,,,,,,,,,,,,,,,
2025-26,,nan,,,,,,,,,,,,,,,,,,,,,,,
2025-26,,nan,,,,,,,,,,,,,,,,,,,,,,,
2025-26,,nan,,,,,,,,,,,,,,,,,,,,,,,
2025-26,,nan,,,,,,,,,,,,,,,,,,,,,,,
2025-26,,nan,,,,,,,,,,,,,,,,,,,,,,,
2025-26,,nan,,,,,,,,,,,,,,,,,,,,,,,
2025-26,,nan,,,,,,,,,,,,,,,,,,,,,,,
2025-26,,nan,,,,,,,,,,,,,,,,,,,,,,,
2025-26,,nan,,,,,,,,,,,,,,,,,,,,,,,
2025-26,,nan,,,,,,,,,,,,,,,,,,,,,,,
2025-26,,nan,,,,,,,,,,,,,,,,,,,,,,,
2025-26,,nan,,,,,,,,,,,,,,,,,,,,,,,
2025-26,,nan,,,,,,,,,,,,,,,,,,,,,,,
2025-26,,nan,,,,,,,,,,,,,,,,,,,,,,,
2025-26,,nan,,,,,,,,,,,,,,,,,,,,,,,
2025-26,,nan,,,,,,,,,,,,,,,,,,,,,,,
2025-26,,nan,,,,,,,,,,,,,,,,,,,,,,,
2025-26,,nan,,,,,,,,,,,,,,,,,,,,,,,
2025-26,,nan,,,,,,,,,,,,,,,,,,,,,,,
2025-26,,nan,,,,,,,,,,,,,,,,,,,,,,,
2025-26,,nan,,,,,,,,,,,,,,,,,,,,,,,
2025-26,,nan,,,,,,,,,,,,,,,,,,,,,,,
2025-26,,nan,,,,,,,,,,,,,,,,,,,,,,,
2025-26,,nan,,,,,,,,,,,,,,,,,,,,,,,
2025-26,,nan,,,,,,,,,,,,,,,,,,,,,,,
2025-26,,nan,,,,,,,,,,,,,,,,,,,,,,,
2025-26,,nan,,,,,,,,,,,,,,,,,,,,,,,
2025-26,,nan,,,,,,,,,,,,,,,,,,,,,,,
2025-26,,nan,,,,,,,,,,,,,,,,,,,,,,,
2025-26,,nan,,,,,,,,,,,,,,,,,,,,,,,
2025-26,,nan,,,,,,,,,,,,,,,,,,,,,,,
2025-26,,nan,,,,,,,,,,,,,,,,,,,,,,,
2025-26,,nan,,,,,,,,,,,,,,,,,,,,,,,
2025-26,,nan,,,,,,,,,,,,,,,,,,,,,,,
2025-26,,nan,,,,,,,,,,,,,,,,,,,,,,,
2025-26,,nan,,,,,,,,,,,,,,,,,,,,,,,
2025-26,,nan,,,,,,,,,,,,,,,,,,,,,,,
2025-26,,nan,,,,,,,,,,,,,,,,,,,,,,,
2025-26,,nan,,,,,,,,,,,,,,,,,,,,,,,
2025-26,,nan,,,,,,,,,,,,,,,,,,,,,,,
2025-26,,nan,,,,,,,,,,,,,,,,,,,,,,,
2025-26,,nan,,,,,,,,,,,,,,,,,,,,,,,
2025-26,,nan,,,,,,,,,,,,,,,,,,,,,,,
2025-26,,nan,,,,,,,,,,,,,,,,,,,,,,,
2025-26,,nan,,,,,,,,,,,,,,,,,,,,,,,
2025-26,,nan,,,,,,,,,,,,,,,,,,,,,,,
2025-26,,nan,,,,,,,,,,,,,,,,,,,,,,,
2025-26,,nan,,,,,,,,,,,,,,,,,,,,,,,
2025-26,,nan,,,,,,,,,,,,,,,,,,,,,,,
2025-26,,nan,,,,,,,,,,,,,,,,,,,,,,,
2025-26,,nan,,,,,,,,,,,,,,,,,,,,,,,
2025-26,,nan,,,,,,,,,,,,,,,,,,,,,,,
2025-26,,nan,,,,,,,,,,,,,,,,,,,,,,,
2025-26,,nan,,,,,,,,,,,,,,,,,,,,,,,
2025-26,,nan,,,,,,,,,,,,,,,,,,,,,,,
2025-26,,nan,,,,,,,,,,,,,,,,,,,,,,,
2025-26,,nan,,,,,,,,,,,,,,,,,,,,,,,
2025-26,,nan,,,,,,,,,,,,,,,,,,,,,,,
2025-26,,nan,,,,,,,,,,,,,,,,,,,,,,,
2025-26,,nan,,,,,,,,,,,,,,,,,,,,,,,
2025-26,,nan,,,,,,,,,,,,,,,,,,,,,,,
2025-26,,nan,,,,,,,,,,,,,,,,,,,,,,,
2025-26,,nan,,,,,,,,,,,,,,,,,,,,,,,
2025-26,,nan,,,,,,,,,,,,,,,,,,,,,,,
2025-26,,nan,,,,,,,,,,,,,,,,,,,,,,,
2025-26,,nan,,,,,,,,,,,,,,,,,,,,,,,
2025-26,,nan,,,,,,,,,,,,,,,,,,,,,,,
2025-26,,nan,,,,,,,,,,,,,,,,,,,,,,,
2025-26,,nan,,,,,,,,,,,,,,,,,,,,,,,
2025-26,,nan,,,,,,,,,,,,,,,,,,,,,,,
2025-26,,nan,,,,,,,,,,,,,,,,,,,,,,,
2025-26,,nan,,,,,,,,,,,,,,,,,,,,,,,
2025-26,,nan,,,,,,,,,,,,,,,,,,,,,,,
2025-26,,nan,,,,,,,,,,,,,,,,,,,,,,,
2025-26,,nan,,,,,,,,,,,,,,,,,,,,,,,
2025-26,,nan,,,,,,,,,,,,,,,,,,,,,,,
2025-26,,nan,,,,,,,,,,,,,,,,,,,,,,,
2025-26,,nan,,,,,,,,,,,,,,,,,,,,,,,
2025-26,,nan,,,,,,,,,,,,,,,,,,,,,,,
2025-26,,nan,,,,,,,,,,,,,,,,,,,,,,,
2025-26,,nan,,,,,,,,,,,,,,,,,,,,,,,
2025-26,,nan,,,,,,,,,,,,,,,,,,,,,,,
2025-26,,nan,,,,,,,,,,,,,,,,,,,,,,,
2025-26,,nan,,,,,,,,,,,,,,,,,,,,,,,
2025-26,,nan,,,,,,,,,,,,,,,,,,,,,,,
2025-26,,nan,,,,,,,,,,,,,,,,,,,,,,,
2025-26,,nan,,,,,,,,,,,,,,,,,,,,,,,
2025-26,,nan,,,,,,,,,,,,,,,,,,,,,,,
2025-26,,nan,,,,,,,,,,,,,,,,,,,,,,,
2025-26,,nan,,,,,,,,,,,,,,,,,,,,,,,
2025-26,,nan,,,,,,,,,,,,,,,,,,,,,,,
2025-26,,nan,,,,,,,,,,,,,,,,,,,,,,,
2025-26,,nan,,,,,,,,,,,,,,,,,,,,,,,
2025-26,,nan,,,,,,,,,,,,,,,,,,,,,,,
2025-26,,nan,,,,,,,,,,,,,,,,,,,,,,,
2025-26,,nan,,,,,,,,,,,,,,,,,,,,,,,
2025-26,,nan,,,,,,,,,,,,,,,,,,,,,,,
2025-26,,nan,,,,,,,,,,,,,,,,,,,,,,,
2025-26,,nan,,,,,,,,,,,,,,,,,,,,,,,
2025-26,,nan,,,,,,,,,,,,,,,,,,,,,,,
2025-26,,nan,,,,,,,,,,,,,,,,,,,,,,,
2025-26,,nan,,,,,,,,,,,,,,,,,,,,,,,
2025-26,,nan,,,,,,,,,,,,,,,,,,,,,,,
2025-26,,nan,,,,,,,,,,,,,,,,,,,,,,,
2025-26,,nan,,,,,,,,,,,,,,,,,,,,,,,
2025-26,,nan,,,,,,,,,,,,,,,,,,,,,,,
2025-26,,nan,,,,,,,,,,,,,,,,,,,,,,,
2025-26,,nan,,,,,,,,,,,,,,,,,,,,,,,
2025-26,,nan,,,,,,,,,,,,,,,,,,,,,,,
2025-26,,nan,,,,,,,,,,,,,,,,,,,,,,,
2025-26,,nan,,,,,,,,,,,,,,,,,,,,,,,
2025-26,,nan,,,,,,,,,,,,,,,,,,,,,,,
2025-26,,nan,,,,,,,,,,,,,,,,,,,,,,,
2025-26,,nan,,,,,,,,,,,,,,,,,,,,,,,
2025-26,,nan,,,,,,,,,,,,,,,,,,,,,,,
2025-26,,nan,,,,,,,,,,,,,,,,,,,,,,,
2025-26,,nan,,,,,,,,,,,,,,,,,,,,,,,
2025-26,,nan,,,,,,,,,,,,,,,,,,,,,,,
2025-26,,nan,,,,,,,,,,,,,,,,,,,,,,,
2025-26,,nan,,,,,,,,,,,,,,,,,,,,,,,
2025-26,,nan,,,,,,,,,,,,,,,,,,,,,,,
2025-26,,nan,,,,,,,,,,,,,,,,,,,,,,,
2025-26,,nan,,,,,,,,,,,,,,,,,,,,,,,
2025-26,,nan,,,,,,,,,,,,,,,,,,,,,,,
2025-26,,nan,,,,,,,,,,,,,,,,,,,,,,,
2025-26,,nan,,,,,,,,,,,,,,,,,,,,,,,
2025-26,,nan,,,,,,,,,,,,,,,,,,,,,,,
2025-26,,nan,,,,,,,,,,,,,,,,,,,,,,,
2025-26,,nan,,,,,,,,,,,,,,,,,,,,,,,
2025-26,,nan,,,,,,,,,,,,,,,,,,,,,,,
2025-26,,nan,,,,,,,,,,,,,,,,,,,,,,,
2025-26,,nan,,,,,,,,,,,,,,,,,,,,,,,
2025-26,,nan,,,,,,,,,,,,,,,,,,,,,,,
2025-26,,nan,,,,,,,,,,,,,,,,,,,,,,,
2025-26,,nan,,,,,,,,,,,,,,,,,,,,,,,
2025-26,,nan,,,,,,,,,,,,,,,,,,,,,,,
2025-26,,nan,,,,,,,,,,,,,,,,,,,,,,,
