Season,Player,NBA_ID,D-LEBRON,D_LEBRON_Rank,LEBRON,LEBRON_Rank,Minutes,O-LEBRON,O_LEBRON_Rank,player_name,year
2009-10,aaron brooks,201166,-1.27,376.5,-0.06,137.0,2919.0,1.21,52.0,aaron brooks,2010
2009-10,aaron gray,201189,0.47,109.0,-0.19,152.5,311.0,-0.66,232.0,aaron gray,2010
2009-10,acie law,201151,-0.72,311.5,-0.07,138.0,234.0,0.64,85.0,acie law,2010
2009-10,adam morrison,200747,-1.32,382.0,-2.76,406.0,241.0,-1.44,334.5,adam morrison,2010
2009-10,aj price,201985,-0.03,186.5,0.15,115.0,865.0,0.18,123.5,aj price,2010
2009-10,al harrington,1733,-2.13,420.0,-1.58,333.5,2195.0,0.55,92.0,al harrington,2010
2009-10,al horford,201143,1.56,38.0,2.81,21.0,2845.0,1.25,48.0,al horford,2010
2009-10,al jefferson,2744,0.39,123.0,-0.45,184.5,2463.0,-0.84,263.5,al jefferson,2010
2009-10,al thornton,201154,-1.07,355.0,-2.66,403.0,2079.0,-1.59,349.0,al thornton,2010
2009-10,alando tucker,201169,-0.83,326.0,-1.14,271.0,95.0,-0.31,178.5,alando tucker,2010
2009-10,alexis ajinca,201582,-0.38,251.0,-0.6,195.0,30.0,-0.21,163.5,alexis ajinca,2010
2009-10,alonzo gee,202087,-0.27,234.0,-1.05,251.0,182.0,-0.78,246.5,alonzo gee,2010
2009-10,amar'e stoudemire,2405,-0.64,298.0,1.8,41.5,2838.0,2.44,18.0,amar'e stoudemire,2010
2009-10,amir johnson,101161,1.35,46.0,1.58,46.0,1453.0,0.23,116.5,amir johnson,2010
2009-10,anderson varejao,2760,1.81,28.0,2.63,26.0,2166.0,0.82,72.0,anderson varejao,2010
2009-10,andray blatche,101154,0.02,177.5,-1.0,244.5,2256.0,-1.02,288.5,andray blatche,2010
2009-10,andre iguodala,2738,0.02,177.5,1.08,62.0,3193.0,1.06,59.5,andre iguodala,2010
2009-10,andre miller,1889,0.22,149.0,3.38,12.5,2500.0,3.16,9.5,andre miller,2010
2009-10,andrea bargnani,200745,-1.82,412.0,-1.03,249.0,2799.0,0.79,75.0,andrea bargnani,2010
2009-10,andrei kirilenko,1905,2.58,9.0,3.05,17.0,1681.0,0.48,97.5,andrei kirilenko,2010
2009-10,andres nocioni,2804,-1.64,405.0,-1.5,322.5,1477.0,0.14,128.0,andres nocioni,2010
2009-10,andrew bogut,101106,4.02,2.0,3.39,11.0,2229.0,-0.64,228.5,andrew bogut,2010
2009-10,andrew bynum,101115,1.35,46.0,1.38,54.0,1977.0,0.03,139.5,andrew bynum,2010
2009-10,andris biedrins,2740,2.52,10.0,-0.15,142.5,763.0,-2.67,411.5,andris biedrins,2010
2009-10,antawn jamison,1712,0.08,168.5,1.8,41.5,2406.0,1.72,31.0,antawn jamison,2010
2009-10,anthony carter,1853,-0.06,195.0,-1.19,278.0,859.0,-1.14,300.0,anthony carter,2010
2009-10,anthony johnson,1533,-0.61,293.0,-1.09,261.0,406.0,-0.48,203.0,anthony johnson,2010
2009-10,anthony morrow,201627,-1.04,351.0,-0.61,196.5,2018.0,0.43,103.0,anthony morrow,2010
2009-10,anthony parker,1515,0.9,65.0,0.95,68.5,2289.0,0.05,135.5,anthony parker,2010
2009-10,anthony randolph,201576,0.62,87.5,-0.01,131.5,749.0,-0.63,226.0,anthony randolph,2010
2009-10,anthony tolliver,201229,0.29,137.0,0.82,80.0,1428.0,0.53,94.5,anthony tolliver,2010
2009-10,antoine wright,101120,-0.55,283.5,-1.53,327.0,1392.0,-0.97,280.5,antoine wright,2010
2009-10,antonio anderson,202079,-0.77,321.0,-1.08,256.5,15.0,-0.31,178.5,antonio anderson,2010
2009-10,antonio mcdyess,686,1.51,42.0,-0.01,131.5,1617.0,-1.52,342.5,antonio mcdyess,2010
