Season,SEASON_ID,PLAYER_ID,PLAYER_NAME,TEAM_ID,TEAM_ABBREVIATION,TEAM_NAME,PLAY_TYPE,TYPE_GROUPING,PERCENTILE,GP,POSS_PCT,PPP,FG_PCT,FT_POSS_PCT,TOV_POSS_PCT,SF_POSS_PCT,PLUSONE_POSS_PCT,SCORE_POSS_PCT,EFG_PCT,POSS,PTS,FGM,FGA,FGMX
2025-26,22025,202691,Klay Thompson,1610612742,DAL,Dallas Mavericks,OffScreen,Offensive,0.529,65,0.256,0.974,0.392,0.01,0.066,0.01,0.0,0.372,0.517,3.0,2.9,1.1,2.8,1.7
2025-26,22025,1628374,Lauri Markkanen,1610612762,UTA,Utah Jazz,OffScreen,Offensive,0.61,40,0.191,1.022,0.401,0.101,0.056,0.095,0.034,0.419,0.487,4.5,4.6,1.6,3.9,2.4
2025-26,22025,201939,Stephen Curry,1610612744,GSW,Golden State Warriors,OffScreen,Offensive,0.667,40,0.175,1.062,0.414,0.062,0.086,0.062,0.012,0.407,0.539,4.1,4.3,1.5,3.5,2.1
2025-26,22025,1627742,Brandon Ingram,1610612761,TOR,Toronto Raptors,OffScreen,Offensive,0.49,74,0.114,0.949,0.444,0.051,0.057,0.051,0.017,0.432,0.488,2.4,2.3,1.0,2.2,1.2
2025-26,22025,1629008,Michael Porter Jr.,1610612751,BKN,Brooklyn Nets,OffScreen,Offensive,0.727,50,0.135,1.1,0.433,0.08,0.107,0.08,0.033,0.413,0.575,3.0,3.3,1.1,2.5,1.4
2025-26,22025,203501,Tim Hardaway Jr.,1610612743,DEN,Denver Nuggets,OffScreen,Offensive,0.719,78,0.157,1.094,0.377,0.145,0.043,0.145,0.014,0.435,0.504,1.8,1.9,0.6,1.5,0.9
2025-26,22025,1629638,Nickeil Alexander-Walker,1610612737,ATL,Atlanta Hawks,OffScreen,Offensive,0.69,76,0.091,1.068,0.405,0.076,0.083,0.068,0.0,0.417,0.55,1.7,1.9,0.6,1.5,0.9
2025-26,22025,1627759,Jaylen Brown,1610612738,BOS,Boston Celtics,OffScreen,Offensive,0.581,69,0.07,1.007,0.433,0.116,0.051,0.109,0.036,0.449,0.492,2.0,2.0,0.8,1.7,1.0
2025-26,22025,1642851,Kon Knueppel,1610612766,CHA,Charlotte Hornets,OffScreen,Offensive,0.814,78,0.088,1.195,0.441,0.088,0.053,0.088,0.044,0.442,0.588,1.4,1.7,0.6,1.3,0.7
2025-26,22025,1628978,Donte DiVincenzo,1610612750,MIN,Minnesota Timberwolves,OffScreen,Offensive,0.598,79,0.138,1.015,0.389,0.053,0.098,0.038,0.008,0.379,0.535,1.7,1.7,0.6,1.4,0.9
