Season,SEASON_ID,PLAYER_ID,PLAYER_NAME,TEAM_ID,TEAM_ABBREVIATION,TEAM_NAME,PLAY_TYPE,TYPE_GROUPING,PERCENTILE,GP,POSS_PCT,PPP,FG_PCT,FT_POSS_PCT,TOV_POSS_PCT,SF_POSS_PCT,PLUSONE_POSS_PCT,SCORE_POSS_PCT,EFG_PCT,POSS,PTS,FGM,FGA,FGMX
2025-26,22025,1627750,Jamal Murray,1610612743,DEN,Denver Nuggets,Handoff,Offensive,0.858,73,0.139,1.154,0.484,0.11,0.079,0.101,0.026,0.489,0.571,3.1,3.6,1.3,2.6,1.3
2025-26,22025,1629008,Michael Porter Jr.,1610612751,BKN,Brooklyn Nets,Handoff,Offensive,0.64,50,0.175,1.0,0.389,0.097,0.097,0.092,0.026,0.395,0.5,3.9,3.9,1.3,3.2,2.0
2025-26,22025,201939,Stephen Curry,1610612744,GSW,Golden State Warriors,Handoff,Offensive,0.996,40,0.121,1.607,0.585,0.134,0.063,0.116,0.036,0.589,0.803,2.8,4.5,1.4,2.4,1.0
2025-26,22025,201142,Kevin Durant,1610612745,HOU,Houston Rockets,Handoff,Offensive,0.804,76,0.081,1.104,0.58,0.09,0.16,0.083,0.028,0.514,0.616,1.9,2.1,0.9,1.5,0.6
2025-26,22025,1642851,Kon Knueppel,1610612766,CHA,Charlotte Hornets,Handoff,Offensive,0.596,78,0.11,0.986,0.419,0.099,0.099,0.099,0.021,0.415,0.496,1.8,1.8,0.6,1.5,0.9
2025-26,22025,1630178,Tyrese Maxey,1610612755,PHI,Philadelphia 76ers,Handoff,Offensive,0.822,67,0.069,1.139,0.5,0.09,0.123,0.09,0.033,0.467,0.605,1.8,2.1,0.7,1.5,0.7
2025-26,22025,1628973,Jalen Brunson,1610612752,NYK,New York Knicks,Handoff,Offensive,0.833,70,0.065,1.144,0.5,0.162,0.063,0.144,0.018,0.541,0.563,1.6,1.8,0.6,1.3,0.6
2025-26,22025,1629638,Nickeil Alexander-Walker,1610612737,ATL,Atlanta Hawks,Handoff,Offensive,0.778,76,0.08,1.095,0.473,0.095,0.147,0.095,0.026,0.44,0.571,1.5,1.7,0.6,1.2,0.6
2025-26,22025,1642846,Ace Bailey,1610612762,UTA,Utah Jazz,Handoff,Offensive,0.695,70,0.118,1.041,0.446,0.008,0.066,0.008,0.0,0.421,0.558,1.7,1.8,0.7,1.6,0.9
2025-26,22025,1630162,Anthony Edwards,1610612750,MIN,Minnesota Timberwolves,Handoff,Offensive,0.767,58,0.077,1.087,0.434,0.096,0.061,0.096,0.017,0.452,0.54,2.0,2.2,0.7,1.7,1.0
