Season,SEASON_ID,PLAYER_ID,PLAYER_NAME,TEAM_ID,TEAM_ABBREVIATION,TEAM_NAME,PLAY_TYPE,TYPE_GROUPING,PERCENTILE,GP,POSS_PCT,PPP,FG_PCT,FT_POSS_PCT,TOV_POSS_PCT,SF_POSS_PCT,PLUSONE_POSS_PCT,SCORE_POSS_PCT,EFG_PCT,POSS,PTS,FGM,FGA,FGMX
2025-26,22025,1628983,Shai Gilgeous-Alexander,1610612760,OKC,Oklahoma City Thunder,Isolation,Offensive,0.926,63,0.28,1.163,0.51,0.18,0.078,0.169,0.022,0.548,0.564,7.1,8.3,2.8,5.4,2.7
2025-26,22025,201935,James Harden,1610612746,LAC,LA Clippers,Isolation,Offensive,0.848,41,0.421,1.057,0.382,0.224,0.069,0.22,0.031,0.473,0.435,10.2,10.8,2.9,7.5,4.7
2025-26,22025,1627759,Jaylen Brown,1610612738,BOS,Boston Celtics,Isolation,Offensive,0.767,69,0.2,1.013,0.467,0.168,0.112,0.155,0.046,0.472,0.502,5.7,5.8,2.0,4.4,2.3
2025-26,22025,1630162,Anthony Edwards,1610612750,MIN,Minnesota Timberwolves,Isolation,Offensive,0.809,58,0.238,1.036,0.451,0.118,0.07,0.112,0.02,0.471,0.517,6.2,6.4,2.3,5.1,2.8
2025-26,22025,1629029,Luka Dončić,1610612747,LAL,Los Angeles Lakers,Isolation,Offensive,0.933,60,0.168,1.172,0.46,0.172,0.073,0.153,0.035,0.497,0.558,5.2,6.1,1.9,4.1,2.2
2025-26,22025,201142,Kevin Durant,1610612745,HOU,Houston Rockets,Isolation,Offensive,0.788,76,0.189,1.024,0.473,0.122,0.116,0.104,0.018,0.473,0.515,4.4,4.5,1.6,3.4,1.8
2025-26,22025,1628973,Jalen Brunson,1610612752,NYK,New York Knicks,Isolation,Offensive,0.693,70,0.164,0.986,0.472,0.096,0.096,0.086,0.018,0.468,0.5,4.0,3.9,1.6,3.3,1.7
2025-26,22025,202695,Kawhi Leonard,1610612746,LAC,LA Clippers,Isolation,Offensive,0.675,63,0.179,0.982,0.422,0.148,0.063,0.114,0.015,0.469,0.456,4.3,4.2,1.5,3.5,2.0
2025-26,22025,1629627,Zion Williamson,1610612740,NOP,New Orleans Pelicans,Isolation,Offensive,0.859,60,0.22,1.066,0.551,0.24,0.128,0.231,0.058,0.55,0.551,4.0,4.3,1.5,2.8,1.3
2025-26,22025,201942,DeMar DeRozan,1610612758,SAC,Sacramento Kings,Isolation,Offensive,0.806,74,0.196,1.029,0.464,0.178,0.066,0.178,0.045,0.504,0.469,3.3,3.4,1.2,2.6,1.4
2025-26,22025,203944,Julius Randle,1610612750,MIN,Minnesota Timberwolves,Isolation,Offensive,0.601,76,0.166,0.943,0.443,0.149,0.118,0.141,0.034,0.45,0.463,3.4,3.3,1.2,2.6,1.5
2025-26,22025,1630178,Tyrese Maxey,1610612755,PHI,Philadelphia 76ers,Isolation,Offensive,0.477,67,0.156,0.881,0.372,0.112,0.04,0.101,0.043,0.401,0.401,4.1,3.6,1.4,3.7,2.3
2025-26,22025,1627750,Jamal Murray,1610612743,DEN,Denver Nuggets,Isolation,Offensive,0.869,73,0.136,1.076,0.474,0.081,0.063,0.072,0.013,0.48,0.536,3.1,3.3,1.3,2.7,1.4
2025-26,22025,1631094,Paolo Banchero,1610612753,ORL,Orlando Magic,Isolation,Offensive,0.459,70,0.169,0.873,0.378,0.224,0.082,0.213,0.026,0.455,0.402,3.8,3.3,1.0,2.8,1.7
2025-26,22025,1626164,Devin Booker,1610612756,PHX,Phoenix Suns,Isolation,Offensive,0.827,61,0.144,1.05,0.5,0.162,0.113,0.144,0.032,0.509,0.53,3.6,3.8,1.4,2.8,1.4
2025-26,22025,1628378,Donovan Mitchell,1610612739,CLE,Cleveland Cavaliers,Isolation,Offensive,0.784,67,0.128,1.023,0.431,0.097,0.074,0.088,0.009,0.449,0.508,3.2,3.3,1.2,2.7,1.5
2025-26,22025,1627742,Brandon Ingram,1610612761,TOR,Toronto Raptors,Isolation,Offensive,0.541,74,0.142,0.905,0.448,0.145,0.123,0.145,0.018,0.455,0.458,3.0,2.7,1.0,2.2,1.2
2025-26,22025,201935,James Harden,1610612739,CLE,Cleveland Cavaliers,Isolation,Offensive,0.883,26,0.365,1.083,0.463,0.177,0.11,0.171,0.028,0.486,0.541,7.0,7.5,2.4,5.2,2.8
