Season,SEASON_ID,PLAYER_ID,PLAYER_NAME,TEAM_ID,TEAM_ABBREVIATION,TEAM_NAME,PLAY_TYPE,TYPE_GROUPING,PERCENTILE,GP,POSS_PCT,PPP,FG_PCT,FT_POSS_PCT,TOV_POSS_PCT,SF_POSS_PCT,PLUSONE_POSS_PCT,SCORE_POSS_PCT,EFG_PCT,POSS,PTS,FGM,FGA,FGMX
2025-26,22025,1628983,Shai Gilgeous-Alexander,1610612760,OKC,Oklahoma City Thunder,PRBallHandler,Offensive,0.965,63,0.36,1.199,0.546,0.18,0.093,0.168,0.04,0.559,0.586,9.2,11.0,3.8,7.0,3.2
2025-26,22025,1629029,Luka Dončić,1610612747,LAL,Los Angeles Lakers,PRBallHandler,Offensive,0.896,60,0.347,1.039,0.466,0.164,0.133,0.142,0.028,0.468,0.546,10.8,11.2,3.7,7.9,4.2
2025-26,22025,1628973,Jalen Brunson,1610612752,NYK,New York Knicks,PRBallHandler,Offensive,0.861,70,0.34,1.014,0.457,0.124,0.114,0.105,0.033,0.454,0.515,8.3,8.4,3.0,6.6,3.6
2025-26,22025,1628378,Donovan Mitchell,1610612739,CLE,Cleveland Cavaliers,PRBallHandler,Offensive,0.867,67,0.335,1.018,0.475,0.123,0.129,0.092,0.019,0.465,0.529,8.5,8.6,3.1,6.5,3.4
2025-26,22025,1627750,Jamal Murray,1610612743,DEN,Denver Nuggets,PRBallHandler,Offensive,0.89,73,0.337,1.036,0.471,0.094,0.118,0.08,0.022,0.454,0.549,7.5,7.8,2.9,6.1,3.2
2025-26,22025,1630163,LaMelo Ball,1610612766,CHA,Charlotte Hornets,PRBallHandler,Offensive,0.572,69,0.407,0.872,0.39,0.056,0.142,0.042,0.007,0.364,0.479,8.6,7.5,2.7,7.0,4.2
2025-26,22025,1630595,Cade Cunningham,1610612765,DET,Detroit Pistons,PRBallHandler,Offensive,0.705,62,0.369,0.933,0.459,0.094,0.159,0.087,0.027,0.418,0.521,8.9,8.3,3.2,6.9,3.7
2025-26,22025,1630178,Tyrese Maxey,1610612755,PHI,Philadelphia 76ers,PRBallHandler,Offensive,0.662,67,0.285,0.921,0.399,0.103,0.103,0.087,0.012,0.413,0.464,7.5,6.9,2.4,6.1,3.6
2025-26,22025,1626164,Devin Booker,1610612756,PHX,Phoenix Suns,PRBallHandler,Offensive,0.688,61,0.322,0.927,0.431,0.123,0.141,0.105,0.024,0.426,0.477,8.1,7.5,2.7,6.2,3.5
2025-26,22025,1631157,Ryan Rollins,1610612749,MIL,Milwaukee Bucks,PRBallHandler,Offensive,0.595,71,0.396,0.887,0.452,0.051,0.16,0.043,0.008,0.403,0.513,7.0,6.2,2.5,5.5,3.0
2025-26,22025,1627759,Jaylen Brown,1610612738,BOS,Boston Celtics,PRBallHandler,Offensive,0.699,69,0.224,0.932,0.47,0.12,0.152,0.107,0.029,0.442,0.515,6.4,6.0,2.3,4.8,2.6
2025-26,22025,202695,Kawhi Leonard,1610612746,LAC,LA Clippers,PRBallHandler,Offensive,0.945,63,0.245,1.102,0.491,0.164,0.121,0.146,0.038,0.493,0.561,5.9,6.5,2.2,4.4,2.3
