Season,SEASON_ID,PLAYER_ID,PLAYER_NAME,TEAM_ID,TEAM_ABBREVIATION,TEAM_NAME,PLAY_TYPE,TYPE_GROUPING,PERCENTILE,GP,POSS_PCT,PPP,FG_PCT,FT_POSS_PCT,TOV_POSS_PCT,SF_POSS_PCT,PLUSONE_POSS_PCT,SCORE_POSS_PCT,EFG_PCT,POSS,PTS,FGM,FGA,FGMX
2025-26,22025,203999,Nikola Jokić,1610612743,DEN,Denver Nuggets,Postup,Offensive,0.75,63,0.225,1.129,0.605,0.161,0.132,0.144,0.029,0.572,0.605,5.5,6.2,2.5,4.1,1.6
2025-26,22025,1630578,Alperen Sengun,1610612745,HOU,Houston Rockets,Postup,Offensive,0.459,69,0.229,0.973,0.548,0.128,0.155,0.107,0.021,0.497,0.548,4.9,4.7,2.0,3.6,1.6
2025-26,22025,203954,Joel Embiid,1610612755,PHI,Philadelphia 76ers,Postup,Offensive,0.791,38,0.218,1.139,0.55,0.225,0.11,0.206,0.048,0.565,0.55,5.5,6.3,2.2,3.9,1.8
2025-26,22025,201942,DeMar DeRozan,1610612758,SAC,Sacramento Kings,Postup,Offensive,0.905,74,0.127,1.229,0.581,0.229,0.064,0.223,0.083,0.599,0.581,2.1,2.6,1.0,1.7,0.7
2025-26,22025,1627783,Pascal Siakam,1610612754,IND,Indiana Pacers,Postup,Offensive,0.547,59,0.127,1.011,0.482,0.18,0.079,0.152,0.051,0.5,0.482,3.0,3.1,1.2,2.4,1.2
2025-26,22025,1630180,Saddiq Bey,1610612740,NOP,New Orleans Pelicans,Postup,Offensive,0.642,69,0.148,1.072,0.48,0.217,0.054,0.211,0.036,0.542,0.48,2.4,2.6,0.9,1.8,1.0
2025-26,22025,203507,Giannis Antetokounmpo,1610612749,MIL,Milwaukee Bucks,Postup,Offensive,0.73,34,0.191,1.108,0.634,0.21,0.166,0.172,0.089,0.567,0.634,4.6,5.1,2.1,3.3,1.2
2025-26,22025,1629029,Luka Dončić,1610612747,LAL,Los Angeles Lakers,Postup,Offensive,0.831,60,0.074,1.158,0.57,0.245,0.086,0.216,0.05,0.597,0.57,2.3,2.7,1.0,1.7,0.7
2025-26,22025,1631094,Paolo Banchero,1610612753,ORL,Orlando Magic,Postup,Offensive,0.676,70,0.093,1.088,0.547,0.252,0.143,0.231,0.041,0.565,0.547,2.1,2.3,0.7,1.4,0.6
2025-26,22025,1626171,Bobby Portis,1610612749,MIL,Milwaukee Bucks,Postup,Offensive,0.608,64,0.187,1.053,0.519,0.106,0.053,0.093,0.013,0.536,0.519,2.4,2.5,1.0,2.0,1.0
2025-26,22025,1628389,Bam Adebayo,1610612748,MIA,Miami Heat,Postup,Offensive,0.426,70,0.116,0.963,0.445,0.21,0.086,0.16,0.031,0.494,0.445,2.3,2.2,0.8,1.7,0.9
2025-26,22025,202699,Tobias Harris,1610612765,DET,Detroit Pistons,Postup,Offensive,0.736,61,0.18,1.11,0.57,0.147,0.103,0.132,0.037,0.559,0.57,2.2,2.5,1.0,1.8,0.8
2025-26,22025,202685,Jonas Valančiūnas,1610612743,DEN,Denver Nuggets,Postup,Offensive,0.689,63,0.268,1.094,0.635,0.145,0.174,0.116,0.014,0.565,0.635,2.2,2.4,1.0,1.5,0.6
2025-26,22025,203944,Julius Randle,1610612750,MIN,Minnesota Timberwolves,Postup,Offensive,0.399,76,0.099,0.955,0.518,0.173,0.141,0.141,0.045,0.506,0.518,2.1,2.0,0.8,1.5,0.7
2025-26,22025,1630567,Scottie Barnes,1610612761,TOR,Toronto Raptors,Postup,Offensive,0.541,77,0.103,1.007,0.496,0.16,0.097,0.132,0.042,0.493,0.496,1.9,1.9,0.7,1.5,0.7
2025-26,22025,1628991,Jaren Jackson Jr.,1610612763,MEM,Memphis Grizzlies,Postup,Offensive,0.439,42,0.185,0.966,0.514,0.155,0.135,0.135,0.041,0.5,0.514,3.5,3.4,1.4,2.6,1.3
2025-26,22025,1626157,Karl-Anthony Towns,1610612752,NYK,New York Knicks,Postup,Offensive,0.311,70,0.12,0.904,0.515,0.16,0.237,0.147,0.058,0.442,0.515,2.2,2.0,0.8,1.5,0.7
2025-26,22025,1627826,Ivica Zubac,1610612746,LAC,LA Clippers,Postup,Offensive,0.432,40,0.279,0.966,0.55,0.172,0.159,0.124,0.021,0.517,0.55,3.6,3.5,1.4,2.5,1.1
2025-26,22025,2544,LeBron James,1610612747,LAL,Los Angeles Lakers,Postup,Offensive,0.236,57,0.134,0.854,0.483,0.115,0.185,0.096,0.038,0.427,0.483,2.8,2.4,1.0,2.0,1.1
2025-26,22025,1627742,Brandon Ingram,1610612761,TOR,Toronto Raptors,Postup,Offensive,0.669,74,0.079,1.082,0.526,0.156,0.098,0.139,0.049,0.525,0.526,1.6,1.8,0.7,1.3,0.6
2025-26,22025,1641705,Victor Wembanyama,1610612759,SAS,San Antonio Spurs,Postup,Offensive,0.412,62,0.098,0.956,0.474,0.191,0.147,0.162,0.037,0.478,0.474,2.2,2.1,0.7,1.5,0.8
2025-26,22025,1631105,Jalen Duren,1610612765,DET,Detroit Pistons,Postup,Offensive,0.885,68,0.097,1.217,0.539,0.311,0.047,0.292,0.075,0.623,0.539,1.6,1.9,0.6,1.1,0.5
2025-26,22025,202695,Kawhi Leonard,1610612746,LAC,LA Clippers,Postup,Offensive,0.892,63,0.064,1.227,0.59,0.186,0.082,0.165,0.072,0.588,0.59,1.5,1.9,0.7,1.2,0.5
2025-26,22025,1628381,John Collins,1610612746,LAC,LA Clippers,Postup,Offensive,0.939,66,0.113,1.273,0.69,0.159,0.114,0.136,0.08,0.625,0.69,1.3,1.7,0.7,1.1,0.3
2025-26,22025,201572,Brook Lopez,1610612746,LAC,LA Clippers,Postup,Offensive,0.899,74,0.139,1.227,0.606,0.17,0.08,0.159,0.057,0.602,0.606,1.2,1.5,0.6,1.0,0.4
2025-26,22025,201142,Kevin Durant,1610612745,HOU,Houston Rockets,Postup,Offensive,0.453,76,0.063,0.973,0.506,0.126,0.144,0.108,0.036,0.477,0.506,1.5,1.4,0.6,1.1,0.6
2025-26,22025,1628415,Dillon Brooks,1610612756,PHX,Phoenix Suns,Postup,Offensive,0.595,52,0.094,1.05,0.532,0.139,0.079,0.119,0.0,0.554,0.532,1.9,2.0,0.8,1.5,0.7
2025-26,22025,202696,Nikola Vučević,1610612741,CHI,Chicago Bulls,Postup,Offensive,0.25,46,0.164,0.868,0.458,0.099,0.116,0.066,0.008,0.438,0.458,2.6,2.3,1.0,2.1,1.1
2025-26,22025,1628970,Miles Bridges,1610612766,CHA,Charlotte Hornets,Postup,Offensive,0.858,74,0.07,1.179,0.611,0.083,0.083,0.083,0.024,0.583,0.611,1.1,1.3,0.6,1.0,0.4
2025-26,22025,1629627,Zion Williamson,1610612740,NOP,New Orleans Pelicans,Postup,Offensive,0.372,60,0.094,0.932,0.478,0.194,0.136,0.165,0.0,0.515,0.478,1.7,1.6,0.6,1.2,0.6
2025-26,22025,1630162,Anthony Edwards,1610612750,MIN,Minnesota Timberwolves,Postup,Offensive,0.662,58,0.058,1.08,0.559,0.149,0.08,0.126,0.011,0.575,0.559,1.5,1.6,0.7,1.2,0.5
2025-26,22025,1627759,Jaylen Brown,1610612738,BOS,Boston Celtics,Postup,Offensive,0.554,69,0.046,1.022,0.535,0.132,0.121,0.121,0.033,0.505,0.535,1.3,1.3,0.6,1.0,0.5
2025-26,22025,1630596,Evan Mobley,1610612739,CLE,Cleveland Cavaliers,Postup,Offensive,0.473,62,0.087,0.989,0.551,0.176,0.121,0.165,0.055,0.505,0.551,1.5,1.5,0.6,1.1,0.5
2025-26,22025,1629675,Naz Reid,1610612750,MIN,Minnesota Timberwolves,Postup,Offensive,0.405,74,0.089,0.956,0.549,0.078,0.144,0.067,0.011,0.5,0.549,1.2,1.2,0.5,1.0,0.4
2025-26,22025,1630552,Jalen Johnson,1610612737,ATL,Atlanta Hawks,Postup,Offensive,0.601,70,0.049,1.051,0.557,0.154,0.115,0.141,0.051,0.538,0.557,1.1,1.2,0.5,0.9,0.4
2025-26,22025,1628983,Shai Gilgeous-Alexander,1610612760,OKC,Oklahoma City Thunder,Postup,Offensive,0.838,63,0.043,1.159,0.569,0.145,0.058,0.145,0.043,0.58,0.569,1.1,1.3,0.5,0.9,0.4
2025-26,22025,204001,Kristaps Porziņģis,1610612737,ATL,Atlanta Hawks,Postup,Offensive,0.912,17,0.243,1.233,0.556,0.233,0.033,0.2,0.017,0.633,0.556,3.5,4.4,1.5,2.6,1.2
2025-26,22025,1630595,Cade Cunningham,1610612765,DET,Detroit Pistons,Postup,Offensive,0.878,62,0.04,1.2,0.565,0.2,0.083,0.183,0.05,0.583,0.565,1.0,1.2,0.4,0.7,0.3
2025-26,22025,1629028,Deandre Ayton,1610612747,LAL,Los Angeles Lakers,Postup,Offensive,0.419,69,0.106,0.96,0.525,0.107,0.12,0.067,0.013,0.493,0.525,1.1,1.0,0.4,0.9,0.4
2025-26,22025,1642875,Maxime Raynaud,1610612758,SAC,Sacramento Kings,Postup,Offensive,0.358,72,0.093,0.922,0.448,0.182,0.104,0.143,0.039,0.481,0.448,1.1,1.0,0.4,0.8,0.4
2025-26,22025,1642259,Alex Sarr,1610612764,WAS,Washington Wizards,Postup,Offensive,0.764,45,0.083,1.131,0.528,0.131,0.016,0.115,0.016,0.574,0.528,1.4,1.5,0.6,1.2,0.6
2025-26,22025,1629111,Jock Landale,1610612763,MEM,Memphis Grizzlies,Postup,Offensive,0.324,42,0.171,0.907,0.455,0.173,0.093,0.12,0.0,0.507,0.455,1.8,1.6,0.6,1.3,0.7
2025-26,22025,1630168,Onyeka Okongwu,1610612737,ATL,Atlanta Hawks,Postup,Offensive,0.385,72,0.068,0.944,0.509,0.155,0.099,0.155,0.0,0.507,0.509,1.0,0.9,0.4,0.7,0.4
2025-26,22025,201566,Russell Westbrook,1610612758,SAC,Sacramento Kings,Postup,Offensive,0.588,61,0.059,1.048,0.51,0.159,0.079,0.143,0.016,0.54,0.51,1.0,1.1,0.4,0.8,0.4
2025-26,22025,1631096,Chet Holmgren,1610612760,OKC,Oklahoma City Thunder,Postup,Offensive,0.721,64,0.06,1.105,0.523,0.228,0.035,0.228,0.035,0.579,0.523,0.9,1.0,0.4,0.7,0.3
2025-26,22025,1628374,Lauri Markkanen,1610612762,UTA,Utah Jazz,Postup,Offensive,0.635,40,0.061,1.07,0.5,0.246,0.14,0.193,0.088,0.509,0.5,1.4,1.5,0.5,1.0,0.5
