Season,SEASON_ID,PLAYER_ID,PLAYER_NAME,TEAM_ID,TEAM_ABBREVIATION,TEAM_NAME,PLAY_TYPE,TYPE_GROUPING,PERCENTILE,GP,POSS_PCT,PPP,FG_PCT,FT_POSS_PCT,TOV_POSS_PCT,SF_POSS_PCT,PLUSONE_POSS_PCT,SCORE_POSS_PCT,EFG_PCT,POSS,PTS,FGM,FGA,FGMX
2025-26,22025,1631095,Jabari Smith Jr.,1610612745,HOU,Houston Rockets,Spotup,Offensive,0.571,74,0.388,1.067,0.389,0.051,0.039,0.048,0.007,0.401,0.536,5.9,6.3,2.1,5.4,3.3
2025-26,22025,1628389,Bam Adebayo,1610612748,MIA,Miami Heat,Spotup,Offensive,0.434,70,0.321,1.016,0.399,0.122,0.047,0.118,0.027,0.433,0.506,6.4,6.5,2.2,5.5,3.3
2025-26,22025,1641739,Toumani Camara,1610612757,POR,Portland Trail Blazers,Spotup,Offensive,0.457,79,0.411,1.026,0.378,0.035,0.056,0.03,0.005,0.373,0.532,5.4,5.6,1.9,5.0,3.1
2025-26,22025,1628384,OG Anunoby,1610612752,NYK,New York Knicks,Spotup,Offensive,0.714,64,0.39,1.135,0.42,0.088,0.068,0.075,0.021,0.431,0.58,6.0,6.8,2.2,5.2,3.0
2025-26,22025,1630202,Payton Pritchard,1610612738,BOS,Boston Celtics,Spotup,Offensive,0.862,77,0.268,1.212,0.472,0.021,0.045,0.015,0.003,0.458,0.633,4.3,5.2,1.9,4.0,2.1
2025-26,22025,203924,Jerami Grant,1610612757,POR,Portland Trail Blazers,Spotup,Offensive,0.807,54,0.357,1.182,0.425,0.101,0.057,0.096,0.03,0.442,0.586,6.2,7.3,2.3,5.4,3.1
2025-26,22025,1642851,Kon Knueppel,1610612766,CHA,Charlotte Hornets,Spotup,Offensive,0.87,78,0.249,1.218,0.447,0.034,0.059,0.034,0.006,0.436,0.633,4.1,5.0,1.7,3.8,2.1
2025-26,22025,1629638,Nickeil Alexander-Walker,1610612737,ATL,Atlanta Hawks,Spotup,Offensive,0.822,76,0.227,1.189,0.429,0.073,0.049,0.07,0.018,0.439,0.587,4.3,5.1,1.7,3.9,2.2
2025-26,22025,1628969,Mikal Bridges,1610612752,NYK,New York Knicks,Spotup,Offensive,0.596,77,0.359,1.075,0.401,0.036,0.03,0.03,0.003,0.409,0.538,4.7,5.1,1.8,4.4,2.6
2025-26,22025,203952,Andrew Wiggins,1610612748,MIA,Miami Heat,Spotup,Offensive,0.664,65,0.372,1.105,0.433,0.085,0.08,0.083,0.014,0.433,0.577,5.4,6.0,2.0,4.6,2.6
2025-26,22025,1626181,Norman Powell,1610612748,MIA,Miami Heat,Spotup,Offensive,0.559,54,0.338,1.062,0.425,0.135,0.084,0.121,0.02,0.455,0.511,6.6,7.0,2.2,5.3,3.0
2025-26,22025,1628978,Donte DiVincenzo,1610612750,MIN,Minnesota Timberwolves,Spotup,Offensive,0.827,79,0.33,1.193,0.41,0.022,0.019,0.022,0.006,0.411,0.597,4.0,4.8,1.6,3.9,2.3
2025-26,22025,201142,Kevin Durant,1610612745,HOU,Houston Rockets,Spotup,Offensive,0.96,76,0.161,1.312,0.517,0.07,0.042,0.067,0.021,0.516,0.67,3.8,4.9,1.8,3.4,1.6
