Season,PLAYER_ID,PLAYER_NAME,TEAM_ID,TEAM_ABBREVIATION,AGE,NICKNAME,FGM,FGA,FG_PCT,FGM,FGA,FG_PCT,FGM,FGA,FG_PCT,FGM,FGA,FG_PCT,FGM,FGA,FG_PCT,FGM,FGA,FG_PCT,FGM,FGA,FG_PCT,FGM,FGA,FG_PCT
2024-25,1631260,AJ Green,1610612749,MIL,25.0,AJ,0.0,0.1,0.0,0.1,0.1,1.0,0.2,0.2,1.0,0.6,1.0,0.615,0.6,0.8,0.769,1.3,3.5,0.373,0.1,0.1,1.0,1.1,1.6,0.692
2024-25,1642358,AJ Johnson,1610612749,MIL,19.0,AJ,0.3,0.5,0.5,0.0,0.3,0.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-25,203932,Aaron Gordon,1610612743,DEN,29.0,Aaron,2.9,5.1,0.556,0.4,1.0,0.429,0.3,0.7,0.4,0.4,0.9,0.5,0.1,0.3,0.5,1.1,2.0,0.571,0.0,0.0,0.0,0.6,1.1,0.5
2024-25,1628988,Aaron Holiday,1610612745,HOU,28.0,Aaron,0.2,0.2,1.0,0.2,0.4,0.5,0.1,0.2,0.5,0.3,0.3,1.0,0.1,0.1,1.0,0.5,1.8,0.3,0.0,0.0,0.0,0.3,0.3,1.0
2024-25,1630174,Aaron Nesmith,1610612754,IND,25.0,Aaron,1.8,2.8,0.647,0.3,0.8,0.4,0.0,0.5,0.0,0.0,0.2,0.0,0.3,0.3,1.0,0.7,1.3,0.5,0.0,0.0,0.0,0.3,0.5,0.667
2024-25,1630598,Aaron Wiggins,1610612760,OKC,25.0,Aaron,1.4,2.3,0.619,0.6,1.6,0.379,0.0,0.4,0.0,0.3,0.8,0.4,0.2,0.5,0.444,1.0,2.3,0.439,0.0,0.0,0.0,0.6,1.3,0.417
2024-25,1641745,Adam Flagler,1610612760,OKC,24.0,Adam,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.2,0.0,0.0,0.1,0.0,0.5,1.5,0.333,0.0,0.0,0.0,0.0,0.3,0.0
2024-25,1641766,Adama Sanogo,1610612741,CHI,22.0,Adama,1.0,2.0,0.5,0.5,0.5,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,0.0
2024-25,1641737,Adem Bona,1610612755,PHI,21.0,Adem,0.5,0.5,0.833,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-25,1642349,Ajay Mitchell,1610612760,OKC,22.0,Ajay,0.9,1.6,0.571,0.7,1.5,0.444,0.2,0.4,0.429,0.1,0.2,0.25,0.1,0.1,0.5,0.4,0.9,0.471,0.0,0.0,0.0,0.1,0.3,0.333
2024-25,201143,Al Horford,1610612738,BOS,38.0,Al,0.6,0.9,0.692,0.6,0.9,0.615,0.1,0.2,0.333,0.5,0.8,0.636,0.1,0.6,0.222,1.7,3.9,0.444,0.0,0.0,0.0,0.6,1.4,0.45
2024-25,202692,Alec Burks,1610612748,MIA,33.0,Alec,0.2,0.3,0.667,0.2,0.6,0.4,0.2,0.6,0.4,0.4,1.1,0.333,0.8,0.9,0.857,0.6,1.3,0.417,0.0,0.0,0.0,1.0,1.8,0.563
2024-25,1627936,Alex Caruso,1610612760,OKC,30.0,Alex,1.2,1.8,0.625,0.2,0.7,0.333,0.0,0.1,0.0,0.0,0.3,0.0,0.3,0.5,0.571,0.3,2.2,0.143,0.0,0.0,0.0,0.3,0.8,0.364
2024-25,1642505,Alex Ducas,1610612760,OKC,23.0,Alex,0.0,0.0,0.0,0.0,0.3,0.0,,,,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,,,,0.0,0.5,0.0
2024-25,203458,Alex Len,1610612758,SAC,31.0,Alex,0.7,0.8,0.889,0.1,0.3,0.5,0.1,0.2,0.5,0.0,0.1,0.0,0.0,0.2,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.2,0.0
2024-25,1642024,Alex Reese,1610612760,OKC,25.0,Alex,1.0,1.0,1.0,0.0,0.0,0.0,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,0.0
2024-25,1642259,Alexandre Sarr,1610612764,WAS,19.0,Alexandre,2.0,3.0,0.667,0.5,2.2,0.211,0.5,0.9,0.5,0.2,0.5,0.333,0.2,0.4,0.571,0.7,3.5,0.2,0.0,0.0,0.0,0.4,0.9,0.438
2024-25,1631214,Alondes Williams,1610612765,DET,25.0,Alondes,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,1.0,1.0,1.0,,,,,,
2024-25,1630578,Alperen Sengun,1610612745,HOU,22.0,Alperen,3.8,6.8,0.559,2.4,5.5,0.44,0.6,1.4,0.429,0.1,0.1,1.0,0.0,0.1,0.0,0.4,1.4,0.25,0.0,0.0,0.0,0.1,0.1,0.5
2024-25,1641708,Amen Thompson,1610612745,HOU,21.0,Amen,3.0,4.2,0.723,0.8,1.9,0.432,0.3,0.6,0.455,0.2,0.3,0.6,0.2,0.5,0.333,0.0,0.3,0.0,0.0,0.0,0.0,0.3,0.7,0.429
2024-25,1629599,Amir Coffey,1610612746,LAC,27.0,Amir,1.1,1.6,0.677,0.6,1.4,0.393,0.2,0.4,0.375,0.4,0.8,0.467,0.3,0.6,0.545,0.8,2.3,0.356,0.0,0.0,0.0,0.7,1.3,0.5
2024-25,203083,Andre Drummond,1610612755,PHI,31.0,Andre,2.9,4.8,0.605,0.4,1.3,0.3,0.0,0.1,0.0,0.1,0.1,1.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.1,0.2,0.333
2024-25,1641748,Andre Jackson Jr.,1610612749,MIL,23.0,Andre,0.5,0.9,0.563,0.1,0.5,0.25,0.1,0.2,0.333,0.2,0.2,1.0,0.3,0.7,0.4,0.2,0.8,0.231,0.0,0.0,0.0,0.4,0.8,0.538
