player_firstName,player_lastName,player_name,player_id,team_fullName,team_conference_name,team_conference_abbr,team_conference_id,team_division_name,team_division_abbr,team_division_id,team_name,team_abbr,team_id,stats_gp,stats_timePercent,stats_possessions,stats_points,stats_ppp,stats_pppRank,stats_fgMade,stats_fgMiss,stats_fgAttempt,stats_fgPercent,stats_fgPercentEffective,stats_shot2Made,stats_shot2Miss,stats_shot2Attempt,stats_shot2Percent,stats_shot3Made,stats_shot3Miss,stats_shot3Attempt,stats_ftMade,stats_ftMiss,stats_ftAttempt,stats_ftPercent,stats_plusOne,stats_shotFoul,stats_score,stats_turnover,SeasonID,SeasonLabel,QueryPlayType
Day'Ron,Sharpe,Day'Ron Sharpe,615a2ab8e771e94fc0ad82db,Brooklyn Nets,Eastern Conference,EC,54457dce300969b132fcfb48,Atlantic Division,AD,54457dd0300969b132fcfb9f,Brooklyn,BKN,54457dd3300969b132fcfe3d,35,0.18095238095238095,38,46,1.2105263157894737,260,21,10,31,0.6774193548387096,0.6774193548387096,21,10,31,0.6774193548387096,0,0,0,4,3,7,0.5714285714285714,1,4,24,4,6120261cea4488c9fd5c57c5,,Cut
Marko,Simonovic,Marko Simonovic,615d0923e771e94fc00a6be1,Chicago Bulls,Eastern Conference,EC,54457dce300969b132fcfb48,Central Division,CD,54457dd0300969b132fcfba0,Chicago,CHI,54457dd3300969b132fcfe4b,10,,4,4,1.0,,1,1,2,0.5,0.5,1,1,2,0.5,0,0,0,2,0,2,1.0,0,1,2,1,6120261cea4488c9fd5c57c5,,Cut
Serge,Ibaka,Serge Ibaka,620b205907c7bd5c299c0b10,Milwaukee Bucks,Eastern Conference,EC,54457dce300969b132fcfb48,Central Division,CD,54457dd0300969b132fcfba0,Milwaukee,MIL,54457dd3300969b132fcfe4f,25,0.13138686131386862,18,18,1.0,357,9,9,18,0.5,0.5,9,9,18,0.5,0,0,0,0,0,0,,0,0,9,0,6120261cea4488c9fd5c57c5,,Cut
Rajon,Rondo,Rajon Rondo,61d91f6ddf8a6a3c11deb39f,Cleveland Cavaliers,Eastern Conference,EC,54457dce300969b132fcfb48,Central Division,CD,54457dd0300969b132fcfba0,Cleveland,CLE,54457dd3300969b132fcfe4c,23,,1,2,2.0,,1,0,1,1.0,1.0,1,0,1,1.0,0,0,0,0,0,0,,0,0,1,0,6120261cea4488c9fd5c57c5,,Cut
Kai,Jones,Kai Jones,615dd267e771e94fc030260f,Charlotte Hornets,Eastern Conference,EC,54457dce300969b132fcfb48,Southeast Division,SD,54457dd0300969b132fcfba1,Charlotte,CHA,54457dd3300969b132fcfe58,25,,5,8,1.6,,4,1,5,0.8,0.8,4,1,5,0.8,0,0,0,0,0,0,,0,0,4,0,6120261cea4488c9fd5c57c5,,Cut
Solomon,Hill,Solomon Hill,5fd42b555fe05a0e9f820886,Atlanta Hawks,Eastern Conference,EC,54457dce300969b132fcfb48,Southeast Division,SD,54457dd0300969b132fcfba1,Atlanta,ATL,54457dd3300969b132fcfe49,16,,4,4,1.0,,1,2,3,0.3333333333333333,0.3333333333333333,1,2,3,0.3333333333333333,0,0,0,2,0,2,1.0,0,1,2,0,6120261cea4488c9fd5c57c5,,Cut
Wesley,Matthews,Wesley Matthews,61ac3648d7ea140d4ab2ba60,Milwaukee Bucks,Eastern Conference,EC,54457dce300969b132fcfb48,Central Division,CD,54457dd0300969b132fcfba0,Milwaukee,MIL,54457dd3300969b132fcfe4f,61,0.05521472392638037,18,20,1.1111111111111112,315,10,7,17,0.5882352941176471,0.5882352941176471,10,7,17,0.5882352941176471,0,0,0,0,0,0,,0,0,10,1,6120261cea4488c9fd5c57c5,,Cut
Tomas,Satoransky,Tomas Satoransky,544580d2300969b132fd4898,Washington Wizards,Eastern Conference,EC,54457dce300969b132fcfb48,Southeast Division,SD,54457dd0300969b132fcfba1,Washington,WAS,54457dd3300969b132fcfe41,22,,9,7,0.7777777777777778,,2,5,7,0.2857142857142857,0.2857142857142857,2,5,7,0.2857142857142857,0,0,0,3,1,4,0.75,0,2,4,0,6120261cea4488c9fd5c57c5,,Cut
Luke,Kornet,Luke Kornet,61c3f077df8a6a3c11db6a18,Cleveland Cavaliers,Eastern Conference,EC,54457dce300969b132fcfb48,Central Division,CD,54457dd0300969b132fcfba0,Cleveland,CLE,54457dd3300969b132fcfe4c,2,,2,0,0.0,,0,2,2,0.0,0.0,0,2,2,0.0,0,0,0,0,0,0,,0,0,0,0,6120261cea4488c9fd5c57c5,,Cut
Jamorko,Pickett,Jamorko Pickett,615e4bcfe771e94fc0e9eb14,Detroit Pistons,Eastern Conference,EC,54457dce300969b132fcfb48,Central Division,CD,54457dd0300969b132fcfba0,Detroit,DET,54457dd3300969b132fcfe4d,17,,6,6,1.0,,3,2,5,0.6,0.6,3,2,5,0.6,0,0,0,0,0,0,,0,0,3,1,6120261cea4488c9fd5c57c5,,Cut
