player_firstName,player_lastName,player_name,player_id,team_fullName,team_conference_name,team_conference_abbr,team_conference_id,team_division_name,team_division_abbr,team_division_id,team_name,team_abbr,team_id,stats_gp,stats_timePercent,stats_possessions,stats_points,stats_ppp,stats_pppRank,stats_fgMade,stats_fgMiss,stats_fgAttempt,stats_fgPercent,stats_fgPercentEffective,stats_shot2Made,stats_shot2Miss,stats_shot2Attempt,stats_shot2Percent,stats_shot3Made,stats_shot3Miss,stats_shot3Attempt,stats_shot3Percent,stats_ftMade,stats_ftMiss,stats_ftAttempt,stats_ftPercent,stats_plusOne,stats_shotFoul,stats_score,stats_turnover,SeasonID,SeasonLabel,QueryPlayType
Malachi,Flynn,Malachi Flynn,5fd582355fe05a0e9f6d1929,Toronto Raptors,Eastern Conference,EC,54457dce300969b132fcfb48,Atlantic Division,AD,54457dd0300969b132fcfb9f,Toronto,TOR,54457dd3300969b132fcfe50,55,0.06818181818181818,18,15,0.8333333333333334,178,5,10,15,0.3333333333333333,0.4,3,4,7,0.42857142857142855,2,6,8,0.25,3,1,4,0.75,0,1,7,1,6120261cea4488c9fd5c57c5,,Handoff
Mychal,Mulder,Mychal Mulder,5d9d3cc97455336e87fb9d55,Miami Heat,Eastern Conference,EC,54457dce300969b132fcfb48,Southeast Division,SD,54457dd0300969b132fcfba1,Miami,MIA,54457dd3300969b132fcfe3c,2,,4,5,1.25,,1,2,3,0.3333333333333333,0.5,0,2,2,0.0,1,0,1,1.0,2,0,2,1.0,0,1,2,0,6120261cea4488c9fd5c57c5,,Handoff
Mychal,Mulder,Mychal Mulder,6179fbe4e771e94fc033b27b,Orlando Magic,Eastern Conference,EC,54457dce300969b132fcfb48,Southeast Division,SD,54457dd0300969b132fcfba1,Orlando,ORL,54457dd3300969b132fcfe3f,15,0.13157894736842105,10,7,0.7,235,2,5,7,0.2857142857142857,0.35714285714285715,1,3,4,0.25,1,2,3,0.3333333333333333,2,0,2,1.0,0,1,3,2,6120261cea4488c9fd5c57c5,,Handoff
Dru,Smith,Dru Smith,615baa5fe771e94fc0c75d66,Miami Heat,Eastern Conference,EC,54457dce300969b132fcfb48,Southeast Division,SD,54457dd0300969b132fcfba1,Miami,MIA,54457dd3300969b132fcfe3c,3,,3,2,0.6666666666666666,,1,1,2,0.5,0.5,1,0,1,1.0,0,1,1,0.0,0,0,0,,0,0,1,1,6120261cea4488c9fd5c57c5,,Handoff
Romeo,Langford,Romeo Langford,5d9a87a67455336e87b9df94,Boston Celtics,Eastern Conference,EC,54457dce300969b132fcfb48,Atlantic Division,AD,54457dd0300969b132fcfb9f,Boston,BOS,54457dd3300969b132fcfe3b,48,,7,2,0.2857142857142857,,1,5,6,0.16666666666666666,0.16666666666666666,1,3,4,0.25,0,2,2,0.0,0,0,0,,0,0,1,1,6120261cea4488c9fd5c57c5,,Handoff
Jaysean,Paige,Jaysean Paige,61d1137adf8a6a3c11f47097,Detroit Pistons,Eastern Conference,EC,54457dce300969b132fcfb48,Central Division,CD,54457dd0300969b132fcfba0,Detroit,DET,54457dd3300969b132fcfe4d,1,,1,0,0.0,,0,1,1,0.0,0.0,0,0,0,,0,1,1,0.0,0,0,0,,0,0,0,0,6120261cea4488c9fd5c57c5,,Handoff
Delon,Wright,Delon Wright,615baae0e771e94fc0d00166,Atlanta Hawks,Eastern Conference,EC,54457dce300969b132fcfb48,Southeast Division,SD,54457dd0300969b132fcfba1,Atlanta,ATL,54457dd3300969b132fcfe49,87,0.03225806451612903,13,9,0.6923076923076923,239,3,7,10,0.3,0.3,3,3,6,0.5,0,4,4,0.0,3,1,4,0.75,0,2,5,1,6120261cea4488c9fd5c57c5,,Handoff
Paul,Reed,Paul Reed,5fd979f65fe05a0e9f63ab8c,Philadelphia 76ers,Eastern Conference,EC,54457dce300969b132fcfb48,Atlantic Division,AD,54457dd0300969b132fcfb9f,Philadelphia,PHI,54457dd3300969b132fcfe40,54,,2,2,1.0,,0,0,0,,,0,0,0,,0,0,0,,2,2,4,0.5,0,2,2,0,6120261cea4488c9fd5c57c5,,Handoff
Kyrie,Irving,Kyrie Irving,5d97fb317455336e872883e1,Brooklyn Nets,Eastern Conference,EC,54457dce300969b132fcfb48,Atlantic Division,AD,54457dd0300969b132fcfb9f,Brooklyn,BKN,54457dd3300969b132fcfe3d,34,0.06912991656734208,58,51,0.8793103448275862,152,17,32,49,0.3469387755102041,0.4387755102040816,8,12,20,0.4,9,20,29,0.3103448275862069,8,1,9,0.8888888888888888,2,5,20,6,6120261cea4488c9fd5c57c5,,Handoff
Aaron,Nesmith,Aaron Nesmith,5fd979f65fe05a0e9f63ab68,Boston Celtics,Eastern Conference,EC,54457dce300969b132fcfb48,Atlantic Division,AD,54457dd0300969b132fcfb9f,Boston,BOS,54457dd3300969b132fcfe3b,71,0.050359712230215826,14,7,0.5,276,3,8,11,0.2727272727272727,0.3181818181818182,2,2,4,0.5,1,6,7,0.14285714285714285,0,0,0,,0,0,3,3,6120261cea4488c9fd5c57c5,,Handoff
Duncan,Robinson,Duncan Robinson,5bb146c4aeda7199391557ee,Miami Heat,Eastern Conference,EC,54457dce300969b132fcfb48,Southeast Division,SD,54457dd0300969b132fcfba1,Miami,MIA,54457dd3300969b132fcfe3c,97,0.23561346362649294,217,230,1.0599078341013826,54,75,126,201,0.373134328358209,0.5373134328358209,9,12,21,0.42857142857142855,66,114,180,0.36666666666666664,14,1,15,0.9333333333333333,2,7,80,11,6120261cea4488c9fd5c57c5,,Handoff
Sam,Dekker,Sam Dekker,615ba9bde771e94fc0bc4771,Toronto Raptors,Eastern Conference,EC,54457dce300969b132fcfb48,Atlantic Division,AD,54457dd0300969b132fcfb9f,Toronto,TOR,54457dd3300969b132fcfe50,5,,3,6,2.0,,2,0,2,1.0,1.5,0,0,0,,2,0,2,1.0,0,1,1,0.0,1,1,2,1,6120261cea4488c9fd5c57c5,,Handoff
ETwaun,Moore,ETwaun Moore,544580d0300969b132fd476d,Orlando Magic,Eastern Conference,EC,54457dce300969b132fcfb48,Southeast Division,SD,54457dd0300969b132fcfba1,Orlando,ORL,54457dd3300969b132fcfe3f,4,,3,4,1.3333333333333333,,1,1,2,0.5,0.5,1,0,1,1.0,0,1,1,0.0,2,0,2,1.0,0,1,2,0,6120261cea4488c9fd5c57c5,,Handoff
Justin,Champagnie,Justin Champagnie,615ba9bde771e94fc0bc4766,Toronto Raptors,Eastern Conference,EC,54457dce300969b132fcfb48,Atlantic Division,AD,54457dd0300969b132fcfb9f,Toronto,TOR,54457dd3300969b132fcfe50,41,,3,0,0.0,,0,0,0,,,0,0,0,,0,0,0,,0,0,0,,0,0,0,3,6120261cea4488c9fd5c57c5,,Handoff
Derrick,Rose,Derrick Rose,576aec025762021398c5aab6,New York Knicks,Eastern Conference,EC,54457dce300969b132fcfb48,Atlantic Division,AD,54457dd0300969b132fcfb9f,NewYork,NYK,54457dd3300969b132fcfe3e,30,0.05235602094240838,20,26,1.3,12,11,7,18,0.6111111111111112,0.6666666666666666,9,4,13,0.6923076923076923,2,3,5,0.4,2,0,2,1.0,0,1,12,1,6120261cea4488c9fd5c57c5,,Handoff
Pat,Connaughton,Pat Connaughton,5bb553e3aeda719939fe7de1,Milwaukee Bucks,Eastern Conference,EC,54457dce300969b132fcfb48,Central Division,CD,54457dd0300969b132fcfba0,Milwaukee,MIL,54457dd3300969b132fcfe4f,81,0.08529411764705883,58,68,1.1724137931034482,24,22,25,47,0.46808510638297873,0.5851063829787234,11,3,14,0.7857142857142857,11,22,33,0.3333333333333333,13,1,14,0.9285714285714286,1,5,27,6,6120261cea4488c9fd5c57c5,,Handoff
Bam,Adebayo,Bam Adebayo,59e63aef44b2b8aa7e5bf532,Miami Heat,Eastern Conference,EC,54457dce300969b132fcfb48,Southeast Division,SD,54457dd0300969b132fcfba1,Miami,MIA,54457dd3300969b132fcfe3c,78,0.007541478129713424,10,5,0.5,276,2,5,7,0.2857142857142857,0.2857142857142857,2,5,7,0.2857142857142857,0,0,0,,1,1,2,0.5,0,1,3,2,6120261cea4488c9fd5c57c5,,Handoff
OG,Anunoby,OG Anunoby,59e63b3944b2b8aa7e5d70bf,Toronto Raptors,Eastern Conference,EC,54457dce300969b132fcfb48,Atlantic Division,AD,54457dd0300969b132fcfb9f,Toronto,TOR,54457dd3300969b132fcfe50,58,0.057459677419354836,57,45,0.7894736842105263,201,16,28,44,0.36363636363636365,0.4431818181818182,9,12,21,0.42857142857142855,7,16,23,0.30434782608695654,6,0,6,1.0,0,2,19,10,6120261cea4488c9fd5c57c5,,Handoff
