player_firstName,player_lastName,player_name,player_id,team_fullName,team_conference_name,team_conference_abbr,team_conference_id,team_division_name,team_division_abbr,team_division_id,team_name,team_abbr,team_id,stats_gp,stats_timePercent,stats_possessions,stats_points,stats_ppp,stats_pppRank,stats_fgMade,stats_fgMiss,stats_fgAttempt,stats_fgPercent,stats_fgPercentEffective,stats_shot2Made,stats_shot2Miss,stats_shot2Attempt,stats_shot2Percent,stats_shot3Made,stats_shot3Miss,stats_shot3Attempt,stats_ftMade,stats_ftMiss,stats_ftAttempt,stats_ftPercent,stats_plusOne,stats_shotFoul,stats_score,stats_turnover,SeasonID,SeasonLabel,RequestedPlayType,QueryPlayType,stats_shot3Percent
Marvin,Bagley III,Marvin Bagley III,620b0ef207c7bd5c29495f8b,Detroit Pistons,Eastern Conference,EC,54457dce300969b132fcfb48,Central Division,CD,54457dd0300969b132fcfba0,Detroit,DET,54457dd3300969b132fcfe4d,18,0.053497942386831275,13,13,1.0,56,5,4,9,0.5555555555555556,0.5555555555555556,5,4,9,0.5555555555555556,0,0,0,3,0,3,1.0,1,2,6,3,6120261cea4488c9fd5c57c5,,ISO,ISO,
Jeff,Dowtin,Jeff Dowtin,615baa58e771e94fc0c6c45b,Orlando Magic,Eastern Conference,EC,54457dce300969b132fcfb48,Southeast Division,SD,54457dd0300969b132fcfba1,Orlando,ORL,54457dd3300969b132fcfe3f,3,,3,0,0.0,,0,3,3,0.0,0.0,0,2,2,0.0,0,1,1,0,0,0,,0,0,0,0,6120261cea4488c9fd5c57c5,,ISO,ISO,0.0
Immanuel,Quickley,Immanuel Quickley,5fd42b7d5fe05a0e9f828c94,New York Knicks,Eastern Conference,EC,54457dce300969b132fcfb48,Atlantic Division,AD,54457dd0300969b132fcfb9f,NewYork,NYK,54457dd3300969b132fcfe3e,82,0.11182108626198083,105,90,0.8571428571428571,146,30,60,90,0.3333333333333333,0.3888888888888889,20,34,54,0.37037037037037035,10,26,36,20,1,21,0.9523809523809523,3,9,39,6,6120261cea4488c9fd5c57c5,,ISO,ISO,0.2777777777777778
Matt,Thomas,Matt Thomas,615d0923e771e94fc00a6be5,Chicago Bulls,Eastern Conference,EC,54457dce300969b132fcfb48,Central Division,CD,54457dd0300969b132fcfba0,Chicago,CHI,54457dd3300969b132fcfe4b,44,,4,3,0.75,,1,1,2,0.5,0.5,1,0,1,1.0,0,1,1,1,1,2,0.5,0,1,2,1,6120261cea4488c9fd5c57c5,,ISO,ISO,0.0
Brad,Wanamaker,Brad Wanamaker,6160eec1e771e94fc07092e0,Indiana Pacers,Eastern Conference,EC,54457dce300969b132fcfb48,Central Division,CD,54457dd0300969b132fcfba0,Indiana,IND,54457dd3300969b132fcfe4e,25,,2,0,0.0,,0,2,2,0.0,0.0,0,2,2,0.0,0,0,0,0,0,0,,0,0,0,0,6120261cea4488c9fd5c57c5,,ISO,ISO,
Jimmy,Butler,Jimmy Butler,5d9d3cc97455336e87fb9d2e,Miami Heat,Eastern Conference,EC,54457dce300969b132fcfb48,Southeast Division,SD,54457dd0300969b132fcfba1,Miami,MIA,54457dd3300969b132fcfe3c,76,0.1385886840432295,218,226,1.036697247706422,45,78,96,174,0.4482758620689655,0.46551724137931033,72,83,155,0.4645161290322581,6,13,19,64,13,77,0.8311688311688312,13,41,109,12,6120261cea4488c9fd5c57c5,,ISO,ISO,0.3157894736842105
Gary,Trent Jr.,Gary Trent Jr.,605e8e8d5fe05a0e9f62a986,Toronto Raptors,Eastern Conference,EC,54457dce300969b132fcfb48,Atlantic Division,AD,54457dd0300969b132fcfb9f,Toronto,TOR,54457dd3300969b132fcfe50,80,0.07881417208966016,109,105,0.963302752293578,79,36,62,98,0.3673469387755102,0.44387755102040816,21,28,49,0.42857142857142855,15,34,49,18,4,22,0.8181818181818182,0,9,45,2,6120261cea4488c9fd5c57c5,,ISO,ISO,0.30612244897959184
Myles,Powell,Myles Powell,61c14aef5f9128fdf2204e5a,Philadelphia 76ers,Eastern Conference,EC,54457dce300969b132fcfb48,Atlantic Division,AD,54457dd0300969b132fcfb9f,Philadelphia,PHI,54457dd3300969b132fcfe40,11,,1,0,0.0,,0,1,1,0.0,0.0,0,1,1,0.0,0,0,0,0,0,0,,0,0,0,0,6120261cea4488c9fd5c57c5,,ISO,ISO,
James,Harden,James Harden,600391f85fe05a0e9fc8f8e5,Brooklyn Nets,Eastern Conference,EC,54457dce300969b132fcfb48,Atlantic Division,AD,54457dd0300969b132fcfb9f,Brooklyn,BKN,54457dd3300969b132fcfe3d,47,0.3139745916515426,346,369,1.0664739884393064,31,101,161,262,0.38549618320610685,0.48091603053435117,51,55,106,0.4811320754716981,50,106,156,117,20,137,0.8540145985401459,16,66,153,31,6120261cea4488c9fd5c57c5,,ISO,ISO,0.32051282051282054
Denzel,Valentine,Denzel Valentine,615d0923e771e94fc00a6bb2,Cleveland Cavaliers,Eastern Conference,EC,54457dce300969b132fcfb48,Central Division,CD,54457dd0300969b132fcfba0,Cleveland,CLE,54457dd3300969b132fcfe4c,25,,3,0,0.0,,0,3,3,0.0,0.0,0,2,2,0.0,0,1,1,0,0,0,,0,0,0,0,6120261cea4488c9fd5c57c5,,ISO,ISO,0.0
Kyle,Guy,Kyle Guy,61cfc32cdf8a6a3c11fb886d,Miami Heat,Eastern Conference,EC,54457dce300969b132fcfb48,Southeast Division,SD,54457dd0300969b132fcfba1,Miami,MIA,54457dd3300969b132fcfe3c,19,,3,3,1.0,,1,1,2,0.5,0.5,1,1,2,0.5,0,0,0,1,1,2,0.5,0,1,2,0,6120261cea4488c9fd5c57c5,,ISO,ISO,
Alex,Caruso,Alex Caruso,615d0923e771e94fc00a6bbf,Chicago Bulls,Eastern Conference,EC,54457dce300969b132fcfb48,Central Division,CD,54457dd0300969b132fcfba0,Chicago,CHI,54457dd3300969b132fcfe4b,49,,7,7,1.0,,3,3,6,0.5,0.5833333333333334,2,1,3,0.6666666666666666,1,2,3,0,0,0,,0,0,3,1,6120261cea4488c9fd5c57c5,,ISO,ISO,0.3333333333333333
