player_firstName,player_lastName,player_name,player_id,team_fullName,team_conference_name,team_conference_abbr,team_conference_id,team_division_name,team_division_abbr,team_division_id,team_name,team_abbr,team_id,stats_gp,stats_possessions,stats_points,stats_ppp,stats_fgMade,stats_fgMiss,stats_fgAttempt,stats_fgPercent,stats_fgPercentEffective,stats_shot2Made,stats_shot2Miss,stats_shot2Attempt,stats_shot2Percent,stats_shot3Made,stats_shot3Miss,stats_shot3Attempt,stats_shot3Percent,stats_ftMade,stats_ftMiss,stats_ftAttempt,stats_plusOne,stats_shotFoul,stats_score,stats_turnover,SeasonID,SeasonLabel,QueryPlayType,stats_ftPercent,stats_timePercent,stats_pppRank
Victor,Oladipo,Victor Oladipo,605e9b145fe05a0e9fe8a9bc,Miami Heat,Eastern Conference,EC,54457dce300969b132fcfb48,Southeast Division,SD,54457dd0300969b132fcfba1,Miami,MIA,54457dd3300969b132fcfe3c,23,9,7,0.7777777777777778,3,6,9,0.3333333333333333,0.3888888888888889,2,2,4,0.5,1,4,5,0.2,0,0,0,0,0,3,0,6120261cea4488c9fd5c57c5,,OffScreen,,,
Ignas,Brazdeikis,Ignas Brazdeikis,6090a194e6c2413bc4ff24f2,Orlando Magic,Eastern Conference,EC,54457dce300969b132fcfb48,Southeast Division,SD,54457dd0300969b132fcfba1,Orlando,ORL,54457dd3300969b132fcfe3f,45,6,7,1.1666666666666667,2,2,4,0.5,0.625,1,1,2,0.5,1,1,2,0.5,2,0,2,0,1,3,1,6120261cea4488c9fd5c57c5,,OffScreen,1.0,,
Tyrese,Maxey,Tyrese Maxey,5fd979f65fe05a0e9f63ab88,Philadelphia 76ers,Eastern Conference,EC,54457dce300969b132fcfb48,Atlantic Division,AD,54457dd0300969b132fcfb9f,Philadelphia,PHI,54457dd3300969b132fcfe40,90,18,18,1.0,7,9,16,0.4375,0.5625,3,3,6,0.5,4,6,10,0.4,0,0,0,0,0,7,2,6120261cea4488c9fd5c57c5,,OffScreen,,0.012465373961218837,84
Braxton,Key,Braxton Key,623e743a27fee22f444c4b59,Detroit Pistons,Eastern Conference,EC,54457dce300969b132fcfb48,Central Division,CD,54457dd0300969b132fcfba0,Detroit,DET,54457dd3300969b132fcfe4d,9,2,0,0.0,0,2,2,0.0,0.0,0,1,1,0.0,0,1,1,0.0,0,0,0,0,0,0,0,6120261cea4488c9fd5c57c5,,OffScreen,,,
Juwan,Morgan,Juwan Morgan,615baa6de771e94fc0c8480d,Boston Celtics,Eastern Conference,EC,54457dce300969b132fcfb48,Atlantic Division,AD,54457dd0300969b132fcfb9f,Boston,BOS,54457dd3300969b132fcfe3b,11,1,0,0.0,0,1,1,0.0,0.0,0,0,0,,0,1,1,0.0,0,0,0,0,0,0,0,6120261cea4488c9fd5c57c5,,OffScreen,,,
Al,Horford,Al Horford,615baa6de771e94fc0c8482e,Boston Celtics,Eastern Conference,EC,54457dce300969b132fcfb48,Atlantic Division,AD,54457dd0300969b132fcfb9f,Boston,BOS,54457dd3300969b132fcfe3b,94,8,0,0.0,0,8,8,0.0,0.0,0,1,1,0.0,0,7,7,0.0,0,0,0,0,0,0,0,6120261cea4488c9fd5c57c5,,OffScreen,,,
DeAndre',Bembry,DeAndre' Bembry,615a2ab8e771e94fc0ad8282,Brooklyn Nets,Eastern Conference,EC,54457dce300969b132fcfb48,Atlantic Division,AD,54457dd0300969b132fcfb9f,Brooklyn,BKN,54457dd3300969b132fcfe3d,51,2,2,1.0,0,1,1,0.0,0.0,0,0,0,,0,1,1,0.0,2,0,2,0,1,1,0,6120261cea4488c9fd5c57c5,,OffScreen,1.0,,
Josh,Jackson,Josh Jackson,5fd42b7d5fe05a0e9f828cb6,Detroit Pistons,Eastern Conference,EC,54457dce300969b132fcfb48,Central Division,CD,54457dd0300969b132fcfba0,Detroit,DET,54457dd3300969b132fcfe4d,43,29,26,0.896551724137931,10,14,24,0.4166666666666667,0.5,6,6,12,0.5,4,8,12,0.3333333333333333,2,0,2,0,1,11,4,6120261cea4488c9fd5c57c5,,OffScreen,1.0,0.07945205479452055,139
Evan,Fournier,Evan Fournier,615d00e0e771e94fc0d2925b,New York Knicks,Eastern Conference,EC,54457dce300969b132fcfb48,Atlantic Division,AD,54457dd0300969b132fcfb9f,NewYork,NYK,54457dd3300969b132fcfe3e,84,118,99,0.8389830508474576,32,76,108,0.2962962962962963,0.39814814814814814,10,24,34,0.29411764705882354,22,52,74,0.2972972972972973,13,0,13,0,5,38,4,6120261cea4488c9fd5c57c5,,OffScreen,1.0,0.10251954821894005,161
Jerami,Grant,Jerami Grant,5fd42b7d5fe05a0e9f828cae,Detroit Pistons,Eastern Conference,EC,54457dce300969b132fcfb48,Central Division,CD,54457dd0300969b132fcfba0,Detroit,DET,54457dd3300969b132fcfe4d,51,82,88,1.0731707317073171,29,36,65,0.4461538461538462,0.5,22,24,46,0.4782608695652174,7,12,19,0.3684210526315789,23,1,24,2,11,40,6,6120261cea4488c9fd5c57c5,,OffScreen,0.9583333333333334,0.08515057113187954,60
Payton,Pritchard,Payton Pritchard,5fd979f65fe05a0e9f63ab6b,Boston Celtics,Eastern Conference,EC,54457dce300969b132fcfb48,Atlantic Division,AD,54457dd0300969b132fcfb9f,Boston,BOS,54457dd3300969b132fcfe3b,98,26,20,0.7692307692307693,7,15,22,0.3181818181818182,0.45454545454545453,1,3,4,0.25,6,12,18,0.3333333333333333,0,0,0,0,0,7,4,6120261cea4488c9fd5c57c5,,OffScreen,,0.04601769911504425,188
