player_firstName,player_lastName,player_name,player_id,team_fullName,team_conference_name,team_conference_abbr,team_conference_id,team_division_name,team_division_abbr,team_division_id,team_name,team_abbr,team_id,stats_gp,stats_timePercent,stats_possessions,stats_points,stats_ppp,stats_pppRank,stats_fgMade,stats_fgMiss,stats_fgAttempt,stats_fgPercent,stats_fgPercentEffective,stats_shot2Made,stats_shot2Miss,stats_shot2Attempt,stats_shot2Percent,stats_shot3Made,stats_shot3Miss,stats_shot3Attempt,stats_shot3Percent,stats_ftMade,stats_ftMiss,stats_ftAttempt,stats_ftPercent,stats_plusOne,stats_shotFoul,stats_score,stats_turnover,SeasonID,SeasonLabel,QueryPlayType
Marcus,Smart,Marcus Smart,544580cc300969b132fd451e,Boston Celtics,Eastern Conference,EC,54457dce300969b132fcfb48,Atlantic Division,AD,54457dd0300969b132fcfb9f,Boston,BOS,54457dd3300969b132fcfe3b,94,0.19402985074626866,260,184,0.7076923076923077,268,67,106,173,0.3872832369942196,0.41040462427745666,59,72,131,0.45038167938931295,8,34,42,0.19047619047619047,42,16,58,0.7241379310344828,6,24,91,61,6120261cea4488c9fd5c57c5,,PandRBallHandler
Cade,Cunningham,Cade Cunningham,615e4bcfe771e94fc0e9eab4,Detroit Pistons,Eastern Conference,EC,54457dce300969b132fcfb48,Central Division,CD,54457dd0300969b132fcfba0,Detroit,DET,54457dd3300969b132fcfe4d,64,0.3724756918474196,498,409,0.821285140562249,177,170,211,381,0.4461942257217848,0.48031496062992124,144,161,305,0.4721311475409836,26,50,76,0.34210526315789475,43,6,49,0.8775510204081632,9,21,189,97,6120261cea4488c9fd5c57c5,,PandRBallHandler
RJ,Nembhard Jr.,RJ Nembhard Jr.,615d0923e771e94fc00a6ba8,Cleveland Cavaliers,Eastern Conference,EC,54457dce300969b132fcfb48,Central Division,CD,54457dd0300969b132fcfba0,Cleveland,CLE,54457dd3300969b132fcfe4c,15,,9,10,1.1111111111111112,,5,3,8,0.625,0.625,5,2,7,0.7142857142857143,0,1,1,0.0,0,0,0,,0,0,5,1,6120261cea4488c9fd5c57c5,,PandRBallHandler
Joel,Ayayi,Joel Ayayi,6170afbde771e94fc0c53ae2,Washington Wizards,Eastern Conference,EC,54457dce300969b132fcfb48,Southeast Division,SD,54457dd0300969b132fcfba1,Washington,WAS,54457dd3300969b132fcfe41,7,,4,0,0.0,,0,4,4,0.0,0.0,0,3,3,0.0,0,1,1,0.0,0,0,0,,0,0,0,0,6120261cea4488c9fd5c57c5,,PandRBallHandler
Lamar,Stevens,Lamar Stevens,5fd57d3a5fe05a0e9f5ac60e,Cleveland Cavaliers,Eastern Conference,EC,54457dce300969b132fcfb48,Central Division,CD,54457dd0300969b132fcfba0,Cleveland,CLE,54457dd3300969b132fcfe4c,68,0.054245283018867926,23,21,0.9130434782608695,102,9,12,21,0.42857142857142855,0.42857142857142855,9,12,21,0.42857142857142855,0,0,0,,3,1,4,0.75,0,2,11,0,6120261cea4488c9fd5c57c5,,PandRBallHandler
David,Duke Jr.,David Duke Jr.,615a2ab8e771e94fc0ad82b1,Brooklyn Nets,Eastern Conference,EC,54457dce300969b132fcfb48,Atlantic Division,AD,54457dd0300969b132fcfb9f,Brooklyn,BKN,54457dd3300969b132fcfe3d,25,0.10344827586206896,15,6,0.4,343,3,8,11,0.2727272727272727,0.2727272727272727,3,7,10,0.3,0,1,1,0.0,0,1,1,0.0,1,1,3,4,6120261cea4488c9fd5c57c5,,PandRBallHandler
Victor,Oladipo,Victor Oladipo,605e9b145fe05a0e9fe8a9bc,Miami Heat,Eastern Conference,EC,54457dce300969b132fcfb48,Southeast Division,SD,54457dd0300969b132fcfba1,Miami,MIA,54457dd3300969b132fcfe3c,23,0.3380281690140845,96,77,0.8020833333333334,206,25,45,70,0.35714285714285715,0.40714285714285714,18,28,46,0.391304347826087,7,17,24,0.2916666666666667,20,5,25,0.8,1,11,36,14,6120261cea4488c9fd5c57c5,,PandRBallHandler
Jordan,Nwora,Jordan Nwora,5fd589be5fe05a0e9f893fa2,Milwaukee Bucks,Eastern Conference,EC,54457dce300969b132fcfb48,Central Division,CD,54457dd0300969b132fcfba0,Milwaukee,MIL,54457dd3300969b132fcfe4f,75,0.20125786163522014,128,112,0.875,137,43,62,105,0.4095238095238095,0.49523809523809526,25,46,71,0.352112676056338,18,16,34,0.5294117647058824,8,3,11,0.7272727272727273,1,5,48,18,6120261cea4488c9fd5c57c5,,PandRBallHandler
Blake,Griffin,Blake Griffin,604d73a85fe05a0e9f308004,Brooklyn Nets,Eastern Conference,EC,54457dce300969b132fcfb48,Atlantic Division,AD,54457dd0300969b132fcfb9f,Brooklyn,BKN,54457dd3300969b132fcfe3d,60,,3,2,0.6666666666666666,,1,2,3,0.3333333333333333,0.3333333333333333,1,0,1,1.0,0,2,2,0.0,0,0,0,,0,0,1,0,6120261cea4488c9fd5c57c5,,PandRBallHandler
Jerami,Grant,Jerami Grant,5fd42b7d5fe05a0e9f828cae,Detroit Pistons,Eastern Conference,EC,54457dce300969b132fcfb48,Central Division,CD,54457dd0300969b132fcfba0,Detroit,DET,54457dd3300969b132fcfe4d,51,0.10903426791277258,105,77,0.7333333333333333,258,30,50,80,0.375,0.38125,29,45,74,0.3918918918918919,1,5,6,0.16666666666666666,16,1,17,0.9411764705882353,3,10,37,18,6120261cea4488c9fd5c57c5,,PandRBallHandler
