player_firstName,player_lastName,player_name,player_id,team_fullName,team_conference_name,team_conference_abbr,team_conference_id,team_division_name,team_division_abbr,team_division_id,team_name,team_abbr,team_id,stats_gp,stats_timePercent,stats_possessions,stats_points,stats_ppp,stats_pppRank,stats_fgMade,stats_fgMiss,stats_fgAttempt,stats_fgPercent,stats_fgPercentEffective,stats_shot2Made,stats_shot2Miss,stats_shot2Attempt,stats_shot2Percent,stats_shot3Made,stats_shot3Miss,stats_shot3Attempt,stats_shot3Percent,stats_ftMade,stats_ftMiss,stats_ftAttempt,stats_ftPercent,stats_plusOne,stats_shotFoul,stats_score,stats_turnover,SeasonID,SeasonLabel,QueryPlayType
Lauri,Markkanen,Lauri Markkanen,615d0923e771e94fc00a6b9f,Cleveland Cavaliers,Eastern Conference,EC,54457dce300969b132fcfb48,Central Division,CD,54457dd0300969b132fcfba0,Cleveland,CLE,54457dd3300969b132fcfe4c,68,0.07505518763796909,68,70,1.0294117647058822,164,23,38,61,0.3770491803278688,0.4672131147540984,12,17,29,0.41379310344827586,11,21,32,0.34375,13,1,14,0.9285714285714286,2,8,29,1,6120261cea4488c9fd5c57c5,,PandRRollMan
Devontae,Cacok,Devontae Cacok,615a2ab8e771e94fc0ad8292,Brooklyn Nets,Eastern Conference,EC,54457dce300969b132fcfb48,Atlantic Division,AD,54457dd0300969b132fcfb9f,Brooklyn,BKN,54457dd3300969b132fcfe3d,2,,1,2,2.0,,1,0,1,1.0,1.0,1,0,1,1.0,0,0,0,,0,0,0,,0,0,1,0,6120261cea4488c9fd5c57c5,,PandRRollMan
Cole,Anthony,Cole Anthony,5fd42b555fe05a0e9f82085a,Orlando Magic,Eastern Conference,EC,54457dce300969b132fcfb48,Southeast Division,SD,54457dd0300969b132fcfba1,Orlando,ORL,54457dd3300969b132fcfe3f,69,,4,9,2.25,,3,1,4,0.75,1.125,0,1,1,0.0,3,0,3,1.0,0,0,0,,0,0,3,0,6120261cea4488c9fd5c57c5,,PandRRollMan
Pascal,Siakam,Pascal Siakam,5776bc735762021398fe3f48,Toronto Raptors,Eastern Conference,EC,54457dce300969b132fcfb48,Atlantic Division,AD,54457dd0300969b132fcfb9f,Toronto,TOR,54457dd3300969b132fcfe50,74,0.032448377581120944,55,71,1.290909090909091,48,26,23,49,0.5306122448979592,0.6122448979591837,18,11,29,0.6206896551724138,8,12,20,0.4,11,1,12,0.9166666666666666,2,7,31,1,6120261cea4488c9fd5c57c5,,PandRRollMan
Mohamed,Bamba,Mohamed Bamba,5bb2a653aeda719939f466a8,Orlando Magic,Eastern Conference,EC,54457dce300969b132fcfb48,Southeast Division,SD,54457dd0300969b132fcfba1,Orlando,ORL,54457dd3300969b132fcfe3f,75,0.13428943937418514,103,99,0.9611650485436893,200,36,58,94,0.3829787234042553,0.4946808510638298,15,20,35,0.42857142857142855,21,38,59,0.3559322033898305,6,4,10,0.6,0,5,40,4,6120261cea4488c9fd5c57c5,,PandRRollMan
Sandro,Mamukelashvili,Sandro Mamukelashvili,615d0caee771e94fc01cac29,Milwaukee Bucks,Eastern Conference,EC,54457dce300969b132fcfb48,Central Division,CD,54457dd0300969b132fcfba0,Milwaukee,MIL,54457dd3300969b132fcfe4f,46,0.21578947368421053,41,41,1.0,170,15,21,36,0.4166666666666667,0.5555555555555556,5,10,15,0.3333333333333333,10,11,21,0.47619047619047616,1,1,2,0.5,0,1,16,4,6120261cea4488c9fd5c57c5,,PandRRollMan
Delon,Wright,Delon Wright,615baae0e771e94fc0d00166,Atlanta Hawks,Eastern Conference,EC,54457dce300969b132fcfb48,Southeast Division,SD,54457dd0300969b132fcfba1,Atlanta,ATL,54457dd3300969b132fcfe49,87,,2,3,1.5,,1,1,2,0.5,0.75,0,1,1,0.0,1,0,1,1.0,0,0,0,,0,0,1,0,6120261cea4488c9fd5c57c5,,PandRRollMan
Jerami,Grant,Jerami Grant,5fd42b7d5fe05a0e9f828cae,Detroit Pistons,Eastern Conference,EC,54457dce300969b132fcfb48,Central Division,CD,54457dd0300969b132fcfba0,Detroit,DET,54457dd3300969b132fcfe4d,51,0.03842159916926272,37,37,1.0,170,14,15,29,0.4827586206896552,0.5172413793103449,12,10,22,0.5454545454545454,2,5,7,0.2857142857142857,7,3,10,0.7,0,4,19,3,6120261cea4488c9fd5c57c5,,PandRRollMan
Franz,Wagner,Franz Wagner,615baa58e771e94fc0c6c487,Orlando Magic,Eastern Conference,EC,54457dce300969b132fcfb48,Southeast Division,SD,54457dd0300969b132fcfba1,Orlando,ORL,54457dd3300969b132fcfe3f,83,0.022988505747126436,28,22,0.7857142857142857,248,8,15,23,0.34782608695652173,0.34782608695652173,8,8,16,0.5,0,7,7,0.0,6,0,6,1.0,0,3,11,2,6120261cea4488c9fd5c57c5,,PandRRollMan
Aamir,Simms,Aamir Simms,615d00e0e771e94fc0d292a7,New York Knicks,Eastern Conference,EC,54457dce300969b132fcfb48,Atlantic Division,AD,54457dd0300969b132fcfb9f,NewYork,NYK,54457dd3300969b132fcfe3e,2,,2,2,1.0,,1,1,2,0.5,0.5,1,1,2,0.5,0,0,0,,0,0,0,,0,0,1,0,6120261cea4488c9fd5c57c5,,PandRRollMan
Myles,Turner,Myles Turner,55a494fe1e31501db44135d1,Indiana Pacers,Eastern Conference,EC,54457dce300969b132fcfb48,Central Division,CD,54457dd0300969b132fcfba0,Indiana,IND,54457dd3300969b132fcfe4e,46,0.16448598130841122,88,105,1.1931818181818181,90,43,38,81,0.5308641975308642,0.6111111111111112,30,11,41,0.7317073170731707,13,27,40,0.325,6,2,8,0.75,2,5,46,4,6120261cea4488c9fd5c57c5,,PandRRollMan
Marcus,Smart,Marcus Smart,544580cc300969b132fd451e,Boston Celtics,Eastern Conference,EC,54457dce300969b132fcfb48,Atlantic Division,AD,54457dd0300969b132fcfb9f,Boston,BOS,54457dd3300969b132fcfe3b,94,0.02164179104477612,29,36,1.2413793103448276,69,12,13,25,0.48,0.66,3,6,9,0.3333333333333333,9,7,16,0.5625,3,1,4,0.75,0,1,14,2,6120261cea4488c9fd5c57c5,,PandRRollMan
Clint,Capela,Clint Capela,5e3e22ba7455336e87ada266,Atlanta Hawks,Eastern Conference,EC,54457dce300969b132fcfb48,Southeast Division,SD,54457dd0300969b132fcfba1,Atlanta,ATL,54457dd3300969b132fcfe49,79,0.26498002663115844,199,271,1.3618090452261307,31,124,50,174,0.7126436781609196,0.7126436781609196,124,50,174,0.7126436781609196,0,0,0,,23,26,49,0.46938775510204084,7,28,139,4,6120261cea4488c9fd5c57c5,,PandRRollMan
