player_firstName,player_lastName,player_name,player_id,team_fullName,team_conference_name,team_conference_abbr,team_conference_id,team_division_name,team_division_abbr,team_division_id,team_name,team_abbr,team_id,stats_gp,stats_timePercent,stats_possessions,stats_points,stats_ppp,stats_pppRank,stats_fgMade,stats_fgMiss,stats_fgAttempt,stats_fgPercent,stats_fgPercentEffective,stats_shot2Made,stats_shot2Miss,stats_shot2Attempt,stats_shot2Percent,stats_shot3Made,stats_shot3Miss,stats_shot3Attempt,stats_shot3Percent,stats_ftMade,stats_ftMiss,stats_ftAttempt,stats_plusOne,stats_shotFoul,stats_score,stats_turnover,SeasonID,SeasonLabel,QueryPlayType,stats_ftPercent
Day'Ron,Sharpe,Day'Ron Sharpe,615a2ab8e771e94fc0ad82db,Brooklyn Nets,Eastern Conference,EC,54457dce300969b132fcfb48,Atlantic Division,AD,54457dd0300969b132fcfb9f,Brooklyn,BKN,54457dd3300969b132fcfe3d,35,0.047619047619047616,10,10,1.0,232,4,6,10,0.4,0.5,2,2,4,0.5,2,4,6,0.3333333333333333,0,0,0,0,0,4,0,6120261cea4488c9fd5c57c5,,SpotUp,
Jon,Teske,Jon Teske,5fd42b555fe05a0e9f820877,Orlando Magic,Eastern Conference,EC,54457dce300969b132fcfb48,Southeast Division,SD,54457dd0300969b132fcfba1,Orlando,ORL,54457dd3300969b132fcfe3f,2,,1,0,0.0,,0,1,1,0.0,0.0,0,0,0,,0,1,1,0.0,0,0,0,0,0,0,0,6120261cea4488c9fd5c57c5,,SpotUp,
Lindell,Wigginton,Lindell Wigginton,61e0e45edf8a6a3c112e2ee0,Milwaukee Bucks,Eastern Conference,EC,54457dce300969b132fcfb48,Central Division,CD,54457dd0300969b132fcfba0,Milwaukee,MIL,54457dd3300969b132fcfe4f,19,0.3181818181818182,28,28,1.0,232,10,13,23,0.43478260869565216,0.5652173913043478,4,3,7,0.5714285714285714,6,10,16,0.375,2,4,6,1,3,12,3,6120261cea4488c9fd5c57c5,,SpotUp,0.3333333333333333
Cam,Reddish,Cam Reddish,61ea2165df8a6a3c115b13bf,New York Knicks,Eastern Conference,EC,54457dce300969b132fcfb48,Atlantic Division,AD,54457dd0300969b132fcfb9f,NewYork,NYK,54457dd3300969b132fcfe3e,15,0.3548387096774194,33,20,0.6060606060606061,502,8,20,28,0.2857142857142857,0.32142857142857145,6,3,9,0.6666666666666666,2,17,19,0.10526315789473684,2,0,2,0,1,9,4,6120261cea4488c9fd5c57c5,,SpotUp,1.0
David,Duke Jr.,David Duke Jr.,615a2ab8e771e94fc0ad82b1,Brooklyn Nets,Eastern Conference,EC,54457dce300969b132fcfb48,Atlantic Division,AD,54457dd0300969b132fcfb9f,Brooklyn,BKN,54457dd3300969b132fcfe3d,25,0.2827586206896552,41,31,0.7560975609756098,449,10,28,38,0.2631578947368421,0.3684210526315789,2,4,6,0.3333333333333333,8,24,32,0.25,3,1,4,0,2,12,1,6120261cea4488c9fd5c57c5,,SpotUp,0.75
Goran,Dragic,Goran Dragic,615ba9bde771e94fc0bc4779,Toronto Raptors,Eastern Conference,EC,54457dce300969b132fcfb48,Atlantic Division,AD,54457dd0300969b132fcfb9f,Toronto,TOR,54457dd3300969b132fcfe50,9,0.22666666666666666,17,12,0.7058823529411765,475,4,13,17,0.23529411764705882,0.35294117647058826,0,4,4,0.0,4,9,13,0.3076923076923077,0,0,0,0,0,4,0,6120261cea4488c9fd5c57c5,,SpotUp,
Domantas,Sabonis,Domantas Sabonis,59af0b0117120e9c9a99584f,Indiana Pacers,Eastern Conference,EC,54457dce300969b132fcfb48,Central Division,CD,54457dd0300969b132fcfba0,Indiana,IND,54457dd3300969b132fcfe4e,51,0.11837655016910936,105,80,0.7619047619047619,447,25,60,85,0.29411764705882354,0.4117647058823529,5,12,17,0.29411764705882354,20,48,68,0.29411764705882354,10,6,16,0,8,31,12,6120261cea4488c9fd5c57c5,,SpotUp,0.625
Onyeka,Okongwu,Onyeka Okongwu,5fd42b555fe05a0e9f820891,Atlanta Hawks,Eastern Conference,EC,54457dce300969b132fcfb48,Southeast Division,SD,54457dd0300969b132fcfba1,Atlanta,ATL,54457dd3300969b132fcfe49,55,,6,4,0.6666666666666666,,2,4,6,0.3333333333333333,0.3333333333333333,2,4,6,0.3333333333333333,0,0,0,,0,0,0,0,0,2,0,6120261cea4488c9fd5c57c5,,SpotUp,
Reggie,Perry,Reggie Perry,615ba9bde771e94fc0bc4790,Toronto Raptors,Eastern Conference,EC,54457dce300969b132fcfb48,Atlantic Division,AD,54457dd0300969b132fcfb9f,Toronto,TOR,54457dd3300969b132fcfe50,2,,2,0,0.0,,0,1,1,0.0,0.0,0,0,0,,0,1,1,0.0,0,0,0,0,0,0,1,6120261cea4488c9fd5c57c5,,SpotUp,
Aleem,Ford,Aleem Ford,61bd45669bc6b8713afdaa3c,Orlando Magic,Eastern Conference,EC,54457dce300969b132fcfb48,Southeast Division,SD,54457dd0300969b132fcfba1,Orlando,ORL,54457dd3300969b132fcfe3f,5,0.625,15,8,0.5333333333333333,515,3,11,14,0.21428571428571427,0.2857142857142857,1,0,1,1.0,2,11,13,0.15384615384615385,0,0,0,0,0,3,1,6120261cea4488c9fd5c57c5,,SpotUp,
