player_firstName,player_lastName,player_name,player_id,team_fullName,team_conference_name,team_conference_abbr,team_conference_id,team_division_name,team_division_abbr,team_division_id,team_name,team_abbr,team_id,stats_gp,stats_timePercent,stats_possessions,stats_points,stats_ppp,stats_pppRank,stats_fgMade,stats_fgMiss,stats_fgAttempt,stats_fgPercent,stats_fgPercentEffective,stats_shot2Made,stats_shot2Miss,stats_shot2Attempt,stats_shot2Percent,stats_shot3Made,stats_shot3Miss,stats_shot3Attempt,stats_shot3Percent,stats_ftMade,stats_ftMiss,stats_ftAttempt,stats_ftPercent,stats_plusOne,stats_shotFoul,stats_score,stats_turnover,SeasonID,SeasonLabel,QueryPlayType
DeMarcus,Cousins,DeMarcus Cousins,61a83f265502808bf86838ff,Milwaukee Bucks,Eastern Conference,EC,54457dce300969b132fcfb48,Central Division,CD,54457dd0300969b132fcfba0,Milwaukee,MIL,54457dd3300969b132fcfe4f,17,0.09523809523809523,14,16,1.1428571428571428,231,6,4,10,0.6,0.6,6,3,9,0.6666666666666666,0,1,1,0.0,4,1,5,0.8,3,4,7,3,6120261cea4488c9fd5c57c5,,Transition
Thanasis,Antetokounmpo,Thanasis Antetokounmpo,5d9bf9d27455336e876fcf16,Milwaukee Bucks,Eastern Conference,EC,54457dce300969b132fcfb48,Central Division,CD,54457dd0300969b132fcfba0,Milwaukee,MIL,54457dd3300969b132fcfe4f,61,0.1619047619047619,34,35,1.0294117647058822,347,13,11,24,0.5416666666666666,0.5416666666666666,13,11,24,0.5416666666666666,0,0,0,,9,4,13,0.6923076923076923,1,5,19,4,6120261cea4488c9fd5c57c5,,Transition
Myles,Turner,Myles Turner,55a494fe1e31501db44135d1,Indiana Pacers,Eastern Conference,EC,54457dce300969b132fcfb48,Central Division,CD,54457dd0300969b132fcfba0,Indiana,IND,54457dd3300969b132fcfe4e,46,0.09906542056074766,53,62,1.169811320754717,195,23,19,42,0.5476190476190477,0.6309523809523809,16,4,20,0.8,7,15,22,0.3181818181818182,9,3,12,0.75,2,7,28,6,6120261cea4488c9fd5c57c5,,Transition
Keifer,Sykes,Keifer Sykes,615d00e0e771e94fc0d29283,Indiana Pacers,Eastern Conference,EC,54457dce300969b132fcfb48,Central Division,CD,54457dd0300969b132fcfba0,Indiana,IND,54457dd3300969b132fcfe4e,34,0.14049586776859505,34,48,1.411764705882353,39,19,11,30,0.6333333333333333,0.75,12,4,16,0.75,7,7,14,0.5,3,0,3,1.0,1,2,20,3,6120261cea4488c9fd5c57c5,,Transition
Gordon,Hayward,Gordon Hayward,5fd582355fe05a0e9f6d194d,Charlotte Hornets,Eastern Conference,EC,54457dce300969b132fcfb48,Southeast Division,SD,54457dd0300969b132fcfba1,Charlotte,CHA,54457dd3300969b132fcfe58,50,0.20806241872561768,160,182,1.1375,241,68,58,126,0.5396825396825397,0.6071428571428571,51,23,74,0.6891891891891891,17,35,52,0.3269230769230769,29,8,37,0.7837837837837838,5,21,84,18,6120261cea4488c9fd5c57c5,,Transition
Joe,Harris,Joe Harris,57ab81d7576202139867c67a,Brooklyn Nets,Eastern Conference,EC,54457dce300969b132fcfb48,Atlantic Division,AD,54457dd0300969b132fcfb9f,Brooklyn,BKN,54457dd3300969b132fcfe3d,17,0.1377245508982036,23,46,2.0,2,16,6,22,0.7272727272727273,1.0454545454545454,2,0,2,1.0,14,6,20,0.7,0,0,0,,0,0,16,1,6120261cea4488c9fd5c57c5,,Transition
Javin,DeLaurier,Javin DeLaurier,615d0caee771e94fc01cac21,Milwaukee Bucks,Eastern Conference,EC,54457dce300969b132fcfb48,Central Division,CD,54457dd0300969b132fcfba0,Milwaukee,MIL,54457dd3300969b132fcfe4f,5,,1,0,0.0,,0,0,0,,,0,0,0,,0,0,0,,0,2,2,0.0,0,1,0,0,6120261cea4488c9fd5c57c5,,Transition
Malik,Fitts,Malik Fitts,621846dc25a5348885fe7bdf,Boston Celtics,Eastern Conference,EC,54457dce300969b132fcfb48,Atlantic Division,AD,54457dd0300969b132fcfb9f,Boston,BOS,54457dd3300969b132fcfe3b,17,,2,4,2.0,,2,0,2,1.0,1.0,2,0,2,1.0,0,0,0,,0,0,0,,0,0,2,0,6120261cea4488c9fd5c57c5,,Transition
Luca,Vildoza,Luca Vildoza,626368d37cecca661e89e601,Milwaukee Bucks,Eastern Conference,EC,54457dce300969b132fcfb48,Central Division,CD,54457dd0300969b132fcfba0,Milwaukee,MIL,54457dd3300969b132fcfe4f,7,,1,0,0.0,,0,1,1,0.0,0.0,0,0,0,,0,1,1,0.0,0,0,0,,0,0,0,0,6120261cea4488c9fd5c57c5,,Transition
George,Hill,George Hill,616f7fc1e771e94fc0768410,Milwaukee Bucks,Eastern Conference,EC,54457dce300969b132fcfb48,Central Division,CD,54457dd0300969b132fcfba0,Milwaukee,MIL,54457dd3300969b132fcfe4f,62,0.18328840970350405,68,84,1.2352941176470589,128,32,26,58,0.5517241379310345,0.6206896551724138,24,10,34,0.7058823529411765,8,16,24,0.3333333333333333,12,1,13,0.9230769230769231,1,4,38,4,6120261cea4488c9fd5c57c5,,Transition
Collin,Sexton,Collin Sexton,5bb3fa2aaeda719939fe9b75,Cleveland Cavaliers,Eastern Conference,EC,54457dce300969b132fcfb48,Central Division,CD,54457dd0300969b132fcfba0,Cleveland,CLE,54457dd3300969b132fcfe4c,15,0.20077220077220076,52,65,1.25,115,26,14,40,0.65,0.725,20,7,27,0.7407407407407407,6,7,13,0.46153846153846156,7,5,12,0.5833333333333334,2,6,30,7,6120261cea4488c9fd5c57c5,,Transition
James,Harden,James Harden,620f1ad207c7bd5c29a4b8c5,Philadelphia 76ers,Eastern Conference,EC,54457dce300969b132fcfb48,Atlantic Division,AD,54457dd0300969b132fcfb9f,Philadelphia,PHI,54457dd3300969b132fcfe40,33,0.1338235294117647,91,106,1.164835164835165,204,32,27,59,0.5423728813559322,0.6101694915254238,24,19,43,0.5581395348837209,8,8,16,0.5,34,1,35,0.9714285714285714,1,17,49,15,6120261cea4488c9fd5c57c5,,Transition
Nick,Richards,Nick Richards,5fd582355fe05a0e9f6d194f,Charlotte Hornets,Eastern Conference,EC,54457dce300969b132fcfb48,Southeast Division,SD,54457dd0300969b132fcfba1,Charlotte,CHA,54457dd3300969b132fcfe58,54,0.11764705882352941,18,24,1.3333333333333333,66,8,5,13,0.6153846153846154,0.6153846153846154,8,5,13,0.6153846153846154,0,0,0,,8,0,8,1.0,2,5,11,2,6120261cea4488c9fd5c57c5,,Transition
Saddiq,Bey,Saddiq Bey,5fd42b7d5fe05a0e9f828cab,Detroit Pistons,Eastern Conference,EC,54457dce300969b132fcfb48,Central Division,CD,54457dd0300969b132fcfba0,Detroit,DET,54457dd3300969b132fcfe4d,84,0.16813509544787078,229,248,1.0829694323144106,301,84,96,180,0.4666666666666667,0.5527777777777778,53,29,82,0.6463414634146342,31,67,98,0.3163265306122449,49,12,61,0.8032786885245902,8,31,110,23,6120261cea4488c9fd5c57c5,,Transition
