Metric,RawValue
Average Dribbles Per Touch,Average Dribbles Per Touch *
Avg Speed Defense,Avg Speed Defense *
Avg Speed Offense,Avg Speed Offense *
% of Time as Big,% of Time as Big
Dribbles Per Second on Offense,Dribbles Per Second on Offense *
Games Played,Games Played *
Games Started,Games Started *
Percent of Games Started,Percent of Games Started *
% of Time as Guard,% of Time as Guard
Minutes Consistency,Minutes Consistency *
Minutes Per Game,Minutes Per Game *
Offensive Involvement Rate,Offensive Involvement Rate *
On-Ball Action Share,On-Ball Action Share *
Ball Dominance %,Ball Dominance % *
Primary Defender Involvement Rate,Primary Defender Involvement Rate *
Quick Decision Making Assist %,Quick Decision Making Assist % *
Quick Decision Making Assists/100,Quick Decision Making Assists/100 *
Quick Decision Making Assists/75,Quick Decision Making Assists/75 *
Quick Decision Making Pass %,Quick Decision Making Pass % *
Quick Decision Making Shot %,Quick Decision Making Shot % *
Quick Decision Making Shots/100,Quick Decision Making Shots/100 *
Quick Decision Making Shots/75,Quick Decision Making Shots/75 *
Quick Decision Making %,Quick Decision Making % *
Scoring Possessions Per 75 Possessions,Scoring Possessions Per 75 Possessions *
Stable Penalty Offense Poss%,Stable Penalty Offense Poss% *
Stable PenaltyDefensePoss%,Stable PenaltyDefensePoss% *
Stable True Usage%,Stable True Usage% *
Time Off-Ball %,Time Off-Ball % *
Touches Per 75,Touches Per 75 *
Touches Per Game,Touches Per Game *
True Shot Attempts Per 75 Possessions,True Shot Attempts Per 75 Possessions *
True Usage,True Usage *
Two-Way Load,Two-Way Load *
Two-Way Usage,Two-Way Usage *
Usage Consistency,Usage Consistency *
Usage Rate,Usage Rate *
% of Time as Wing,% of Time as Wing
Advanced Position,Advanced Position *
Age,Age *
Clutch Minutes Played,Clutch Minutes Played *
Clutch Time%,Clutch Time% *
Defensive Position,Defensive Position *
Garbage Time%,Garbage Time% *
Height,Height *
Minutes,Minutes *
Non Garbage-Time Minutes,Non Garbage-Time Minutes *
Offense Position,Offense Position *
Salary,Salary *
Weight,Weight *
Years of Experience,Years of Experience *
DHO Coverage Aggression,DHO Coverage Aggression *
DHO Coverage Versatility,DHO Coverage Versatility *
Defensive Role Versatility,Defensive Role Versatility *
% of Minutes in Foul Trouble,% of Minutes in Foul Trouble *
Fouls Committed / 75,Fouls Committed / 75 *
Fouls Consistency,Fouls Consistency *
Fouls Drawn / 75,Fouls Drawn / 75 *
Off-Ball Coverage Aggression,Off-Ball Coverage Aggression *
Off-Ball Coverage Versatility,Off-Ball Coverage Versatility *
Overall Coverage Aggression,Overall Coverage Aggression *
