NBA_ID,Season,Player,RotationRole,MIN
708,2013-14,Kevin Garnett,Key Rotation,1107.0
708,2014-15,Kevin Garnett,Rotation,954.1
708,2015-16,Kevin Garnett,Rotation,554.8
951,2013-14,Ray Allen,Starter,1934.5
959,2013-14,Steve Nash,Rotation,312.0
965,2013-14,Derek Fisher,Rotation,1425.6
977,2013-14,Kobe Bryant,Too Few Games,177.0
977,2014-15,Kobe Bryant,Starter,1207.5
977,2015-16,Kobe Bryant,Starter,1861.2
979,2013-14,Jermaine ONeal,Rotation,884.4
1495,2013-14,Tim Duncan,Star,2160.8
1495,2014-15,Tim Duncan,Star,2225.3
1495,2015-16,Tim Duncan,Starter,1537.2
1497,2013-14,Chauncey Billups,Rotation,309.7
1536,2013-14,Stephen Jackson,Garbage Time,107.1
1712,2013-14,Antawn Jamison,Garbage Time,248.6
1713,2013-14,Vince Carter,Starter,1976.4
1713,2014-15,Vince Carter,Rotation,1089.0
1713,2015-16,Vince Carter,Rotation,1008.0
1713,2016-17,Vince Carter,Starter,1803.1
1713,2017-18,Vince Carter,Key Rotation,1026.6
1713,2018-19,Vince Carter,Rotation,1330.0
1713,2019-20,Vince Carter,Rotation,876.0
1717,2013-14,Dirk Nowitzki,Star,2632.0
1717,2014-15,Dirk Nowitzki,Star,2279.2
1717,2015-16,Dirk Nowitzki,Starter,2362.5
1717,2016-17,Dirk Nowitzki,Key Rotation,1425.6
1717,2017-18,Dirk Nowitzki,Key Rotation,1901.9
1717,2018-19,Dirk Nowitzki,Rotation,795.6
1718,2013-14,Paul Pierce,Starter,2100.0
1718,2014-15,Paul Pierce,Starter,1912.6
1718,2015-16,Paul Pierce,Rotation,1230.8
1718,2016-17,Paul Pierce,Garbage Time,277.5
1733,2013-14,Al Harrington,Rotation,510.0
1737,2013-14,Nazr Mohammed,Garbage Time,560.0
1737,2014-15,Nazr Mohammed,Garbage Time,128.8
1737,2015-16,Nazr Mohammed,Too Few Games,19.5
1740,2013-14,Rashard Lewis,Rotation,972.0
1882,2013-14,Elton Brand,Rotation,1416.2
1882,2014-15,Elton Brand,Rotation,486.0
1882,2015-16,Elton Brand,Garbage Time,224.4
1889,2013-14,Andre Miller,Rotation,980.2
1889,2014-15,Andre Miller,Rotation,1255.5
1889,2015-16,Andre Miller,Garbage Time,460.2
1890,2013-14,Shawn Marion,Starter,2409.2
1890,2014-15,Shawn Marion,Rotation,1100.1
1891,2013-14,Jason Terry,Rotation,570.5
1891,2014-15,Jason Terry,Rotation,1640.1
1891,2015-16,Jason Terry,Rotation,1260.0
1891,2016-17,Jason Terry,Rotation,1361.6
1891,2017-18,Jason Terry,Rotation,816.0
1897,2013-14,Metta World Peace,Rotation,388.6
1897,2015-16,Metta World Peace,Rotation,591.5
1897,2016-17,Metta World Peace,Garbage Time,160.0
1905,2013-14,Andrei Kirilenko,Rotation,859.5
1905,2014-15,Andrei Kirilenko,Too Few Games,36.4
1938,2013-14,Manu Ginobili,Key Rotation,1550.4
1938,2014-15,Manu Ginobili,Key Rotation,1589.0
1938,2015-16,Manu Ginobili,Key Rotation,1136.8
1938,2016-17,Manu Ginobili,Key Rotation,1290.3
1938,2017-18,Manu Ginobili,Rotation,1300.0
2030,2013-14,Kenyon Martin,Rotation,633.6
2030,2014-15,Kenyon Martin,Garbage Time,104.5
2034,2013-14,Mike Miller,Key Rotation,1705.6
2034,2014-15,Mike Miller,Rotation,702.0
2034,2015-16,Mike Miller,Garbage Time,371.3
2034,2016-17,Mike Miller,Garbage Time,150.0
2037,2013-14,Jamal Crawford,Starter,2097.6
2037,2014-15,Jamal Crawford,Key Rotation,1702.4
2037,2015-16,Jamal Crawford,Starter,2125.1
2037,2016-17,Jamal Crawford,Key Rotation,2156.6
2037,2017-18,Jamal Crawford,Key Rotation,1656.0
2037,2018-19,Jamal Crawford,Rotation,1209.6
2037,2019-20,Jamal Crawford,Too Few Games,6.0
2045,2013-14,Hedo Turkoglu,Rotation,391.4
2045,2014-15,Hedo Turkoglu,Rotation,706.8
2199,2013-14,Tyson Chandler,Starter,1661.0
2199,2014-15,Tyson Chandler,Starter,2287.5
2199,2015-16,Tyson Chandler,Key Rotation,1617.0
2199,2016-17,Tyson Chandler,Starter,1297.2
2199,2017-18,Tyson Chandler,Key Rotation,1150.0
2199,2018-19,Tyson Chandler,Rotation,874.5
2199,2019-20,Tyson Chandler,Garbage Time,218.4
2200,2013-14,Pau Gasol,Starter,1884.0
2200,2014-15,Pau Gasol,Starter,2683.2
2200,2015-16,Pau Gasol,Starter,2289.6
