NBA_ID,Season,Player
708,2013-14,Kevin Garnett
708,2014-15,Kevin Garnett
708,2015-16,Kevin Garnett
951,2013-14,Ray Allen
959,2013-14,Steve Nash
965,2013-14,Derek Fisher
977,2013-14,Kobe Bryant
977,2014-15,Kobe Bryant
977,2015-16,Kobe Bryant
979,2013-14,Jermaine ONeal
1495,2013-14,Tim Duncan
1495,2014-15,Tim Duncan
1495,2015-16,Tim Duncan
1497,2013-14,Chauncey Billups
1536,2013-14,Stephen Jackson
1712,2013-14,Antawn Jamison
1713,2013-14,Vince Carter
1713,2014-15,Vince Carter
1713,2015-16,Vince Carter
1713,2016-17,Vince Carter
1713,2017-18,Vince Carter
1713,2018-19,Vince Carter
1713,2019-20,Vince Carter
1717,2013-14,Dirk Nowitzki
1717,2014-15,Dirk Nowitzki
1717,2015-16,Dirk Nowitzki
1717,2016-17,Dirk Nowitzki
1717,2017-18,Dirk Nowitzki
1717,2018-19,Dirk Nowitzki
1718,2013-14,Paul Pierce
1718,2014-15,Paul Pierce
1718,2015-16,Paul Pierce
1718,2016-17,Paul Pierce
1733,2013-14,Al Harrington
1737,2013-14,Nazr Mohammed
1737,2014-15,Nazr Mohammed
1737,2015-16,Nazr Mohammed
1740,2013-14,Rashard Lewis
1882,2013-14,Elton Brand
1882,2014-15,Elton Brand
1882,2015-16,Elton Brand
1889,2013-14,Andre Miller
1889,2014-15,Andre Miller
1889,2015-16,Andre Miller
1890,2013-14,Shawn Marion
1890,2014-15,Shawn Marion
1891,2013-14,Jason Terry
1891,2014-15,Jason Terry
1891,2015-16,Jason Terry
1891,2016-17,Jason Terry
1891,2017-18,Jason Terry
1897,2013-14,Metta World Peace
1897,2015-16,Metta World Peace
1897,2016-17,Metta World Peace
1905,2013-14,Andrei Kirilenko
1905,2014-15,Andrei Kirilenko
1938,2013-14,Manu Ginobili
1938,2014-15,Manu Ginobili
1938,2015-16,Manu Ginobili
1938,2016-17,Manu Ginobili
1938,2017-18,Manu Ginobili
2030,2013-14,Kenyon Martin
2030,2014-15,Kenyon Martin
2034,2013-14,Mike Miller
2034,2014-15,Mike Miller
2034,2015-16,Mike Miller
2034,2016-17,Mike Miller
2037,2013-14,Jamal Crawford
2037,2014-15,Jamal Crawford
2037,2015-16,Jamal Crawford
2037,2016-17,Jamal Crawford
2037,2017-18,Jamal Crawford
2037,2018-19,Jamal Crawford
2037,2019-20,Jamal Crawford
