NBA ID	Season	Player	Offensive Rebound
708	2013-14	Kevin Garnett	0.314416637
708	2014-15	Kevin Garnett	-0.030423211
708	2015-16	Kevin Garnett	-0.515873696
951	2013-14	Ray Allen	-0.664135886
959	2013-14	Steve Nash	-0.849756336
965	2013-14	Derek Fisher	-0.73624595
977	2013-14	Kobe Bryant	-1.478906996
977	2014-15	Kobe Bryant	-0.469708891
977	2015-16	Kobe Bryant	-0.469454001
979	2013-14	Jermaine O'Neal	0.853067836
1495	2013-14	Tim Duncan	1.038102017
1495	2014-15	Tim Duncan	1.106787025
1495	2015-16	Tim Duncan	0.636969756
1497	2013-14	Chauncey Billups	-0.604317337
1536	2013-14	Stephen Jackson	-1.531017371
1712	2013-14	Antawn Jamison	-1.181403006
1713	2013-14	Vince Carter	-0.221822996
1713	2014-15	Vince Carter	-0.357687896
1713	2015-16	Vince Carter	-0.203499249
1713	2016-17	Vince Carter	-0.567131791
1713	2017-18	Vince Carter	-0.530129127
1713	2018-19	Vince Carter	-0.442060536
1713	2019-20	Vince Carter	-0.533736478
1717	2013-14	Dirk Nowitzki	-0.597994579
1717	2014-15	Dirk Nowitzki	-0.455503908
1717	2015-16	Dirk Nowitzki	-0.363438465
1717	2016-17	Dirk Nowitzki	-0.592388476
1717	2017-18	Dirk Nowitzki	-0.563393201
1717	2018-19	Dirk Nowitzki	-0.820276826
1718	2013-14	Paul Pierce	-0.682975944
1718	2014-15	Paul Pierce	-0.43450008
1718	2015-16	Paul Pierce	-0.819137458
1718	2016-17	Paul Pierce	-1.818543916
1733	2013-14	Al Harrington	-0.366088082
1737	2013-14	Nazr Mohammed	0.420401979
1737	2014-15	Nazr Mohammed	-0.847917407
1737	2015-16	Nazr Mohammed	-1.324164761
1740	2013-14	Rashard Lewis	-0.227152615
1882	2013-14	Elton Brand	0.519290147
1882	2014-15	Elton Brand	0.094188936
1882	2015-16	Elton Brand	-1.291146091
1889	2013-14	Andre Miller	-0.405044966
1889	2014-15	Andre Miller	-0.316796485
1889	2015-16	Andre Miller	-1.270248333
1890	2013-14	Shawn Marion	0.516637086
1890	2014-15	Shawn Marion	0.399501867
1891	2013-14	Jason Terry	-0.854135465
1891	2014-15	Jason Terry	-0.859336001
1891	2015-16	Jason Terry	-0.716154586
1891	2016-17	Jason Terry	-0.735799355
1891	2017-18	Jason Terry	-0.825503203
1897	2013-14	Metta World Peace	-0.014711891
1897	2015-16	Metta World Peace	-0.190300813
1897	2016-17	Metta World Peace	-1.438803857
1905	2013-14	Andrei Kirilenko	0.637414841
1905	2014-15	Andrei Kirilenko	-0.838414695
1938	2013-14	Manu Ginobili	-0.414345338
1938	2014-15	Manu Ginobili	-0.641831418
1938	2015-16	Manu Ginobili	-0.375216175
1938	2016-17	Manu Ginobili	-0.396522551
1938	2017-18	Manu Ginobili	-0.466931837
2030	2013-14	Kenyon Martin	0.470791256
2030	2014-15	Kenyon Martin	-0.926161171
2034	2013-14	Mike Miller	-0.452878114
2034	2014-15	Mike Miller	-0.890659178
2034	2015-16	Mike Miller	-1.527802992
2034	2016-17	Mike Miller	-1.647247377
2037	2013-14	Jamal Crawford	-0.623587624
2037	2014-15	Jamal Crawford	-0.761501848
2037	2015-16	Jamal Crawford	-0.749115053
2037	2016-17	Jamal Crawford	-0.784370631
2037	2017-18	Jamal Crawford	-0.680778638
2037	2018-19	Jamal Crawford	-0.773838912
2037	2019-20	Jamal Crawford	-1.885284528
2045	2013-14	Hedo Turkoglu	-0.452362106
2045	2014-15	Hedo Turkoglu	-0.940023436
2199	2013-14	Tyson Chandler	1.205118
2199	2014-15	Tyson Chandler	2.190705502
2199	2015-16	Tyson Chandler	1.151486165
2199	2016-17	Tyson Chandler	1.398692593
2199	2017-18	Tyson Chandler	2.007197684
2199	2018-19	Tyson Chandler	0.813289035
2199	2019-20	Tyson Chandler	-0.174981658
2200	2013-14	Pau Gasol	0.772552908
2200	2014-15	Pau Gasol	1.542447067
2200	2015-16	Pau Gasol	0.883076763
2200	2016-17	Pau Gasol	0.495250317
2200	2017-18	Pau Gasol	1.155380337
2200	2018-19	Pau Gasol	0.096779178
2202	2014-15	Jason Richardson	-0.10263716
2203	2013-14	Shane Battier	-0.267086632
2207	2013-14	Joe Johnson	-0.423038233
2207	2014-15	Joe Johnson	-0.419614252
2207	2015-16	Joe Johnson	-0.480665987
2207	2016-17	Joe Johnson	-0.51973466
2207	2017-18	Joe Johnson	-0.664085128
2207	2021-22	Joe Johnson	-1.871328619
2210	2013-14	Richard Jefferson	-0.869373495
2210	2014-15	Richard Jefferson	-0.68662714
2210	2015-16	Richard Jefferson	-0.714342099
2210	2016-17	Richard Jefferson	-0.585802305
2210	2017-18	Richard Jefferson	-1.351812254
2215	2013-14	Jason Collins	-1.103571932
2216	2013-14	Zach Randolph	1.232251277
2216	2014-15	Zach Randolph	1.484656023
2216	2015-16	Zach Randolph	0.89887085
2216	2016-17	Zach Randolph	1.255230664
2216	2017-18	Zach Randolph	0.978920764
2217	2014-15	Brendan Haywood	-0.895638136
2222	2013-14	Gerald Wallace	-0.381453736
2222	2014-15	Gerald Wallace	-0.910553725
2223	2013-14	Samuel Dalembert	1.767576326
2223	2014-15	Samuel Dalembert	1.151735341
2224	2013-14	Jamaal Tinsley	-1.451868993
2225	2013-14	Tony Parker	-1.212960898
2225	2014-15	Tony Parker	-1.034774231
2225	2015-16	Tony Parker	-1.031921441
2225	2016-17	Tony Parker	-1.055029706
2225	2017-18	Tony Parker	-1.112049802
2225	2018-19	Tony Parker	-0.962515908
2229	2013-14	Mike James	-1.986125001
2248	2013-14	Earl Watson	-1.209426359
2365	2013-14	Chris Andersen	1.222152453
2365	2014-15	Chris Andersen	0.564006741
2365	2015-16	Chris Andersen	0.590968045
2365	2016-17	Chris Andersen	-0.6748789
2399	2013-14	Mike Dunleavy	-0.530800027
2399	2014-15	Mike Dunleavy	-0.607718571
2399	2015-16	Mike Dunleavy	-0.737156566
2399	2016-17	Mike Dunleavy	-0.518148279
2400	2013-14	Drew Gooden	0.965888507
2400	2014-15	Drew Gooden	0.9253804
2400	2015-16	Drew Gooden	0.270486471
2403	2013-14	Nene	0.00303969
2403	2014-15	Nene	0.141981812
2403	2015-16	Nene	-0.041336913
2403	2016-17	Nene	0.588066032
2403	2017-18	Nene	0.610427075
2403	2018-19	Nene	0.281817944
2405	2013-14	Amar'e Stoudemire	1.058702196
2405	2014-15	Amar'e Stoudemire	1.360556421
2405	2015-16	Amar'e Stoudemire	0.697182677
2406	2013-14	Caron Butler	-0.584425266
2406	2014-15	Caron Butler	-0.698215088
2406	2015-16	Caron Butler	-1.400181153
2408	2013-14	Melvin Ely	-1.832862252
2419	2013-14	Tayshaun Prince	-0.573416816
2419	2014-15	Tayshaun Prince	0.027798632
2419	2015-16	Tayshaun Prince	-0.428035788
2422	2013-14	John Salmons	-0.812054265
2422	2014-15	John Salmons	-1.743103272
2427	2013-14	Roger Mason Jr	-1.904075624
2430	2013-14	Carlos Boozer	0.693080117
2430	2014-15	Carlos Boozer	0.668793826
2440	2013-14	Matt Barnes	0.045913571
2440	2014-15	Matt Barnes	-0.364817622
2440	2015-16	Matt Barnes	0.023308067
2440	2016-17	Matt Barnes	0.069450045
2446	2013-14	Rasual Butler	-1.312663544
2446	2014-15	Rasual Butler	-0.593899395
2446	2015-16	Rasual Butler	-1.74609861
2449	2013-14	Luis Scola	0.55589973
2449	2014-15	Luis Scola	1.264372771
2449	2015-16	Luis Scola	0.302824047
2449	2016-17	Luis Scola	0.742514058
2457	2013-14	Jannero Pargo	-1.952186393
2457	2014-15	Jannero Pargo	-1.93862903
2501	2013-14	Reggie Evans	1.857652189
2501	2014-15	Reggie Evans	2.071698683
2544	2013-14	LeBron James	-0.179991649
2544	2014-15	LeBron James	-0.535792708
2544	2015-16	LeBron James	0.086143629
2544	2016-17	LeBron James	-0.146974118
2544	2017-18	LeBron James	0.0016755
2544	2018-19	LeBron James	-0.157454275
2544	2019-20	LeBron James	-0.26937334
2544	2020-21	LeBron James	-0.504581597
2544	2021-22	LeBron James	-0.189522543
2544	2022-23	LeBron James	-0.148774192
2544	2023-24	LeBron James	-0.366513547
2544	2024-25	LeBron James	-0.197788697
2544	2025-26	Lebron James	-0.487420121
2546	2013-14	Carmelo Anthony	0.380204837
2546	2014-15	Carmelo Anthony	0.518578853
2546	2015-16	Carmelo Anthony	0.055627075
2546	2016-17	Carmelo Anthony	-0.323098625
2546	2017-18	Carmelo Anthony	-0.128205651
2546	2018-19	Carmelo Anthony	0.26553015
2546	2019-20	Carmelo Anthony	0.050570208
2546	2020-21	Carmelo Anthony	-0.499759181
2546	2021-22	Carmelo Anthony	-0.10919408
2547	2013-14	Chris Bosh	0.024665783
2547	2014-15	Chris Bosh	-0.311191767
2547	2015-16	Chris Bosh	-0.32853785
2548	2013-14	Dwyane Wade	0.036795138
2548	2014-15	Dwyane Wade	-0.128613955
2548	2015-16	Dwyane Wade	-0.091786552
2548	2016-17	Dwyane Wade	-0.051701496
2548	2017-18	Dwyane Wade	-0.18410454
2548	2018-19	Dwyane Wade	-0.060522322
2549	2013-14	Chris Kaman	0.585324178
2549	2014-15	Chris Kaman	1.220965176
2549	2015-16	Chris Kaman	-0.930853159
2550	2013-14	Kirk Hinrich	-0.60783433
2550	2014-15	Kirk Hinrich	-0.679343292
2550	2015-16	Kirk Hinrich	-0.768921918
2555	2013-14	Nick Collison	1.208915492
2555	2014-15	Nick Collison	0.918685147
2555	2015-16	Nick Collison	0.922298019
2555	2016-17	Nick Collison	-0.830262512
2555	2017-18	Nick Collison	-0.615676738
2557	2013-14	Luke Ridnour	-0.485363593
2557	2014-15	Luke Ridnour	-0.79851172
2561	2013-14	David West	0.553580887
2561	2014-15	David West	0.567211806
2561	2015-16	David West	0.103530995
2561	2016-17	David West	0.096193601
2561	2017-18	David West	0.496493202
2563	2014-15	Dahntay Jones	-1.924735424
2563	2015-16	Dahntay Jones	-1.033491973
2563	2016-17	Dahntay Jones	-0.602294625
2564	2013-14	Boris Diaw	-0.019455641
2564	2014-15	Boris Diaw	-0.098836193
2564	2015-16	Boris Diaw	-0.164652023
2564	2016-17	Boris Diaw	-0.220644374
2566	2013-14	Travis Outlaw	-0.008245223
2570	2013-14	Kendrick Perkins	0.323615231
2570	2014-15	Kendrick Perkins	0.542818719
2570	2015-16	Kendrick Perkins	-0.107608729
2570	2017-18	Kendrick Perkins	-1.618426251
2571	2013-14	Leandro Barbosa	-0.915678457
2571	2014-15	Leandro Barbosa	-0.703368412
2571	2015-16	Leandro Barbosa	-0.562174405
2571	2016-17	Leandro Barbosa	-0.76149448
2581	2013-14	Steve Blake	-0.804353929
2581	2014-15	Steve Blake	-0.833773954
2581	2015-16	Steve Blake	-0.856586818
2584	2013-14	Willie Green	-0.622291011
