Season,SEASON_ID,PLAYER_ID,PLAYER_NAME,TEAM_ID,TEAM_ABBREVIATION,TEAM_NAME,PLAY_TYPE,TYPE_GROUPING,PERCENTILE,GP,POSS_PCT,PPP,FG_PCT,FT_POSS_PCT,TOV_POSS_PCT,SF_POSS_PCT,PLUSONE_POSS_PCT,SCORE_POSS_PCT,EFG_PCT,POSS,PTS,FGM,FGA,FGMX
2025-26,22025,1628392,Isaiah Hartenstein,1610612760,OKC,Oklahoma City Thunder,Cut,Offensive,0.451,17,0.402,1.311,0.683,0.162,0.095,0.162,0.068,0.649,0.683,4.4,5.7,2.4,3.5,1.1
2025-26,22025,1628374,Lauri Markkanen,1610612762,UTA,Utah Jazz,Cut,Offensive,0.88,17,0.128,1.574,0.787,0.185,0.019,0.185,0.074,0.796,0.787,3.2,5.0,2.2,2.8,0.6
2025-26,22025,1628386,Jarrett Allen,1610612739,CLE,Cleveland Cavaliers,Cut,Offensive,0.359,14,0.305,1.241,0.596,0.19,0.052,0.19,0.052,0.621,0.596,4.1,5.1,2.0,3.4,1.4
2025-26,22025,1629028,Deandre Ayton,1610612747,LAL,Los Angeles Lakers,Cut,Offensive,0.732,15,0.24,1.479,0.773,0.042,0.063,0.021,0.021,0.729,0.773,3.2,4.7,2.3,2.9,0.7
2025-26,22025,1641708,Amen Thompson,1610612745,HOU,Houston Rockets,Cut,Offensive,0.81,14,0.18,1.511,0.763,0.2,0.067,0.2,0.111,0.733,0.763,3.2,4.9,2.1,2.7,0.6
2025-26,22025,1631109,Mark Williams,1610612756,PHX,Phoenix Suns,Cut,Offensive,0.62,14,0.346,1.404,0.703,0.191,0.043,0.191,0.021,0.723,0.703,3.4,4.7,1.9,2.6,0.8
2025-26,22025,1627826,Ivica Zubac,1610612746,LAC,LA Clippers,Cut,Offensive,0.387,17,0.204,1.255,0.674,0.039,0.098,0.039,0.039,0.608,0.674,3.0,3.8,1.8,2.7,0.9
2025-26,22025,1627751,Jakob Poeltl,1610612761,TOR,Toronto Raptors,Cut,Offensive,0.464,13,0.393,1.313,0.703,0.146,0.083,0.125,0.0,0.667,0.703,3.7,4.8,2.0,2.8,0.8
2025-26,22025,1629674,Neemias Queta,1610612738,BOS,Boston Celtics,Cut,Offensive,0.83,17,0.279,1.526,0.75,0.105,0.0,0.105,0.053,0.763,0.75,2.2,3.4,1.6,2.1,0.5
2025-26,22025,1631105,Jalen Duren,1610612765,DET,Detroit Pistons,Cut,Offensive,0.507,15,0.173,1.349,0.697,0.233,0.047,0.186,0.047,0.698,0.697,2.9,3.9,1.5,2.2,0.7
2025-26,22025,1630700,Dyson Daniels,1610612737,ATL,Atlanta Hawks,Cut,Offensive,0.794,19,0.165,1.5,0.771,0.105,0.053,0.105,0.079,0.737,0.771,2.0,3.0,1.4,1.8,0.4
2025-26,22025,1642276,Kel'el Ware,1610612748,MIA,Miami Heat,Cut,Offensive,0.817,17,0.202,1.514,0.735,0.135,0.027,0.135,0.081,0.73,0.735,2.2,3.3,1.5,2.0,0.5
2025-26,22025,203497,Rudy Gobert,1610612750,MIN,Minnesota Timberwolves,Cut,Offensive,0.333,17,0.305,1.217,0.767,0.239,0.152,0.217,0.043,0.674,0.767,2.7,3.3,1.4,1.8,0.4
2025-26,22025,1641750,Ryan Kalkbrenner,1610612766,CHA,Charlotte Hornets,Cut,Offensive,0.972,16,0.292,1.636,0.828,0.121,0.061,0.121,0.061,0.788,0.828,2.1,3.4,1.5,1.8,0.3
2025-26,22025,1630552,Jalen Johnson,1610612737,ATL,Atlanta Hawks,Cut,Offensive,0.866,17,0.094,1.559,0.786,0.176,0.0,0.176,0.0,0.824,0.786,2.0,3.1,1.3,1.6,0.4
2025-26,22025,1630596,Evan Mobley,1610612739,CLE,Cleveland Cavaliers,Cut,Offensive,0.218,18,0.131,1.156,0.677,0.178,0.156,0.156,0.022,0.6,0.677,2.5,2.9,1.2,1.7,0.6
2025-26,22025,1631096,Chet Holmgren,1610612760,OKC,Oklahoma City Thunder,Cut,Offensive,0.373,14,0.177,1.244,0.71,0.098,0.146,0.098,0.0,0.634,0.71,2.9,3.6,1.6,2.2,0.6
2025-26,22025,1631212,Peyton Watson,1610612743,DEN,Denver Nuggets,Cut,Offensive,0.397,17,0.242,1.263,0.606,0.105,0.026,0.105,0.0,0.632,0.606,2.2,2.8,1.2,1.9,0.8
