Season,SEASON_ID,PLAYER_ID,PLAYER_NAME,TEAM_ID,TEAM_ABBREVIATION,TEAM_NAME,PLAY_TYPE,TYPE_GROUPING,PERCENTILE,GP,POSS_PCT,PPP,FG_PCT,FT_POSS_PCT,TOV_POSS_PCT,SF_POSS_PCT,PLUSONE_POSS_PCT,SCORE_POSS_PCT,EFG_PCT,POSS,PTS,FGM,FGA,FGMX
2025-26,22025,1628374,Lauri Markkanen,1610612762,UTA,Utah Jazz,Cut,Offensive,0.888,20,0.129,1.565,0.769,0.21,0.016,0.21,0.065,0.79,0.769,3.1,4.9,2.0,2.6,0.6
2025-26,22025,1628392,Isaiah Hartenstein,1610612760,OKC,Oklahoma City Thunder,Cut,Offensive,0.491,17,0.402,1.311,0.683,0.162,0.095,0.162,0.068,0.649,0.683,4.4,5.7,2.4,3.5,1.1
2025-26,22025,1641708,Amen Thompson,1610612745,HOU,Houston Rockets,Cut,Offensive,0.893,19,0.165,1.586,0.796,0.19,0.052,0.19,0.086,0.776,0.796,3.1,4.8,2.1,2.6,0.5
2025-26,22025,1629028,Deandre Ayton,1610612747,LAL,Los Angeles Lakers,Cut,Offensive,0.84,19,0.247,1.508,0.782,0.034,0.051,0.017,0.017,0.746,0.782,3.1,4.7,2.3,2.9,0.6
2025-26,22025,1627826,Ivica Zubac,1610612746,LAC,LA Clippers,Cut,Offensive,0.45,22,0.2,1.292,0.678,0.046,0.077,0.046,0.031,0.631,0.678,3.0,3.8,1.8,2.7,0.9
2025-26,22025,1631109,Mark Williams,1610612756,PHX,Phoenix Suns,Cut,Offensive,0.645,17,0.347,1.397,0.721,0.224,0.052,0.207,0.017,0.724,0.721,3.4,4.8,1.8,2.5,0.7
2025-26,22025,1629674,Neemias Queta,1610612738,BOS,Boston Celtics,Cut,Offensive,0.825,22,0.287,1.5,0.729,0.115,0.0,0.115,0.038,0.75,0.729,2.4,3.5,1.6,2.2,0.6
2025-26,22025,1631105,Jalen Duren,1610612765,DET,Detroit Pistons,Cut,Offensive,0.583,19,0.187,1.368,0.667,0.246,0.035,0.211,0.07,0.684,0.667,3.0,4.1,1.6,2.4,0.8
2025-26,22025,1627751,Jakob Poeltl,1610612761,TOR,Toronto Raptors,Cut,Offensive,0.396,16,0.407,1.262,0.674,0.164,0.098,0.148,0.016,0.639,0.674,3.8,4.8,1.9,2.9,0.9
2025-26,22025,1630596,Evan Mobley,1610612739,CLE,Cleveland Cavaliers,Cut,Offensive,0.311,22,0.146,1.233,0.689,0.15,0.117,0.133,0.017,0.633,0.689,2.7,3.4,1.4,2.0,0.6
