Season,SEASON_ID,PLAYER_ID,PLAYER_NAME,TEAM_ID,TEAM_ABBREVIATION,TEAM_NAME,PLAY_TYPE,TYPE_GROUPING,PERCENTILE,GP,POSS_PCT,PPP,FG_PCT,FT_POSS_PCT,TOV_POSS_PCT,SF_POSS_PCT,PLUSONE_POSS_PCT,SCORE_POSS_PCT,EFG_PCT,POSS,PTS,FGM,FGA,FGMX
2025-26,22025,1629008,Michael Porter Jr.,1610612751,BKN,Brooklyn Nets,Handoff,Offensive,0.623,17,0.17,1.0,0.396,0.092,0.092,0.092,0.0,0.415,0.519,3.8,3.8,1.2,3.1,1.9
2025-26,22025,201939,Stephen Curry,1610612744,GSW,Golden State Warriors,Handoff,Offensive,1.0,13,0.112,1.714,0.621,0.171,0.057,0.171,0.057,0.629,0.845,2.7,4.6,1.4,2.2,0.8
2025-26,22025,1627750,Jamal Murray,1610612743,DEN,Denver Nuggets,Handoff,Offensive,0.667,21,0.125,1.054,0.471,0.036,0.071,0.036,0.018,0.446,0.549,2.7,2.8,1.1,2.4,1.3
2025-26,22025,1628401,Derrick White,1610612738,BOS,Boston Celtics,Handoff,Offensive,0.917,22,0.1,1.35,0.588,0.15,0.1,0.15,0.1,0.55,0.676,1.8,2.5,0.9,1.5,0.6
2025-26,22025,1630162,Anthony Edwards,1610612750,MIN,Minnesota Timberwolves,Handoff,Offensive,0.95,17,0.084,1.486,0.577,0.229,0.057,0.229,0.029,0.629,0.75,2.1,3.1,0.9,1.5,0.6
2025-26,22025,1630178,Tyrese Maxey,1610612755,PHI,Philadelphia 76ers,Handoff,Offensive,0.875,20,0.059,1.286,0.5,0.114,0.086,0.114,0.057,0.486,0.65,1.8,2.3,0.8,1.5,0.8
2025-26,22025,1628973,Jalen Brunson,1610612752,NYK,New York Knicks,Handoff,Offensive,0.908,19,0.066,1.344,0.56,0.219,0.031,0.219,0.031,0.625,0.64,1.7,2.3,0.7,1.3,0.6
2025-26,22025,1627742,Brandon Ingram,1610612761,TOR,Toronto Raptors,Handoff,Offensive,0.797,23,0.071,1.167,0.56,0.167,0.139,0.167,0.0,0.556,0.64,1.6,1.8,0.6,1.1,0.5
2025-26,22025,203468,CJ McCollum,1610612764,WAS,Washington Wizards,Handoff,Offensive,0.833,19,0.102,1.206,0.464,0.176,0.088,0.176,0.088,0.471,0.589,1.8,2.2,0.7,1.5,0.8
2025-26,22025,1641718,Keyonte George,1610612762,UTA,Utah Jazz,Handoff,Offensive,0.742,21,0.075,1.139,0.5,0.167,0.139,0.167,0.083,0.472,0.554,1.7,2.0,0.7,1.3,0.7
