Season,SEASON_ID,PLAYER_ID,PLAYER_NAME,TEAM_ID,TEAM_ABBREVIATION,TEAM_NAME,PLAY_TYPE,TYPE_GROUPING,PERCENTILE,GP,POSS_PCT,PPP,FG_PCT,FT_POSS_PCT,TOV_POSS_PCT,SF_POSS_PCT,PLUSONE_POSS_PCT,SCORE_POSS_PCT,EFG_PCT,POSS,PTS,FGM,FGA,FGMX
2024-25,22024,201935,James Harden,1610612746,LAC,LA Clippers,Isolation,Offensive,0.846,79,0.361,1.061,0.392,0.202,0.103,0.196,0.036,0.452,0.48,8.5,9.0,2.4,6.2,3.8
2024-25,22024,1628983,Shai Gilgeous-Alexander,1610612760,OKC,Oklahoma City Thunder,Isolation,Offensive,0.89,76,0.251,1.101,0.464,0.161,0.047,0.143,0.024,0.514,0.508,7.0,7.7,2.7,5.7,3.1
2024-25,22024,1628369,Jayson Tatum,1610612738,BOS,Boston Celtics,Isolation,Offensive,0.783,72,0.259,1.008,0.42,0.125,0.06,0.117,0.023,0.448,0.48,6.7,6.7,2.3,5.6,3.2
2024-25,22024,1630162,Anthony Edwards,1610612750,MIN,Minnesota Timberwolves,Isolation,Offensive,0.548,79,0.196,0.909,0.395,0.119,0.126,0.109,0.012,0.407,0.476,5.1,4.7,1.6,3.9,2.4
2024-25,22024,201142,Kevin Durant,1610612756,PHX,Phoenix Suns,Isolation,Offensive,0.93,62,0.189,1.155,0.558,0.181,0.108,0.166,0.04,0.556,0.575,4.5,5.2,1.9,3.4,1.5
2024-25,22024,1628973,Jalen Brunson,1610612752,NYK,New York Knicks,Isolation,Offensive,0.868,65,0.173,1.071,0.493,0.16,0.101,0.146,0.056,0.489,0.54,4.1,4.4,1.6,3.3,1.7
2024-25,22024,202681,Kyrie Irving,1610612742,DAL,Dallas Mavericks,Isolation,Offensive,0.853,50,0.224,1.063,0.442,0.086,0.055,0.078,0.02,0.455,0.511,5.1,5.4,2.0,4.5,2.5
2024-25,22024,2544,LeBron James,1610612747,LAL,Los Angeles Lakers,Isolation,Offensive,0.599,70,0.166,0.924,0.429,0.097,0.09,0.086,0.018,0.435,0.461,4.0,3.7,1.4,3.3,1.9
2024-25,22024,201942,DeMar DeRozan,1610612758,SAC,Sacramento Kings,Isolation,Offensive,0.64,77,0.162,0.942,0.398,0.182,0.039,0.182,0.039,0.461,0.405,3.4,3.2,1.1,2.7,1.6
2024-25,22024,1631094,Paolo Banchero,1610612753,ORL,Orlando Magic,Isolation,Offensive,0.699,46,0.189,0.974,0.443,0.205,0.083,0.197,0.048,0.476,0.477,5.0,4.8,1.7,3.8,2.1
2024-25,22024,1629630,Ja Morant,1610612763,MEM,Memphis Grizzlies,Isolation,Offensive,0.673,50,0.178,0.958,0.451,0.181,0.126,0.177,0.06,0.456,0.481,4.3,4.1,1.5,3.2,1.8
2024-25,22024,203915,Spencer Dinwiddie,1610612742,DAL,Dallas Mavericks,Isolation,Offensive,0.779,79,0.228,1.005,0.431,0.169,0.07,0.164,0.035,0.468,0.484,2.5,2.6,0.9,2.0,1.2
2024-25,22024,203081,Damian Lillard,1610612749,MIL,Milwaukee Bucks,Isolation,Offensive,0.717,58,0.154,0.995,0.438,0.124,0.099,0.109,0.025,0.441,0.491,3.5,3.5,1.2,2.8,1.6
2024-25,22024,1627759,Jaylen Brown,1610612738,BOS,Boston Celtics,Isolation,Offensive,0.57,63,0.154,0.918,0.42,0.137,0.1,0.119,0.032,0.434,0.457,3.5,3.2,1.2,2.8,1.6
2024-25,22024,1629014,Anfernee Simons,1610612757,POR,Portland Trail Blazers,Isolation,Offensive,0.555,70,0.153,0.913,0.384,0.102,0.063,0.092,0.024,0.408,0.438,2.9,2.7,1.0,2.5,1.6
2024-25,22024,1630595,Cade Cunningham,1610612765,DET,Detroit Pistons,Isolation,Offensive,0.489,70,0.111,0.882,0.412,0.118,0.104,0.108,0.024,0.425,0.429,3.0,2.7,1.0,2.4,1.4
2024-25,22024,1629029,Luka Dončić,1610612747,LAL,Los Angeles Lakers,Isolation,Offensive,0.857,28,0.226,1.063,0.409,0.184,0.08,0.184,0.052,0.454,0.489,6.2,6.6,2.0,4.9,2.9
2024-25,22024,1628991,Jaren Jackson Jr.,1610612763,MEM,Memphis Grizzlies,Isolation,Offensive,0.528,74,0.133,0.902,0.44,0.137,0.088,0.127,0.034,0.454,0.446,2.8,2.5,1.0,2.2,1.3
2024-25,22024,1630178,Tyrese Maxey,1610612755,PHI,Philadelphia 76ers,Isolation,Offensive,0.463,52,0.159,0.873,0.395,0.118,0.085,0.108,0.038,0.41,0.424,4.1,3.6,1.3,3.4,2.1
2024-25,22024,1630578,Alperen Sengun,1610612745,HOU,Houston Rockets,Isolation,Offensive,0.415,76,0.141,0.856,0.445,0.144,0.13,0.139,0.032,0.444,0.445,2.8,2.4,1.0,2.2,1.2
2024-25,22024,1626164,Devin Booker,1610612756,PHX,Phoenix Suns,Isolation,Offensive,0.871,75,0.09,1.073,0.489,0.139,0.085,0.121,0.042,0.497,0.522,2.2,2.4,0.9,1.8,0.9
2024-25,22024,1630224,Jalen Green,1610612745,HOU,Houston Rockets,Isolation,Offensive,0.421,82,0.114,0.857,0.352,0.133,0.079,0.133,0.025,0.389,0.4,2.5,2.1,0.7,2.0,1.3
2024-25,22024,203897,Zach LaVine,1610612741,CHI,Chicago Bulls,Isolation,Offensive,0.926,42,0.166,1.153,0.484,0.12,0.06,0.12,0.02,0.507,0.571,3.6,4.1,1.5,3.0,1.5
2024-25,22024,1629027,Trae Young,1610612737,ATL,Atlanta Hawks,Isolation,Offensive,0.335,76,0.103,0.803,0.301,0.167,0.089,0.133,0.025,0.374,0.337,2.7,2.1,0.6,2.1,1.4
2024-25,22024,1628378,Donovan Mitchell,1610612739,CLE,Cleveland Cavaliers,Isolation,Offensive,0.607,71,0.103,0.928,0.394,0.12,0.054,0.108,0.024,0.425,0.447,2.4,2.2,0.8,2.0,1.2
2024-25,22024,1631101,Shaedon Sharpe,1610612757,POR,Portland Trail Blazers,Isolation,Offensive,0.702,72,0.117,0.975,0.423,0.139,0.095,0.139,0.057,0.43,0.469,2.2,2.1,0.8,1.8,1.0
2024-25,22024,1628389,Bam Adebayo,1610612748,MIA,Miami Heat,Isolation,Offensive,0.537,78,0.118,0.905,0.438,0.131,0.089,0.125,0.036,0.446,0.445,2.2,1.9,0.8,1.8,1.0
2024-25,22024,202331,Paul George,1610612755,PHI,Philadelphia 76ers,Isolation,Offensive,0.798,41,0.201,1.035,0.496,0.063,0.111,0.063,0.014,0.465,0.562,3.5,3.6,1.5,3.0,1.5
2024-25,22024,1629627,Zion Williamson,1610612740,NOP,New Orleans Pelicans,Isolation,Offensive,0.504,30,0.237,0.892,0.46,0.199,0.145,0.193,0.024,0.476,0.46,5.5,4.9,1.7,3.8,2.0
2024-25,22024,1626157,Karl-Anthony Towns,1610612752,NYK,New York Knicks,Isolation,Offensive,0.408,72,0.108,0.853,0.398,0.165,0.112,0.165,0.059,0.406,0.406,2.4,2.0,0.7,1.8,1.1
2024-25,22024,1627783,Pascal Siakam,1610612754,IND,Indiana Pacers,Isolation,Offensive,0.831,78,0.092,1.053,0.518,0.106,0.076,0.098,0.03,0.515,0.536,1.7,1.8,0.7,1.4,0.7
2024-25,22024,1628970,Miles Bridges,1610612766,CHA,Charlotte Hornets,Isolation,Offensive,0.563,64,0.115,0.914,0.414,0.105,0.079,0.105,0.026,0.428,0.438,2.4,2.2,0.8,2.0,1.2
2024-25,22024,203944,Julius Randle,1610612750,MIN,Minnesota Timberwolves,Isolation,Offensive,0.29,69,0.134,0.785,0.359,0.151,0.186,0.134,0.017,0.378,0.38,2.5,2.0,0.6,1.7,1.1
2024-25,22024,1630532,Franz Wagner,1610612753,ORL,Orlando Magic,Isolation,Offensive,0.176,60,0.126,0.698,0.331,0.071,0.099,0.066,0.0,0.346,0.348,3.0,2.1,0.8,2.5,1.7
2024-25,22024,1631114,Jalen Williams,1610612760,OKC,Oklahoma City Thunder,Isolation,Offensive,0.688,69,0.091,0.962,0.43,0.115,0.046,0.107,0.031,0.45,0.461,1.9,1.8,0.7,1.7,0.9
2024-25,22024,1630217,Desmond Bane,1610612763,MEM,Memphis Grizzlies,Isolation,Offensive,0.551,69,0.109,0.912,0.434,0.066,0.117,0.058,0.007,0.416,0.491,2.0,1.8,0.7,1.6,0.9
2024-25,22024,1630567,Scottie Barnes,1610612761,TOR,Toronto Raptors,Isolation,Offensive,0.435,65,0.105,0.862,0.417,0.09,0.097,0.09,0.014,0.421,0.442,2.2,1.9,0.8,1.8,1.1
2024-25,22024,1627750,Jamal Murray,1610612743,DEN,Denver Nuggets,Isolation,Offensive,0.603,67,0.098,0.925,0.421,0.045,0.053,0.045,0.008,0.421,0.471,2.0,1.8,0.8,1.8,1.0
2024-25,22024,1630559,Austin Reaves,1610612747,LAL,Los Angeles Lakers,Isolation,Offensive,0.79,73,0.088,1.025,0.415,0.16,0.084,0.16,0.034,0.454,0.479,1.6,1.7,0.5,1.3,0.8
2024-25,22024,1629012,Collin Sexton,1610612762,UTA,Utah Jazz,Isolation,Offensive,0.445,63,0.122,0.863,0.371,0.094,0.094,0.094,0.022,0.381,0.422,2.2,1.9,0.7,1.8,1.2
2024-25,22024,1630163,LaMelo Ball,1610612766,CHA,Charlotte Hornets,Isolation,Offensive,0.496,47,0.106,0.888,0.363,0.164,0.097,0.149,0.022,0.418,0.397,2.9,2.5,0.8,2.2,1.4
2024-25,22024,1641718,Keyonte George,1610612762,UTA,Utah Jazz,Isolation,Offensive,0.338,67,0.118,0.806,0.279,0.194,0.069,0.188,0.035,0.368,0.329,2.1,1.7,0.5,1.7,1.2
2024-25,22024,1628368,De'Aaron Fox,1610612758,SAC,Sacramento Kings,Isolation,Offensive,0.402,45,0.12,0.852,0.429,0.104,0.141,0.104,0.022,0.415,0.452,3.0,2.6,1.0,2.3,1.3
