Season,SEASON_ID,PLAYER_ID,PLAYER_NAME,TEAM_ID,TEAM_ABBREVIATION,TEAM_NAME,PLAY_TYPE,TYPE_GROUPING,PERCENTILE,GP,POSS_PCT,PPP,FG_PCT,FT_POSS_PCT,TOV_POSS_PCT,SF_POSS_PCT,PLUSONE_POSS_PCT,SCORE_POSS_PCT,EFG_PCT,POSS,PTS,FGM,FGA,FGMX
2025-26,22025,201935,James Harden,1610612746,LAC,LA Clippers,Isolation,Offensive,0.725,21,0.393,1.075,0.377,0.236,0.065,0.226,0.035,0.477,0.432,9.5,10.2,2.6,7.0,4.3
2025-26,22025,1628983,Shai Gilgeous-Alexander,1610612760,OKC,Oklahoma City Thunder,Isolation,Offensive,0.915,20,0.247,1.2,0.485,0.192,0.048,0.184,0.016,0.552,0.552,6.3,7.5,2.4,4.9,2.5
2025-26,22025,1627759,Jaylen Brown,1610612738,BOS,Boston Celtics,Isolation,Offensive,0.58,22,0.196,0.983,0.462,0.151,0.109,0.143,0.025,0.471,0.5,5.4,5.3,1.9,4.1,2.2
2025-26,22025,1629029,Luka Dončić,1610612747,LAL,Los Angeles Lakers,Isolation,Offensive,0.893,14,0.184,1.198,0.508,0.186,0.128,0.163,0.047,0.512,0.611,6.1,7.4,2.3,4.5,2.2
2025-26,22025,1630162,Anthony Edwards,1610612750,MIN,Minnesota Timberwolves,Isolation,Offensive,0.45,17,0.239,0.909,0.403,0.141,0.111,0.131,0.03,0.424,0.448,5.8,5.3,1.8,4.5,2.7
2025-26,22025,203944,Julius Randle,1610612750,MIN,Minnesota Timberwolves,Isolation,Offensive,0.832,21,0.174,1.128,0.509,0.231,0.103,0.218,0.064,0.526,0.535,3.7,4.2,1.4,2.7,1.3
2025-26,22025,1628378,Donovan Mitchell,1610612739,CLE,Cleveland Cavaliers,Isolation,Offensive,0.938,21,0.114,1.25,0.509,0.094,0.063,0.063,0.016,0.516,0.627,3.0,3.8,1.3,2.6,1.3
2025-26,22025,201142,Kevin Durant,1610612745,HOU,Houston Rockets,Isolation,Offensive,0.42,18,0.223,0.86,0.429,0.086,0.097,0.075,0.011,0.43,0.448,5.2,4.4,1.8,4.3,2.4
2025-26,22025,1627783,Pascal Siakam,1610612754,IND,Indiana Pacers,Isolation,Offensive,0.847,20,0.139,1.13,0.527,0.217,0.058,0.217,0.072,0.565,0.555,3.5,3.9,1.5,2.8,1.3
2025-26,22025,1630559,Austin Reaves,1610612747,LAL,Los Angeles Lakers,Isolation,Offensive,0.756,17,0.138,1.086,0.438,0.224,0.017,0.207,0.069,0.5,0.458,3.4,3.7,1.2,2.8,1.6
2025-26,22025,1630558,Davion Mitchell,1610612748,MIA,Miami Heat,Isolation,Offensive,0.878,20,0.264,1.17,0.571,0.075,0.038,0.057,0.038,0.566,0.602,2.7,3.1,1.4,2.5,1.1
2025-26,22025,1626164,Devin Booker,1610612756,PHX,Phoenix Suns,Isolation,Offensive,0.679,19,0.125,1.034,0.512,0.169,0.153,0.169,0.017,0.508,0.537,3.1,3.2,1.1,2.2,1.1
2025-26,22025,1641718,Keyonte George,1610612762,UTA,Utah Jazz,Isolation,Offensive,0.565,21,0.131,0.968,0.396,0.159,0.111,0.143,0.032,0.429,0.458,3.0,2.9,0.9,2.3,1.4
2025-26,22025,1630178,Tyrese Maxey,1610612755,PHI,Philadelphia 76ers,Isolation,Offensive,0.237,20,0.138,0.744,0.297,0.134,0.037,0.098,0.073,0.329,0.318,4.1,3.1,1.1,3.7,2.6
2025-26,22025,1629014,Anfernee Simons,1610612738,BOS,Boston Celtics,Isolation,Offensive,0.687,23,0.203,1.035,0.451,0.088,0.053,0.088,0.035,0.456,0.52,2.5,2.6,1.0,2.2,1.2
2025-26,22025,1628973,Jalen Brunson,1610612752,NYK,New York Knicks,Isolation,Offensive,0.519,19,0.131,0.937,0.404,0.175,0.095,0.143,0.016,0.46,0.415,3.3,3.1,1.0,2.5,1.5
2025-26,22025,1642852,Derik Queen,1610612740,NOP,New Orleans Pelicans,Isolation,Offensive,0.71,23,0.177,1.055,0.5,0.236,0.091,0.182,0.018,0.545,0.5,2.4,2.5,0.8,1.7,0.8
2025-26,22025,1630166,Deni Avdija,1610612757,POR,Portland Trail Blazers,Isolation,Offensive,0.542,22,0.116,0.95,0.306,0.3,0.133,0.25,0.033,0.45,0.361,2.7,2.6,0.5,1.6,1.1
2025-26,22025,1630578,Alperen Sengun,1610612745,HOU,Houston Rockets,Isolation,Offensive,0.481,17,0.147,0.919,0.468,0.145,0.129,0.129,0.032,0.452,0.468,3.6,3.4,1.3,2.8,1.5
2025-26,22025,1627742,Brandon Ingram,1610612761,TOR,Toronto Raptors,Isolation,Offensive,0.366,23,0.129,0.815,0.404,0.138,0.138,0.138,0.0,0.4,0.426,2.8,2.3,0.8,2.0,1.2
2025-26,22025,1626181,Norman Powell,1610612748,MIA,Miami Heat,Isolation,Offensive,0.954,16,0.12,1.275,0.529,0.2,0.025,0.175,0.075,0.575,0.544,2.5,3.2,1.1,2.1,1.0
