Season,SEASON_ID,PLAYER_ID,PLAYER_NAME,TEAM_ID,TEAM_ABBREVIATION,TEAM_NAME,PLAY_TYPE,TYPE_GROUPING,PERCENTILE,GP,POSS_PCT,PPP,FG_PCT,FT_POSS_PCT,TOV_POSS_PCT,SF_POSS_PCT,PLUSONE_POSS_PCT,SCORE_POSS_PCT,EFG_PCT,POSS,PTS,FGM,FGA,FGMX
2025-26,22025,1628374,Lauri Markkanen,1610612762,UTA,Utah Jazz,OffScreen,Offensive,0.368,20,0.224,0.88,0.326,0.083,0.046,0.083,0.009,0.361,0.411,5.4,4.8,1.6,4.8,3.2
2025-26,22025,201939,Stephen Curry,1610612744,GSW,Golden State Warriors,OffScreen,Offensive,0.598,13,0.179,1.054,0.391,0.107,0.089,0.107,0.018,0.411,0.5,4.3,4.5,1.4,3.5,2.2
2025-26,22025,1627742,Brandon Ingram,1610612761,TOR,Toronto Raptors,OffScreen,Offensive,0.322,23,0.135,0.838,0.406,0.015,0.044,0.015,0.0,0.397,0.43,3.0,2.5,1.1,2.8,1.7
2025-26,22025,1629008,Michael Porter Jr.,1610612751,BKN,Brooklyn Nets,OffScreen,Offensive,0.839,17,0.113,1.279,0.5,0.07,0.07,0.07,0.023,0.488,0.671,2.5,3.2,1.1,2.2,1.1
2025-26,22025,1630178,Tyrese Maxey,1610612755,PHI,Philadelphia 76ers,OffScreen,Offensive,0.989,20,0.057,1.588,0.656,0.029,0.029,0.029,0.0,0.647,0.813,1.7,2.7,1.1,1.6,0.6
2025-26,22025,1627759,Jaylen Brown,1610612738,BOS,Boston Celtics,OffScreen,Offensive,0.621,22,0.079,1.063,0.476,0.083,0.063,0.083,0.021,0.479,0.536,2.2,2.3,0.9,1.9,1.0
2025-26,22025,202691,Klay Thompson,1610612742,DAL,Dallas Mavericks,OffScreen,Offensive,0.425,19,0.215,0.98,0.375,0.0,0.02,0.0,0.0,0.367,0.5,2.6,2.5,0.9,2.5,1.6
2025-26,22025,203897,Zach LaVine,1610612758,SAC,Sacramento Kings,OffScreen,Offensive,0.966,19,0.085,1.552,0.652,0.172,0.103,0.172,0.069,0.621,0.826,1.5,2.4,0.8,1.2,0.4
2025-26,22025,203999,Nikola Jokić,1610612743,DEN,Denver Nuggets,OffScreen,Offensive,0.919,22,0.063,1.364,0.5,0.182,0.061,0.152,0.03,0.545,0.654,1.5,2.0,0.6,1.2,0.6
2025-26,22025,1629638,Nickeil Alexander-Walker,1610612737,ATL,Atlanta Hawks,OffScreen,Offensive,0.874,21,0.079,1.344,0.5,0.125,0.063,0.094,0.0,0.531,0.692,1.5,2.0,0.6,1.2,0.6
2025-26,22025,1626181,Norman Powell,1610612748,MIA,Miami Heat,OffScreen,Offensive,0.69,16,0.114,1.132,0.483,0.184,0.079,0.158,0.026,0.5,0.534,2.4,2.7,0.9,1.8,0.9
2025-26,22025,1628978,Donte DiVincenzo,1610612750,MIN,Minnesota Timberwolves,OffScreen,Offensive,0.609,21,0.136,1.057,0.4,0.086,0.086,0.029,0.029,0.4,0.533,1.7,1.8,0.6,1.4,0.9
2025-26,22025,1630541,Moses Moody,1610612744,GSW,Golden State Warriors,OffScreen,Offensive,0.563,20,0.153,1.029,0.355,0.057,0.057,0.057,0.0,0.371,0.516,1.8,1.8,0.6,1.6,1.0
2025-26,22025,1642846,Ace Bailey,1610612762,UTA,Utah Jazz,OffScreen,Offensive,0.345,21,0.181,0.857,0.324,0.024,0.095,0.024,0.0,0.31,0.459,2.0,1.7,0.6,1.8,1.2
2025-26,22025,201142,Kevin Durant,1610612745,HOU,Houston Rockets,OffScreen,Offensive,0.885,18,0.062,1.346,0.609,0.077,0.038,0.077,0.0,0.615,0.652,1.4,1.9,0.8,1.3,0.5
2025-26,22025,1630170,Devin Vassell,1610612759,SAS,San Antonio Spurs,OffScreen,Offensive,0.575,20,0.119,1.029,0.424,0.029,0.0,0.029,0.0,0.441,0.5,1.7,1.8,0.7,1.7,1.0
2025-26,22025,1630530,Trey Murphy III,1610612740,NOP,New Orleans Pelicans,OffScreen,Offensive,0.816,21,0.068,1.259,0.565,0.148,0.037,0.111,0.037,0.556,0.652,1.3,1.6,0.6,1.1,0.5
2025-26,22025,1630217,Desmond Bane,1610612753,ORL,Orlando Magic,OffScreen,Offensive,0.494,21,0.091,1.0,0.429,0.147,0.059,0.118,0.029,0.471,0.464,1.6,1.6,0.6,1.3,0.8
2025-26,22025,1629130,Duncan Robinson,1610612765,DET,Detroit Pistons,OffScreen,Offensive,0.207,19,0.206,0.78,0.314,0.049,0.098,0.024,0.0,0.317,0.414,2.2,1.7,0.6,1.8,1.3
2025-26,22025,1630559,Austin Reaves,1610612747,LAL,Los Angeles Lakers,OffScreen,Offensive,0.759,17,0.055,1.217,0.444,0.13,0.087,0.13,0.0,0.478,0.611,1.4,1.6,0.5,1.1,0.6
2025-26,22025,1642851,Kon Knueppel,1610612766,CHA,Charlotte Hornets,OffScreen,Offensive,0.667,21,0.07,1.12,0.391,0.12,0.04,0.12,0.08,0.4,0.5,1.2,1.3,0.4,1.1,0.7
