Season,SEASON_ID,PLAYER_ID,PLAYER_NAME,TEAM_ID,TEAM_ABBREVIATION,TEAM_NAME,PLAY_TYPE,TYPE_GROUPING,PERCENTILE,GP,POSS_PCT,PPP,FG_PCT,FT_POSS_PCT,TOV_POSS_PCT,SF_POSS_PCT,PLUSONE_POSS_PCT,SCORE_POSS_PCT,EFG_PCT,POSS,PTS,FGM,FGA,FGMX
2025-26,22025,1628983,Shai Gilgeous-Alexander,1610612760,OKC,Oklahoma City Thunder,PRBallHandler,Offensive,0.936,20,0.391,1.212,0.544,0.162,0.081,0.157,0.04,0.556,0.592,9.9,12.0,4.3,7.9,3.6
2025-26,22025,1628378,Donovan Mitchell,1610612739,CLE,Cleveland Cavaliers,PRBallHandler,Offensive,0.804,21,0.365,1.049,0.488,0.122,0.122,0.093,0.024,0.468,0.55,9.8,10.2,3.7,7.6,3.9
2025-26,22025,1630595,Cade Cunningham,1610612765,DET,Detroit Pistons,PRBallHandler,Offensive,0.77,19,0.411,1.019,0.488,0.104,0.142,0.1,0.024,0.45,0.558,11.1,11.3,4.2,8.6,4.4
2025-26,22025,1627750,Jamal Murray,1610612743,DEN,Denver Nuggets,PRBallHandler,Offensive,0.882,21,0.394,1.13,0.544,0.073,0.119,0.073,0.034,0.497,0.617,8.4,9.5,3.9,7.1,3.2
2025-26,22025,1629029,Luka Dončić,1610612747,LAL,Los Angeles Lakers,PRBallHandler,Offensive,0.848,14,0.37,1.092,0.473,0.208,0.092,0.173,0.058,0.497,0.531,12.4,13.5,4.4,9.4,4.9
2025-26,22025,1628973,Jalen Brunson,1610612752,NYK,New York Knicks,PRBallHandler,Offensive,0.701,19,0.373,0.983,0.414,0.15,0.094,0.139,0.05,0.433,0.469,9.5,9.3,3.2,7.6,4.5
2025-26,22025,1630559,Austin Reaves,1610612747,LAL,Los Angeles Lakers,PRBallHandler,Offensive,0.877,17,0.352,1.128,0.5,0.189,0.162,0.169,0.027,0.5,0.58,8.7,9.8,2.9,5.9,2.9
2025-26,22025,1627759,Jaylen Brown,1610612738,BOS,Boston Celtics,PRBallHandler,Offensive,0.873,22,0.215,1.115,0.547,0.092,0.137,0.084,0.038,0.496,0.623,6.0,6.6,2.6,4.8,2.2
2025-26,22025,1626164,Devin Booker,1610612756,PHX,Phoenix Suns,PRBallHandler,Offensive,0.676,19,0.318,0.96,0.478,0.107,0.153,0.1,0.027,0.447,0.517,7.9,7.6,2.9,6.1,3.2
2025-26,22025,201935,James Harden,1610612746,LAC,LA Clippers,PRBallHandler,Offensive,0.711,21,0.281,0.993,0.422,0.141,0.183,0.134,0.042,0.401,0.534,6.8,6.7,2.0,4.9,2.8
2025-26,22025,1631157,Ryan Rollins,1610612749,MIL,Milwaukee Bucks,PRBallHandler,Offensive,0.412,23,0.431,0.805,0.406,0.034,0.144,0.029,0.0,0.368,0.455,7.6,6.1,2.5,6.2,3.7
2025-26,22025,1630178,Tyrese Maxey,1610612755,PHI,Philadelphia 76ers,PRBallHandler,Offensive,0.569,20,0.26,0.896,0.375,0.13,0.097,0.104,0.006,0.416,0.433,7.7,6.9,2.3,6.0,3.8
2025-26,22025,1630581,Josh Giddey,1610612741,CHI,Chicago Bulls,PRBallHandler,Offensive,0.365,19,0.414,0.786,0.419,0.179,0.208,0.167,0.012,0.423,0.438,8.8,6.9,2.3,5.5,3.2
2025-26,22025,1641718,Keyonte George,1610612762,UTA,Utah Jazz,PRBallHandler,Offensive,0.495,21,0.307,0.858,0.339,0.169,0.108,0.162,0.014,0.405,0.376,7.0,6.0,1.8,5.2,3.4
2025-26,22025,203468,CJ McCollum,1610612764,WAS,Washington Wizards,PRBallHandler,Offensive,0.887,19,0.334,1.135,0.489,0.108,0.081,0.099,0.036,0.486,0.574,5.8,6.6,2.4,4.9,2.5
2025-26,22025,1628401,Derrick White,1610612738,BOS,Boston Celtics,PRBallHandler,Offensive,0.631,22,0.324,0.923,0.396,0.038,0.115,0.038,0.008,0.369,0.505,5.9,5.5,2.0,5.0,3.0
2025-26,22025,1630166,Deni Avdija,1610612757,POR,Portland Trail Blazers,PRBallHandler,Offensive,0.603,22,0.24,0.911,0.443,0.202,0.177,0.169,0.016,0.46,0.462,5.6,5.1,1.6,3.6,2.0
2025-26,22025,1630162,Anthony Edwards,1610612750,MIN,Minnesota Timberwolves,PRBallHandler,Offensive,0.902,17,0.234,1.144,0.481,0.124,0.103,0.124,0.062,0.464,0.58,5.7,6.5,2.3,4.8,2.5
2025-26,22025,1631101,Shaedon Sharpe,1610612757,POR,Portland Trail Blazers,PRBallHandler,Offensive,0.48,19,0.29,0.848,0.364,0.136,0.104,0.128,0.032,0.384,0.419,6.6,5.6,1.9,5.2,3.3
2025-26,22025,1642847,Jeremiah Fears,1610612740,NOP,New Orleans Pelicans,PRBallHandler,Offensive,0.422,23,0.324,0.817,0.396,0.103,0.159,0.079,0.024,0.381,0.432,5.5,4.5,1.7,4.2,2.5
2025-26,22025,1629614,Andrew Nembhard,1610612754,IND,Indiana Pacers,PRBallHandler,Offensive,0.657,14,0.419,0.935,0.427,0.139,0.12,0.111,0.019,0.435,0.476,7.7,7.2,2.5,5.9,3.4
2025-26,22025,1630532,Franz Wagner,1610612753,ORL,Orlando Magic,PRBallHandler,Offensive,0.706,21,0.23,0.99,0.467,0.139,0.129,0.129,0.01,0.475,0.513,4.8,4.8,1.7,3.6,1.9
2025-26,22025,1630163,LaMelo Ball,1610612766,CHA,Charlotte Hornets,PRBallHandler,Offensive,0.529,13,0.378,0.885,0.437,0.088,0.168,0.08,0.027,0.398,0.477,8.7,7.7,2.9,6.7,3.8
2025-26,22025,1642349,Ajay Mitchell,1610612760,OKC,Oklahoma City Thunder,PRBallHandler,Offensive,0.49,21,0.348,0.853,0.386,0.138,0.128,0.138,0.028,0.394,0.416,5.2,4.4,1.5,4.0,2.4
2025-26,22025,1630193,Immanuel Quickley,1610612761,TOR,Toronto Raptors,PRBallHandler,Offensive,0.922,23,0.216,1.182,0.571,0.104,0.117,0.091,0.039,0.532,0.651,3.3,4.0,1.6,2.7,1.2
2025-26,22025,1629012,Collin Sexton,1610612766,CHA,Charlotte Hornets,PRBallHandler,Offensive,0.382,18,0.402,0.796,0.397,0.124,0.212,0.097,0.027,0.363,0.442,6.3,5.0,1.7,4.3,2.6
2025-26,22025,1628368,De'Aaron Fox,1610612759,SAS,San Antonio Spurs,PRBallHandler,Offensive,0.749,12,0.335,1.0,0.533,0.124,0.236,0.101,0.034,0.449,0.617,7.4,7.4,2.7,5.0,2.3
2025-26,22025,203471,Dennis Schröder,1610612758,SAC,Sacramento Kings,PRBallHandler,Offensive,0.695,17,0.367,0.978,0.493,0.1,0.156,0.089,0.022,0.456,0.536,5.3,5.2,2.0,4.1,2.1
2025-26,22025,1628415,Dillon Brooks,1610612756,PHX,Phoenix Suns,PRBallHandler,Offensive,0.961,15,0.202,1.261,0.648,0.13,0.13,0.116,0.043,0.58,0.704,4.6,5.8,2.3,3.6,1.3
2025-26,22025,1630217,Desmond Bane,1610612753,ORL,Orlando Magic,PRBallHandler,Offensive,0.574,21,0.259,0.897,0.416,0.103,0.134,0.103,0.031,0.402,0.461,4.6,4.1,1.5,3.7,2.1
2025-26,22025,1629638,Nickeil Alexander-Walker,1610612737,ATL,Atlanta Hawks,PRBallHandler,Offensive,0.652,21,0.227,0.935,0.507,0.087,0.174,0.076,0.011,0.457,0.551,4.4,4.1,1.7,3.3,1.6
2025-26,22025,1642273,Kyshawn George,1610612764,WAS,Washington Wizards,PRBallHandler,Offensive,0.475,18,0.327,0.847,0.464,0.082,0.224,0.061,0.01,0.398,0.514,5.4,4.6,1.8,3.8,2.1
2025-26,22025,1630314,Brandon Williams,1610612742,DAL,Dallas Mavericks,PRBallHandler,Offensive,0.765,19,0.333,1.012,0.5,0.148,0.111,0.148,0.025,0.506,0.524,4.3,4.3,1.6,3.3,1.6
2025-26,22025,1627742,Brandon Ingram,1610612761,TOR,Toronto Raptors,PRBallHandler,Offensive,0.642,23,0.173,0.931,0.516,0.08,0.218,0.069,0.034,0.425,0.547,3.8,3.5,1.4,2.8,1.3
2025-26,22025,1631221,Collin Gillespie,1610612756,PHX,Phoenix Suns,PRBallHandler,Offensive,0.5,21,0.354,0.859,0.37,0.076,0.141,0.076,0.011,0.359,0.466,4.4,3.8,1.3,3.5,2.2
2025-26,22025,1630175,Cole Anthony,1610612749,MIL,Milwaukee Bucks,PRBallHandler,Offensive,0.328,21,0.515,0.757,0.449,0.058,0.214,0.039,0.029,0.359,0.468,4.9,3.7,1.7,3.7,2.0
2025-26,22025,1630202,Payton Pritchard,1610612738,BOS,Boston Celtics,PRBallHandler,Offensive,0.637,23,0.221,0.928,0.448,0.072,0.145,0.072,0.024,0.41,0.507,3.6,3.3,1.3,2.9,1.6
2025-26,22025,1630552,Jalen Johnson,1610612737,ATL,Atlanta Hawks,PRBallHandler,Offensive,0.396,20,0.219,0.8,0.444,0.116,0.253,0.116,0.032,0.379,0.468,4.8,3.8,1.4,3.2,1.8
2025-26,22025,1642843,Cooper Flagg,1610612742,DAL,Dallas Mavericks,PRBallHandler,Offensive,0.407,20,0.253,0.804,0.408,0.076,0.163,0.054,0.011,0.38,0.451,4.6,3.7,1.5,3.6,2.1
