Season,SEASON_ID,PLAYER_ID,PLAYER_NAME,TEAM_ID,TEAM_ABBREVIATION,TEAM_NAME,PLAY_TYPE,TYPE_GROUPING,PERCENTILE,GP,POSS_PCT,PPP,FG_PCT,FT_POSS_PCT,TOV_POSS_PCT,SF_POSS_PCT,PLUSONE_POSS_PCT,SCORE_POSS_PCT,EFG_PCT,POSS,PTS,FGM,FGA,FGMX
2025-26,22025,1629028,Deandre Ayton,1610612747,LAL,Los Angeles Lakers,PRRollMan,Offensive,0.627,19,0.293,1.243,0.644,0.114,0.071,0.114,0.029,0.629,0.644,3.7,4.6,2.0,3.1,1.1
2025-26,22025,202696,Nikola Vučević,1610612741,CHI,Chicago Bulls,PRRollMan,Offensive,0.275,20,0.256,1.024,0.472,0.06,0.072,0.06,0.0,0.47,0.521,4.2,4.3,1.7,3.6,1.9
2025-26,22025,203999,Nikola Jokić,1610612743,DEN,Denver Nuggets,PRRollMan,Offensive,0.667,22,0.124,1.277,0.593,0.123,0.077,0.123,0.031,0.585,0.667,3.0,3.8,1.5,2.5,1.0
2025-26,22025,1631105,Jalen Duren,1610612765,DET,Detroit Pistons,PRRollMan,Offensive,0.824,19,0.161,1.429,0.838,0.143,0.143,0.143,0.041,0.735,0.838,2.6,3.7,1.6,1.9,0.3
2025-26,22025,1626157,Karl-Anthony Towns,1610612752,NYK,New York Knicks,PRRollMan,Offensive,0.412,19,0.149,1.117,0.447,0.183,0.067,0.183,0.033,0.5,0.521,3.2,3.5,1.1,2.5,1.4
2025-26,22025,1626171,Bobby Portis,1610612749,MIL,Milwaukee Bucks,PRRollMan,Offensive,0.647,23,0.195,1.255,0.543,0.039,0.059,0.039,0.0,0.529,0.663,2.2,2.8,1.1,2.0,0.9
2025-26,22025,1642259,Alex Sarr,1610612764,WAS,Washington Wizards,PRRollMan,Offensive,0.304,14,0.239,1.049,0.528,0.049,0.082,0.049,0.0,0.492,0.575,4.4,4.6,2.0,3.8,1.8
2025-26,22025,1627826,Ivica Zubac,1610612746,LAC,LA Clippers,PRRollMan,Offensive,0.255,22,0.191,1.016,0.574,0.129,0.145,0.129,0.032,0.516,0.574,2.8,2.9,1.2,2.1,0.9
2025-26,22025,1629111,Jock Landale,1610612763,MEM,Memphis Grizzlies,PRRollMan,Offensive,0.657,21,0.24,1.265,0.524,0.102,0.061,0.102,0.02,0.531,0.643,2.3,3.0,1.0,2.0,1.0
2025-26,22025,1631096,Chet Holmgren,1610612760,OKC,Oklahoma City Thunder,PRRollMan,Offensive,0.873,17,0.136,1.526,0.657,0.079,0.026,0.079,0.026,0.658,0.757,2.2,3.4,1.4,2.1,0.7
2025-26,22025,1629674,Neemias Queta,1610612738,BOS,Boston Celtics,PRRollMan,Offensive,0.676,22,0.243,1.295,0.711,0.091,0.068,0.091,0.023,0.659,0.711,2.0,2.6,1.2,1.7,0.5
2025-26,22025,1626167,Myles Turner,1610612749,MIL,Milwaukee Bucks,PRRollMan,Offensive,0.431,23,0.184,1.122,0.405,0.122,0.041,0.122,0.02,0.449,0.524,2.1,2.4,0.7,1.8,1.1
2025-26,22025,1642851,Kon Knueppel,1610612766,CHA,Charlotte Hornets,PRRollMan,Offensive,0.971,21,0.084,1.7,0.69,0.067,0.033,0.067,0.067,0.667,0.845,1.4,2.4,1.0,1.4,0.4
2025-26,22025,203497,Rudy Gobert,1610612750,MIN,Minnesota Timberwolves,PRRollMan,Offensive,0.784,21,0.187,1.389,0.724,0.25,0.028,0.25,0.083,0.722,0.724,1.7,2.4,1.0,1.4,0.4
2025-26,22025,203507,Giannis Antetokounmpo,1610612749,MIL,Milwaukee Bucks,PRRollMan,Offensive,1.0,15,0.064,2.042,0.895,0.292,0.0,0.25,0.083,0.917,1.0,1.6,3.3,1.1,1.3,0.1
2025-26,22025,1627734,Domantas Sabonis,1610612758,SAC,Sacramento Kings,PRRollMan,Offensive,0.216,10,0.302,0.961,0.455,0.098,0.039,0.098,0.0,0.49,0.466,5.1,4.9,2.0,4.4,2.4
2025-26,22025,1629234,Drew Eubanks,1610612758,SAC,Sacramento Kings,PRRollMan,Offensive,0.422,22,0.347,1.122,0.667,0.171,0.146,0.146,0.049,0.585,0.667,1.9,2.1,0.9,1.4,0.5
2025-26,22025,1628374,Lauri Markkanen,1610612762,UTA,Utah Jazz,PRRollMan,Offensive,0.265,20,0.091,1.023,0.39,0.114,0.0,0.114,0.045,0.432,0.463,2.2,2.3,0.8,2.1,1.3
2025-26,22025,203994,Jusuf Nurkić,1610612762,UTA,Utah Jazz,PRRollMan,Offensive,0.108,20,0.242,0.833,0.432,0.148,0.037,0.148,0.0,0.444,0.443,2.7,2.3,1.0,2.2,1.3
2025-26,22025,1630596,Evan Mobley,1610612739,CLE,Cleveland Cavaliers,PRRollMan,Offensive,0.078,22,0.143,0.746,0.349,0.203,0.085,0.186,0.017,0.373,0.407,2.7,2.0,0.7,2.0,1.3
2025-26,22025,1642366,Quinten Post,1610612744,GSW,Golden State Warriors,PRRollMan,Offensive,0.912,22,0.174,1.593,0.593,0.037,0.0,0.037,0.037,0.593,0.778,1.2,2.0,0.7,1.2,0.5
2025-26,22025,1628970,Miles Bridges,1610612766,CHA,Charlotte Hornets,PRRollMan,Offensive,0.525,21,0.082,1.167,0.517,0.167,0.083,0.167,0.056,0.528,0.569,1.7,2.0,0.7,1.4,0.7
2025-26,22025,203944,Julius Randle,1610612750,MIN,Minnesota Timberwolves,PRRollMan,Offensive,0.525,21,0.08,1.167,0.516,0.139,0.028,0.111,0.028,0.556,0.532,1.7,2.0,0.8,1.5,0.7
2025-26,22025,203954,Joel Embiid,1610612755,PHI,Philadelphia 76ers,PRRollMan,Offensive,0.129,9,0.271,0.857,0.341,0.143,0.041,0.143,0.02,0.408,0.378,5.4,4.7,1.6,4.6,3.0
