Season,SEASON_ID,PLAYER_ID,PLAYER_NAME,TEAM_ID,TEAM_ABBREVIATION,TEAM_NAME,PLAY_TYPE,TYPE_GROUPING,PERCENTILE,GP,POSS_PCT,PPP,FG_PCT,FT_POSS_PCT,TOV_POSS_PCT,SF_POSS_PCT,PLUSONE_POSS_PCT,SCORE_POSS_PCT,EFG_PCT,POSS,PTS,FGM,FGA,FGMX
2025-26,22025,203999,Nikola Jokić,1610612743,DEN,Denver Nuggets,Postup,Offensive,0.972,22,0.234,1.382,0.711,0.163,0.081,0.138,0.033,0.691,0.711,5.6,7.7,3.1,4.4,1.3
2025-26,22025,1627826,Ivica Zubac,1610612746,LAC,LA Clippers,Postup,Offensive,0.458,22,0.283,1.011,0.562,0.109,0.12,0.076,0.022,0.522,0.562,4.2,4.2,1.9,3.3,1.5
2025-26,22025,1630578,Alperen Sengun,1610612745,HOU,Houston Rockets,Postup,Offensive,0.375,17,0.214,0.978,0.536,0.133,0.111,0.089,0.011,0.511,0.536,5.3,5.2,2.2,4.1,1.9
2025-26,22025,203507,Giannis Antetokounmpo,1610612749,MIL,Milwaukee Bucks,Postup,Offensive,0.639,15,0.18,1.132,0.646,0.206,0.132,0.147,0.044,0.603,0.646,4.5,5.1,2.1,3.2,1.1
2025-26,22025,201942,DeMar DeRozan,1610612758,SAC,Sacramento Kings,Postup,Offensive,0.958,22,0.135,1.375,0.658,0.292,0.042,0.271,0.125,0.667,0.658,2.2,3.0,1.1,1.7,0.6
2025-26,22025,204001,Kristaps Porziņģis,1610612737,ATL,Atlanta Hawks,Postup,Offensive,0.944,12,0.236,1.37,0.629,0.239,0.022,0.196,0.022,0.696,0.629,3.8,5.3,1.8,2.9,1.1
2025-26,22025,1628991,Jaren Jackson Jr.,1610612763,MEM,Memphis Grizzlies,Postup,Offensive,0.282,19,0.204,0.939,0.5,0.212,0.167,0.197,0.045,0.5,0.5,3.5,3.3,1.2,2.3,1.2
2025-26,22025,202685,Jonas Valančiūnas,1610612743,DEN,Denver Nuggets,Postup,Offensive,0.653,22,0.291,1.137,0.722,0.118,0.176,0.098,0.0,0.608,0.722,2.3,2.6,1.2,1.6,0.5
2025-26,22025,1626171,Bobby Portis,1610612749,MIL,Milwaukee Bucks,Postup,Offensive,0.208,23,0.203,0.887,0.426,0.094,0.019,0.075,0.0,0.472,0.426,2.3,2.0,0.9,2.0,1.2
2025-26,22025,1627783,Pascal Siakam,1610612754,IND,Indiana Pacers,Postup,Offensive,0.194,20,0.107,0.868,0.405,0.189,0.132,0.189,0.019,0.453,0.405,2.7,2.3,0.8,1.9,1.1
2025-26,22025,1626157,Karl-Anthony Towns,1610612752,NYK,New York Knicks,Postup,Offensive,0.389,19,0.114,0.978,0.536,0.239,0.239,0.217,0.087,0.478,0.536,2.4,2.4,0.8,1.5,0.7
2025-26,22025,1629029,Luka Dončić,1610612747,LAL,Los Angeles Lakers,Postup,Offensive,0.736,14,0.079,1.189,0.571,0.243,0.081,0.189,0.081,0.595,0.571,2.6,3.1,1.1,2.0,0.9
2025-26,22025,1630180,Saddiq Bey,1610612740,NOP,New Orleans Pelicans,Postup,Offensive,0.903,22,0.108,1.313,0.6,0.25,0.031,0.25,0.063,0.656,0.6,1.5,1.9,0.7,1.1,0.5
2025-26,22025,1641744,Zach Edey,1610612763,MEM,Memphis Grizzlies,Postup,Offensive,0.549,9,0.328,1.079,0.633,0.079,0.158,0.053,0.026,0.553,0.633,4.2,4.6,2.1,3.3,1.2
2025-26,22025,1627742,Brandon Ingram,1610612761,TOR,Toronto Raptors,Postup,Offensive,0.549,23,0.075,1.079,0.484,0.211,0.079,0.211,0.105,0.5,0.484,1.7,1.8,0.7,1.3,0.7
2025-26,22025,203944,Julius Randle,1610612750,MIN,Minnesota Timberwolves,Postup,Offensive,0.42,21,0.092,1.0,0.556,0.195,0.146,0.146,0.0,0.561,0.556,2.0,2.0,0.7,1.3,0.6
