Season,PLAYER_ID,PLAYER_NAME,TEAM_ID,TEAM_ABBREVIATION,AGE,NICKNAME,FGM,FGA,FG_PCT,FGM,FGA,FG_PCT,FGM,FGA,FG_PCT,FGM,FGA,FG_PCT,FGM,FGA,FG_PCT,FGM,FGA,FG_PCT,FGM,FGA,FG_PCT,FGM,FGA,FG_PCT,FGM,FGA,FG_PCT
2025-26,1630639,A.J. Lawson,1610612761,TOR,25.0,A.J.,1.0,2.5,0.4,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,1.0,0.5,0.5,1.0,0.5,0.0,0.0,0.0,,,,,,
2025-26,1631260,AJ Green,1610612749,MIL,26.0,AJ,0.1,0.2,0.75,0.1,0.2,0.4,0.1,0.2,0.6,0.0,0.0,0.0,1.3,2.2,0.611,1.9,4.4,0.423,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-26,1642358,AJ Johnson,1610612764,WAS,21.0,AJ,0.1,0.9,0.1,0.1,0.2,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-26,203932,Aaron Gordon,1610612743,DEN,30.0,Aaron,3.4,4.5,0.746,0.2,0.8,0.2,0.3,0.7,0.444,0.2,0.9,0.182,0.7,1.9,0.36,1.6,3.0,0.538,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-26,1628988,Aaron Holiday,1610612745,HOU,29.0,Aaron,0.3,0.5,0.6,0.6,0.7,0.786,0.0,0.5,0.0,0.0,0.1,0.0,0.7,1.6,0.419,1.0,2.4,0.426,0.1,0.1,1.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-26,1630174,Aaron Nesmith,1610612754,IND,26.0,Aaron,1.5,3.2,0.457,0.3,0.7,0.375,0.2,0.9,0.2,0.1,0.6,0.143,1.3,3.4,0.378,1.6,4.5,0.367,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-26,1630598,Aaron Wiggins,1610612760,OKC,26.0,Aaron,1.7,3.0,0.563,0.4,1.0,0.375,0.2,0.4,0.5,0.0,0.1,0.0,1.0,2.6,0.381,1.2,2.7,0.442,0.1,0.2,0.5,0.0,0.0,0.0,0.0,0.0,0.0
2025-26,1642846,Ace Bailey,1610612762,UTA,19.0,Ace,1.4,2.0,0.698,0.4,0.9,0.458,0.2,0.7,0.316,0.4,1.0,0.423,1.0,2.6,0.4,0.7,2.3,0.306,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-26,1641737,Adem Bona,1610612755,PHI,22.0,Adem,1.2,2.1,0.55,0.1,0.2,0.333,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.2,0.333,0.1,0.1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-26,1642876,Adou Thiero,1610612747,LAL,21.0,Adou,0.3,0.6,0.429,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-26,1642349,Ajay Mitchell,1610612760,OKC,23.0,Ajay,2.4,3.9,0.615,1.0,2.0,0.491,0.5,1.0,0.517,0.0,0.5,0.077,0.6,1.6,0.364,0.5,1.8,0.286,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-26,201143,Al Horford,1610612744,GSW,39.0,Al,0.2,0.4,0.6,0.3,0.9,0.333,0.1,0.2,0.5,0.0,0.2,0.0,0.9,1.9,0.48,0.4,2.5,0.156,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-26,1627936,Alex Caruso,1610612760,OKC,31.0,Alex,0.9,1.4,0.63,0.1,0.4,0.125,0.1,0.2,0.667,0.0,0.0,0.0,0.6,1.7,0.344,0.5,1.5,0.321,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-26,1642259,Alex Sarr,1610612764,WAS,20.0,Alex,4.6,6.5,0.701,1.2,3.7,0.313,0.7,1.3,0.522,0.1,0.2,0.25,0.4,1.0,0.389,0.9,2.5,0.378,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-26,1642918,Alijah Martin,1610612761,TOR,23.0,Alijah,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,
