Season,PLAYER_ID,PLAYER_NAME,TEAM_ID,TEAM_ABBREVIATION,AGE,G,MIN,CONTESTED_SHOTS,CONTESTED_SHOTS_2PT,CONTESTED_SHOTS_3PT,DEFLECTIONS,CHARGES_DRAWN,SCREEN_ASSISTS,SCREEN_AST_PTS,OFF_LOOSE_BALLS_RECOVERED,DEF_LOOSE_BALLS_RECOVERED,LOOSE_BALLS_RECOVERED,PCT_LOOSE_BALLS_RECOVERED_OFF,PCT_LOOSE_BALLS_RECOVERED_DEF,OFF_BOXOUTS,DEF_BOXOUTS,BOX_OUTS,BOX_OUT_PLAYER_TEAM_REBS,BOX_OUT_PLAYER_REBS,PCT_BOX_OUTS_OFF,PCT_BOX_OUTS_DEF,PCT_BOX_OUTS_TEAM_REB,PCT_BOX_OUTS_REB
2025-26,1630639,A.J. Lawson,1610612761,TOR,25.0,16,10.8,1.25,0.75,0.5,1.0,0.06,0.0,0.0,0.0,0.13,0.13,0.0,1.0,0.0,0.31,0.31,0.31,0.13,0.0,1.0,1.0,0.4
2025-26,1631260,AJ Green,1610612749,MIL,26.0,78,29.1,3.83,2.15,1.68,1.42,0.04,0.35,0.79,0.15,0.32,0.47,0.324,0.676,0.0,0.46,0.46,0.46,0.12,0.0,1.0,1.0,0.25
2025-26,1642358,AJ Johnson,1610612742,DAL,21.0,32,12.0,2.0,1.06,0.94,0.72,0.0,0.09,0.19,0.13,0.0,0.13,1.0,0.0,0.0,0.03,0.03,0.03,0.0,0.0,1.0,1.0,0.0
2025-26,203932,Aaron Gordon,1610612743,DEN,30.0,36,27.9,2.81,1.86,0.94,0.75,0.0,1.0,2.47,0.17,0.25,0.42,0.4,0.6,0.11,0.28,0.39,0.39,0.31,0.286,0.714,1.0,0.786
2025-26,1628988,Aaron Holiday,1610612745,HOU,29.0,49,15.1,2.08,1.0,1.08,0.78,0.04,0.12,0.27,0.04,0.16,0.2,0.2,0.8,0.0,0.14,0.14,0.14,0.04,0.0,1.0,1.0,0.286
2025-26,1630174,Aaron Nesmith,1610612754,IND,26.0,45,29.7,5.56,3.36,2.2,1.11,0.09,0.58,1.16,0.36,0.24,0.6,0.593,0.407,0.02,0.22,0.24,0.24,0.11,0.091,0.909,1.0,0.455
2025-26,1630598,Aaron Wiggins,1610612760,OKC,27.0,62,22.2,4.21,2.32,1.89,1.82,0.02,0.27,0.58,0.21,0.34,0.55,0.382,0.618,0.02,0.24,0.26,0.26,0.19,0.063,0.938,1.0,0.75
2025-26,1642846,Ace Bailey,1610612762,UTA,19.0,72,27.6,4.82,2.65,2.17,1.51,0.0,0.24,0.5,0.35,0.21,0.56,0.625,0.375,0.04,0.33,0.38,0.38,0.14,0.111,0.889,1.0,0.37
2025-26,1642380,Adama Bal,1610612763,MEM,22.0,8,30.2,4.13,2.13,2.0,1.5,0.0,0.63,1.63,0.0,0.0,0.0,0.0,0.0,0.0,0.38,0.38,0.38,0.0,0.0,1.0,1.0,0.0
2025-26,1641737,Adem Bona,1610612755,PHI,23.0,70,17.5,5.34,3.71,1.63,1.17,0.0,1.56,3.77,0.16,0.24,0.4,0.393,0.607,0.5,0.43,0.93,0.93,0.6,0.538,0.462,1.0,0.646
