Season,playerName,dunkScore_average,jumpSubscore_average,powerSubscore_average,styleSubscore_average,defensiveContestSubscore_average,maxBallHeight_average,ballSpeedThroughRim_average,playerVertical_average,hangTime_average,takeoffDistance_average,playerRotation_average,playerLateralSpeed_average,ballDistanceTraveled_average,ballReachBack_average,totalBallAcceleration_average,passLength_average,catchDistance_average,lateralCatchDistance_average,defensiveContestLevel_average,dunkScore_max,jumpSubscore_max,powerSubscore_max,styleSubscore_max,defensiveContestSubscore_max,maxBallHeight_max,ballSpeedThroughRim_max,playerVertical_max,hangTime_max,takeoffDistance_max,playerRotation_max,playerLateralSpeed_max,ballDistanceTraveled_max,ballReachBack_max,totalBallAcceleration_max,passLength_max,catchDistance_max,lateralCatchDistance_max,defensiveContestLevel_max,dunkScore_total,jumpSubscore_total,powerSubscore_total,styleSubscore_total,defensiveContestSubscore_total,maxBallHeight_total,ballSpeedThroughRim_total,playerVertical_total,hangTime_total,takeoffDistance_total,playerRotation_total,playerLateralSpeed_total,ballDistanceTraveled_total,ballReachBack_total,totalBallAcceleration_total,passLength_total,catchDistance_total,lateralCatchDistance_total,defensiveContestLevel_total
2025-26,A.J. Lawson,43.0,56.86666666666667,26.96666666666667,31.566666666666666,3.466666666666667,10.556,16.382333333333335,27.567666666666668,0.43333333333333335,5.514666666666666,41.21533333333333,7.011,1.3223333333333331,0.0,0.434,3.533,0.887,0.85,3.779666666666666,51.0,60.1,55.9,37.9,6.7,10.601,27.265,28.218,0.517,6.304,69.213,8.31,2.106,0.0,1.179,10.599,2.661,2.55,7.297,129.0,170.6,80.9,94.7,10.4,31.668,49.147000000000006,82.703,1.3,16.543999999999997,123.64599999999999,21.033,3.9669999999999996,0.0,1.302,10.599,2.661,2.55,11.338999999999999
2025-26,AJ Johnson,55.5,72.74285714285715,41.34285714285715,43.042857142857144,4.085714285714286,10.783857142857142,20.415,32.366571428571426,0.4215714285714286,5.381571428571429,44.85214285714285,6.996285714285714,2.055857142857143,0.24085714285714285,0.39042857142857146,4.210285714285715,0.8135714285714286,0.8102857142857144,4.481142857142857,67.1,81.0,78.4,66.3,16.0,10.971,30.463,33.844,0.534,6.279,81.324,8.36,3.121,1.087,0.961,20.901,3.441,3.426,17.527,388.5,509.20000000000005,289.40000000000003,301.3,28.6,75.487,142.905,226.566,2.951,37.67100000000001,313.965,48.974000000000004,14.391000000000002,1.686,2.733,29.472,5.695,5.672000000000001,31.368000000000002
2025-26,Aaron Gordon,37.852500000000006,39.50499999999999,26.28,40.34749999999999,7.397499999999999,10.551875,12.9719,24.421225,0.40989999999999993,3.5888749999999994,52.86225000000002,3.703800000000001,1.257225,0.28280000000000005,0.12904999999999997,3.0519249999999993,0.6439,0.61575,7.9151750000000005,74.7,71.6,96.9,92.7,47.3,11.148,28.035,31.232,0.683,7.51,169.786,9.512,3.637,2.051,1.023,31.266,5.823,5.634,49.817,1514.1000000000001,1580.1999999999996,1051.2,1613.8999999999996,295.9,422.07500000000005,518.876,976.849,16.395999999999997,143.55499999999998,2114.4900000000007,148.15200000000004,50.289,11.312000000000001,5.161999999999999,122.07699999999997,25.756,24.630000000000003,316.607
2025-26,Aaron Holiday,48.6,65.4,34.7,35.4,0.0,10.638,20.555,30.966,0.433,5.096,70.464,8.161,2.374,0.0,0.384,0.0,0.0,0.0,0.0,48.6,65.4,34.7,35.4,0.0,10.638,20.555,30.966,0.433,5.096,70.464,8.161,2.374,0.0,0.384,0.0,0.0,0.0,0.0,48.6,65.4,34.7,35.4,0.0,10.638,20.555,30.966,0.433,5.096,70.464,8.161,2.374,0.0,0.384,0.0,0.0,0.0,0.0
2025-26,Aaron Nesmith,48.285714285714285,54.47142857142858,27.47142857142857,29.12857142857143,20.942857142857143,10.538142857142859,16.51685714285714,27.286857142857144,0.40714285714285714,5.510571428571429,52.89128571428571,7.357,1.5961428571428573,0.0,0.347,0.0,0.0,0.0,22.793857142857146,69.2,67.9,55.5,36.2,43.7,10.686,27.525,29.052,0.483,7.665,85.473,8.567,2.475,0.0,1.036,0.0,0.0,0.0,47.077,338.0,381.30000000000007,192.3,203.9,146.6,73.76700000000001,115.618,191.008,2.85,38.574,370.239,51.499,11.173000000000002,0.0,2.429,0.0,0.0,0.0,159.55700000000002
2025-26,Aaron Wiggins,42.20555555555556,55.650000000000006,20.66111111111111,32.62777777777777,6.855555555555555,10.59377777777778,14.261333333333333,27.439444444444444,0.43050000000000005,5.2828888888888885,34.01755555555556,6.742333333333333,1.5354444444444444,0.05422222222222222,0.14250000000000002,0.5384444444444445,0.5608333333333333,0.5332222222222222,7.306555555555556,70.1,73.8,75.0,66.4,36.8,10.833,25.988,32.289,0.517,7.716,75.046,10.229,2.436,0.976,0.448,9.692,3.605,3.285,39.083,759.7000000000002,1001.7,371.90000000000003,587.3,123.39999999999999,190.68800000000002,256.704,493.90999999999997,7.7490000000000006,95.092,612.316,121.362,27.637999999999998,0.976,2.5650000000000004,9.692,10.094999999999999,9.597999999999999,131.518
2025-26,Ace Bailey,52.00273972602739,54.95479452054793,51.6931506849315,53.87397260273971,6.838356164383562,10.608917808219177,21.012726027397246,27.790821917808227,0.40541095890410944,5.069082191780824,29.029315068493144,5.768986301369861,1.957917808219178,0.7793424657534247,0.29854794520547945,2.8961643835616435,0.7164383561643838,0.7063698630136988,7.309794520547947,92.9,80.4,99.0,92.0,56.2,10.997,34.966,35.597,0.566,10.428,127.087,9.866,6.263,2.647,1.742,36.631,5.359,5.359,55.906,3796.2,4011.699999999999,3773.6,3932.7999999999993,499.20000000000005,774.4509999999999,1533.928999999999,2028.7300000000005,29.594999999999988,370.0430000000002,2119.1399999999994,421.1359999999998,142.928,56.892,21.794,211.42,52.30000000000002,51.565000000000005,533.6150000000001
2025-26,Adem Bona,45.30289855072464,44.623188405797116,39.43623188405796,45.865217391304334,12.453623188405796,10.716304347826085,16.423304347826083,25.114579710144927,0.39043478260869585,3.493927536231884,33.12147826086956,3.377521739130434,1.5973333333333335,0.4166666666666667,0.23985507246376817,1.6764057971014492,0.7523043478260869,0.7306811594202899,13.451913043478262,75.5,85.3,89.3,82.6,66.0,11.399,27.941,34.448,0.584,8.831,113.434,9.64,3.514,1.399,1.666,23.818,4.597,4.425,69.129,3125.9,3079.000000000001,2721.0999999999995,3164.699999999999,859.3,739.4249999999998,1133.2079999999996,1732.906,26.940000000000012,241.081,2285.3819999999996,233.04899999999995,110.21600000000001,28.75,16.550000000000004,115.672,51.909,50.417,928.1820000000001
2025-26,Adou Thiero,51.5375,61.62500000000001,39.875,45.81250000000001,6.0375,10.726625,17.77075,30.2605,0.44375000000000003,4.3580000000000005,38.925625000000004,4.2425,2.054,0.306875,0.38099999999999995,8.882875,0.95425,0.952625,6.603375,63.8,84.9,91.2,76.0,27.9,10.904,23.537,36.473,0.55,5.718,65.136,7.899,3.905,1.44,1.027,47.518,4.352,4.341,30.512,412.3,493.00000000000006,319.0,366.50000000000006,48.3,85.813,142.166,242.084,3.5500000000000003,34.864000000000004,311.40500000000003,33.94,16.432,2.455,3.0479999999999996,71.063,7.634,7.621,52.827
2025-26,Ajay Mitchell,35.925,46.1,20.55,34.15,4.825,10.51475,11.781500000000001,27.6975,0.4,3.4612500000000006,37.464,5.24,1.7602499999999999,0.1735,0.066,0.0,0.0,0.0,5.2775,43.8,54.0,46.4,58.6,19.1,10.561,13.425,31.173,0.417,4.121,48.513,6.37,2.324,0.694,0.127,0.0,0.0,0.0,20.942,143.7,184.4,82.2,136.6,19.3,42.059,47.126000000000005,110.79,1.6,13.845000000000002,149.856,20.96,7.0409999999999995,0.694,0.264,0.0,0.0,0.0,21.11
