Season,PLAYER_ID,PLAYER_NAME,TEAM_ID,TEAM_ABBREVIATION,AGE,NICKNAME,FGM,FGA,FG_PCT,FGM,FGA,FG_PCT,FGM,FGA,FG_PCT,FGM,FGA,FG_PCT,FGM,FGA,FG_PCT
2025-26,1630639,A.J. Lawson,1610612761,TOR,25.0,A.J.,0.7,1.4,0.469,0.0,0.0,0.0,0.0,0.0,0.0,0.8,2.0,0.422,0.0,0.0,0.0
2025-26,1631260,AJ Green,1610612749,MIL,26.0,AJ,0.2,0.3,0.565,0.2,0.3,0.48,0.1,0.2,0.313,3.0,7.1,0.419,0.0,0.0,0.0
2025-26,1642358,AJ Johnson,1610612742,DAL,21.0,AJ,1.0,2.4,0.393,0.0,0.1,0.2,0.0,0.1,0.0,0.3,1.2,0.211,0.0,0.0,0.0
2025-26,203932,Aaron Gordon,1610612743,DEN,30.0,Aaron,3.0,4.7,0.649,0.4,1.3,0.356,0.3,0.8,0.429,1.7,4.4,0.389,0.0,0.0,0.0
2025-26,1628988,Aaron Holiday,1610612745,HOU,29.0,Aaron,0.5,0.8,0.636,0.2,0.5,0.31,0.0,0.2,0.111,1.2,3.0,0.394,0.0,0.0,0.0
2025-26,1630174,Aaron Nesmith,1610612754,IND,26.0,Aaron,1.5,3.1,0.496,0.7,1.6,0.443,0.2,0.6,0.269,2.3,6.2,0.379,0.0,0.0,0.0
2025-26,1630598,Aaron Wiggins,1610612760,OKC,27.0,Aaron,1.8,3.3,0.538,0.3,0.7,0.37,0.1,0.1,0.5,1.5,4.2,0.356,0.0,0.0,0.0
2025-26,1642846,Ace Bailey,1610612762,UTA,19.0,Ace,2.1,3.3,0.65,0.8,1.8,0.429,0.7,1.8,0.386,1.9,5.5,0.344,0.0,0.0,0.0
2025-26,1642380,Adama Bal,1610612763,MEM,22.0,Adama,1.3,2.3,0.556,0.0,0.5,0.0,0.0,0.3,0.0,2.3,5.5,0.409,0.0,0.0,0.0
2025-26,1641737,Adem Bona,1610612755,PHI,23.0,Adem,1.8,2.9,0.608,0.0,0.1,0.4,0.0,0.0,0.0,0.0,0.1,0.333,0.0,0.0,0.0
2025-26,1642876,Adou Thiero,1610612747,LAL,21.0,Adou,0.6,1.1,0.556,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.333,0.0,0.0,0.0
2025-26,1642349,Ajay Mitchell,1610612760,OKC,23.0,Ajay,2.9,5.2,0.562,0.9,1.6,0.57,0.1,0.4,0.208,1.1,3.1,0.347,0.0,0.0,0.0
2025-26,201143,Al Horford,1610612744,GSW,39.0,Al,1.1,2.0,0.557,0.3,0.6,0.444,0.1,0.1,0.75,1.6,4.6,0.361,0.0,0.0,0.0
2025-26,1630828,Alex Antetokounmpo,1610612749,MIL,24.0,Alex,0.0,0.0,0.0,0.2,0.2,1.0,0.0,0.0,0.0,0.3,1.2,0.286,0.0,0.0,0.0
2025-26,1627936,Alex Caruso,1610612760,OKC,32.0,Alex,1.2,1.9,0.638,0.1,0.2,0.455,0.0,0.1,0.667,0.9,3.2,0.293,0.0,0.0,0.0
2025-26,1631457,Alex Morales,1610612753,ORL,28.0,Alex,0.5,1.3,0.4,0.3,0.3,1.0,0.0,0.0,0.0,0.0,0.3,0.0,0.0,0.0,0.0
