Season,PLAYER_ID,PLAYER_NAME,TEAM_ID,TEAM_ABBREVIATION,GP,W,L,MIN,CATCH_SHOOT_FGM,CATCH_SHOOT_FGA,CATCH_SHOOT_FG_PCT,CATCH_SHOOT_PTS,CATCH_SHOOT_FG3M,CATCH_SHOOT_FG3A,CATCH_SHOOT_FG3_PCT,CATCH_SHOOT_EFG_PCT
2024-25,1630639,A.J. Lawson,1610612761,TOR,26,14,12,486.0,29,93,0.312,87,29,93,0.312,0.468
2024-25,1631260,AJ Green,1610612749,MIL,73,44,29,1659.0,122,276,0.442,365,121,272,0.445,0.661
2024-25,1642358,AJ Johnson,1610612764,WAS,29,8,21,638.0,14,52,0.269,42,14,51,0.275,0.404
2024-25,203932,Aaron Gordon,1610612743,DEN,51,33,18,1447.0,64,133,0.481,182,54,119,0.454,0.684
2024-25,1628988,Aaron Holiday,1610612745,HOU,62,39,23,792.0,57,137,0.416,171,57,135,0.422,0.624
2024-25,1630174,Aaron Nesmith,1610612754,IND,45,29,16,1122.0,73,162,0.451,218,72,161,0.447,0.673
2024-25,1630598,Aaron Wiggins,1610612760,OKC,76,62,14,1744.0,111,285,0.389,331,109,279,0.391,0.581
2024-25,1641745,Adam Flagler,1610612760,OKC,37,34,3,203.0,9,50,0.18,27,9,50,0.18,0.27
2024-25,1641766,Adama Sanogo,1610612741,CHI,4,2,2,21.0,0,0,,0,,,,
2024-25,1641737,Adem Bona,1610612755,PHI,58,12,46,905.0,0,2,0.0,0,0,1,0.0,0.0
2024-25,1642349,Ajay Mitchell,1610612760,OKC,36,31,5,597.0,23,54,0.426,67,21,52,0.404,0.62
2024-25,201143,Al Horford,1610612738,BOS,60,44,16,1659.0,112,315,0.356,334,110,306,0.359,0.53
2024-25,202692,Alec Burks,1610612748,MIA,49,26,23,863.0,70,166,0.422,210,70,165,0.424,0.633
2024-25,1627936,Alex Caruso,1610612760,OKC,54,44,10,1041.0,56,149,0.376,167,55,146,0.377,0.56
2024-25,1642505,Alex Ducas,1610612760,OKC,21,20,1,125.0,10,21,0.476,30,10,20,0.5,0.714
2024-25,203458,Alex Len,1610612747,LAL,46,21,25,380.0,3,15,0.2,7,1,8,0.125,0.233
2024-25,1642024,Alex Reese,1610612755,PHI,15,4,11,216.0,16,41,0.39,47,15,40,0.375,0.573
2024-25,1642259,Alex Sarr,1610612764,WAS,67,13,54,1814.0,103,342,0.301,305,99,320,0.309,0.446
2024-25,1631214,Alondes Williams,1610612765,DET,1,0,1,4.0,1,1,1.0,3,1,1,1.0,1.5
2024-25,1630578,Alperen Sengun,1610612745,HOU,76,52,24,2395.0,66,179,0.369,150,18,71,0.254,0.419
2024-25,1641708,Amen Thompson,1610612745,HOU,69,43,26,2225.0,28,95,0.295,79,23,78,0.295,0.416
2024-25,1629599,Amir Coffey,1610612746,LAC,72,41,31,1748.0,95,226,0.42,281,91,216,0.421,0.622
2024-25,203083,Andre Drummond,1610612755,PHI,40,12,28,751.0,5,24,0.208,13,3,18,0.167,0.271
2024-25,1641748,Andre Jackson Jr.,1610612749,MIL,67,39,28,980.0,27,68,0.397,80,26,67,0.388,0.588
2024-25,1629614,Andrew Nembhard,1610612754,IND,65,44,21,1881.0,50,153,0.327,139,39,130,0.3,0.454
2024-25,203952,Andrew Wiggins,1610612748,MIA,60,27,33,1842.0,96,244,0.393,287,95,241,0.394,0.588
2024-25,1629014,Anfernee Simons,1610612757,POR,70,28,42,2292.0,117,311,0.376,347,113,300,0.377,0.558
2024-25,1641710,Anthony Black,1610612753,ORL,78,39,39,1887.0,50,146,0.342,148,48,144,0.333,0.507
2024-25,203076,Anthony Davis,1610612742,DAL,51,30,21,1705.0,65,182,0.357,160,30,99,0.303,0.44
2024-25,1630162,Anthony Edwards,1610612750,MIN,79,48,31,2871.0,92,215,0.428,272,88,209,0.421,0.633
2024-25,1630264,Anthony Gill,1610612764,WAS,51,7,44,398.0,10,30,0.333,30,10,30,0.333,0.5
2024-25,1641817,Anton Watson,1610612752,NYK,9,5,4,22.0,1,2,0.5,2,0,1,0.0,0.5
2024-25,1641810,Antonio Reeves,1610612740,NOP,44,6,38,660.0,41,97,0.423,123,41,97,0.423,0.634
2024-25,1630574,Ariel Hukporti,1610612752,NYK,25,17,8,217.0,0,1,0.0,0,,,,0.0
2024-25,1642422,Armel Traoré,1610612747,LAL,9,5,4,67.0,0,7,0.0,0,0,7,0.0,0.0
2024-25,1641709,Ausar Thompson,1610612765,DET,59,34,25,1328.0,10,42,0.238,30,10,41,0.244,0.357
2024-25,1630559,Austin Reaves,1610612747,LAL,73,46,27,2550.0,117,293,0.399,349,115,288,0.399,0.596
2024-25,1630245,Ayo Dosunmu,1610612741,CHI,46,17,29,1394.0,55,162,0.34,164,54,159,0.34,0.506
2024-25,1628389,Bam Adebayo,1610612748,MIA,78,36,42,2674.0,122,305,0.4,308,64,174,0.368,0.505
2024-25,1631248,Baylor Scheierman,1610612738,BOS,31,27,4,384.0,21,67,0.313,62,20,66,0.303,0.463
2024-25,1641767,Ben Sheppard,1610612754,IND,63,40,23,1230.0,65,183,0.355,194,64,179,0.358,0.53
2024-25,1627732,Ben Simmons,1610612746,LAC,51,26,25,1120.0,1,3,0.333,2,,,,0.333
2024-25,1631097,Bennedict Mathurin,1610612754,IND,72,43,29,2149.0,58,133,0.436,166,50,121,0.413,0.624
2024-25,1641731,Bilal Coulibaly,1610612764,WAS,59,13,46,1948.0,51,186,0.274,152,50,181,0.276,0.409
2024-25,202687,Bismack Biyombo,1610612759,SAS,28,10,18,527.0,0,2,0.0,0,,,,0.0
2024-25,1631104,Blake Wesley,1610612759,SAS,58,23,35,683.0,15,55,0.273,45,15,52,0.288,0.409
2024-25,1626171,Bobby Portis,1610612749,MIL,49,30,19,1244.0,84,224,0.375,227,59,168,0.351,0.507
2024-25,1641752,Bobi Klintman,1610612765,DET,8,4,4,42.0,2,5,0.4,5,1,4,0.25,0.5
2024-25,203992,Bogdan Bogdanović,1610612746,LAC,54,33,21,1348.0,81,216,0.375,237,75,203,0.369,0.549
2024-25,1629626,Bol Bol,1610612756,PHX,36,10,26,448.0,33,81,0.407,92,26,71,0.366,0.568
2024-25,1630538,Bones Hyland,1610612750,MIN,24,11,13,239.0,9,26,0.346,27,9,26,0.346,0.519
2024-25,203078,Bradley Beal,1610612756,PHX,53,22,31,1702.0,82,202,0.406,240,76,187,0.406,0.594
2024-25,1642382,Branden Carlson,1610612760,OKC,32,29,3,246.0,22,65,0.338,66,22,64,0.344,0.508
2024-25,1641764,Brandin Podziemski,1610612744,GSW,64,38,26,1716.0,74,188,0.394,221,73,184,0.397,0.588
2024-25,1630527,Brandon Boston,1610612740,NOP,42,8,34,993.0,38,87,0.437,110,34,83,0.41,0.632
2024-25,1629634,Brandon Clarke,1610612763,MEM,64,40,24,1207.0,16,47,0.34,33,1,17,0.059,0.351
2024-25,1627742,Brandon Ingram,1610612761,TOR,18,5,13,595.0,33,78,0.423,95,29,71,0.408,0.609
2024-25,1641706,Brandon Miller,1610612766,CHA,27,8,19,924.0,74,192,0.385,221,73,191,0.382,0.576
2024-25,1630314,Brandon Williams,1610612742,DAL,33,15,18,487.0,19,40,0.475,56,18,37,0.486,0.7
2024-25,1630296,Braxton Key,1610612744,GSW,3,3,0,11.0,0,1,0.0,0,0,1,0.0,0.0
2024-25,1641729,Brice Sensabaugh,1610612762,UTA,71,14,57,1432.0,119,275,0.433,356,118,270,0.437,0.647
2024-25,1642355,Bronny James,1610612747,LAL,27,17,10,181.0,3,16,0.188,9,3,15,0.2,0.281
2024-25,201572,Brook Lopez,1610612749,MIL,80,47,33,2546.0,156,411,0.38,445,133,358,0.372,0.541
2024-25,1628971,Bruce Brown,1610612740,NOP,41,15,26,922.0,30,90,0.333,84,24,75,0.32,0.467
2024-25,1628981,Bruno Fernando,1610612761,TOR,17,2,15,147.0,1,5,0.2,2,,,,0.2
2024-25,1631121,Bryce McGowens,1610612757,POR,13,8,5,32.0,0,2,0.0,0,0,2,0.0,0.0
2024-25,1642267,Bub Carrington,1610612764,WAS,82,18,64,2458.0,71,217,0.327,209,67,206,0.325,0.482
2024-25,1627741,Buddy Hield,1610612744,GSW,82,48,34,1863.0,154,394,0.391,458,150,384,0.391,0.581
2024-25,203468,CJ McCollum,1610612740,NOP,56,17,39,1832.0,100,242,0.413,293,93,232,0.401,0.605
2024-25,1630595,Cade Cunningham,1610612765,DET,70,38,32,2452.0,61,156,0.391,180,58,148,0.392,0.577
2024-25,1631216,Caleb Houstan,1610612753,ORL,58,29,29,788.0,60,150,0.4,179,59,148,0.399,0.597
2024-25,1628997,Caleb Martin,1610612742,DAL,45,17,28,1218.0,38,102,0.373,109,33,80,0.413,0.534
2024-25,1642353,Cam Christie,1610612746,LAC,13,10,3,59.0,2,7,0.286,6,2,7,0.286,0.429
2024-25,1629629,Cam Reddish,1610612747,LAL,33,15,18,589.0,13,47,0.277,39,13,44,0.295,0.415
2024-25,1642285,Cam Spencer,1610612763,MEM,25,14,11,252.0,14,40,0.35,42,14,39,0.359,0.525
2024-25,1630560,Cam Thomas,1610612751,BKN,25,8,17,781.0,24,67,0.358,68,20,62,0.323,0.507
2024-25,1641715,Cam Whitmore,1610612745,HOU,51,30,21,827.0,32,100,0.32,96,32,98,0.327,0.48
2024-25,1629661,Cameron Johnson,1610612751,BKN,57,21,36,1800.0,121,299,0.405,359,117,290,0.403,0.6
2024-25,1626166,Cameron Payne,1610612752,NYK,72,46,26,1090.0,43,132,0.326,129,43,131,0.328,0.489
2024-25,1627747,Caris LeVert,1610612737,ATL,64,46,18,1596.0,67,189,0.354,201,67,188,0.356,0.532
2024-25,1641717,Cason Wallace,1610612760,OKC,68,55,13,1876.0,68,183,0.372,203,67,181,0.37,0.555
2024-25,1629646,Charles Bassey,1610612759,SAS,36,14,22,376.0,5,12,0.417,10,,,,0.417
2024-25,1631096,Chet Holmgren,1610612760,OKC,32,26,6,877.0,47,122,0.385,132,38,105,0.362,0.541
2024-25,1628449,Chris Boucher,1610612761,TOR,50,18,32,862.0,68,181,0.376,202,66,174,0.379,0.558
2024-25,1630537,Chris Duarte,1610612741,CHI,17,4,13,74.0,4,6,0.667,12,4,6,0.667,1.0
2024-25,1641753,Chris Livingston,1610612749,MIL,21,15,6,106.0,0,8,0.0,0,0,8,0.0,0.0
2024-25,101108,Chris Paul,1610612759,SAS,82,34,48,2292.0,52,137,0.38,155,51,134,0.381,0.566
2024-25,1631128,Christian Braun,1610612743,DEN,79,48,31,2675.0,71,181,0.392,210,68,176,0.386,0.58
2024-25,1631132,Christian Koloko,1610612747,LAL,37,23,14,342.0,0,5,0.0,0,0,3,0.0,0.0
2024-25,1629643,Chuma Okeke,1610612739,CLE,9,2,7,197.0,10,24,0.417,30,10,24,0.417,0.625
2024-25,203991,Clint Capela,1610612737,ATL,55,27,28,1176.0,1,6,0.167,2,0,1,0.0,0.167
2024-25,1629632,Coby White,1610612741,CHI,74,35,39,2450.0,128,335,0.382,383,127,331,0.384,0.572
2024-25,1628998,Cody Martin,1610612756,PHX,53,16,37,1173.0,39,132,0.295,112,34,124,0.274,0.424
2024-25,1642262,Cody Williams,1610612762,UTA,50,9,41,1060.0,34,129,0.264,102,34,129,0.264,0.395
2024-25,1641732,Colby Jones,1610612764,WAS,39,12,27,515.0,10,34,0.294,29,9,31,0.29,0.426
2024-25,1630175,Cole Anthony,1610612753,ORL,67,35,32,1234.0,54,157,0.344,162,54,156,0.346,0.516
2024-25,1631306,Cole Swider,1610612761,TOR,10,5,5,170.0,13,38,0.342,39,13,37,0.351,0.513
2024-25,1630658,Colin Castleton,1610612761,TOR,26,15,11,432.0,7,23,0.304,16,2,15,0.133,0.348
2024-25,1631221,Collin Gillespie,1610612756,PHX,33,12,21,461.0,27,64,0.422,81,27,62,0.435,0.633
2024-25,1629012,Collin Sexton,1610612762,UTA,63,14,49,1758.0,59,134,0.44,174,56,128,0.438,0.649
2024-25,1630557,Corey Kispert,1610612764,WAS,61,14,47,1602.0,106,286,0.371,316,104,281,0.37,0.552
2024-25,202709,Cory Joseph,1610612753,ORL,50,26,24,612.0,34,91,0.374,102,34,89,0.382,0.56
2024-25,1641854,Craig Porter Jr.,1610612739,CLE,51,40,11,513.0,8,18,0.444,24,8,18,0.444,0.667
2024-25,1642385,Cui Yongxi,1610612751,BKN,5,2,3,10.0,0,3,0.0,0,0,3,0.0,0.0
2024-25,1626156,D'Angelo Russell,1610612751,BKN,58,26,32,1480.0,52,190,0.274,155,51,184,0.277,0.408
2024-25,1630618,D.J. Carton,1610612761,TOR,4,1,3,33.0,0,3,0.0,0,0,3,0.0,0.0
2024-25,1629610,DaQuan Jeffries,1610612766,CHA,47,9,38,1072.0,50,150,0.333,149,49,148,0.331,0.497
2024-25,1631342,Daeqwon Plowden,1610612737,ATL,6,3,3,72.0,9,17,0.529,27,9,17,0.529,0.794
2024-25,1630227,Daishen Nix,1610612750,MIN,3,3,0,13.0,0,1,0.0,0,0,1,0.0,0.0
2024-25,1630625,Dalano Banton,1610612757,POR,67,28,39,1120.0,59,170,0.347,177,59,168,0.351,0.521
2024-25,1631207,Dalen Terry,1610612741,CHI,73,33,40,987.0,36,100,0.36,108,36,98,0.367,0.54
2024-25,1642261,Dalton Knecht,1610612747,LAL,78,47,31,1494.0,106,282,0.376,317,105,281,0.374,0.562
2024-25,203081,Damian Lillard,1610612749,MIL,58,32,26,2093.0,86,208,0.413,257,85,205,0.415,0.618
2024-25,1641878,Damion Baugh,1610612766,CHA,15,1,14,370.0,12,48,0.25,35,11,46,0.239,0.365
2024-25,1627814,Damion Lee,1610612756,PHX,25,6,19,144.0,9,32,0.281,26,8,30,0.267,0.406
2024-25,1629655,Daniel Gafford,1610612742,DAL,57,28,29,1226.0,2,3,0.667,4,,,,0.667
2024-25,1628464,Daniel Theis,1610612740,NOP,38,10,28,621.0,14,51,0.275,37,9,36,0.25,0.363
2024-25,1642450,Daniss Jenkins,1610612765,DET,7,3,4,23.0,0,4,0.0,0,0,4,0.0,0.0
2024-25,203957,Danté Exum,1610612742,DAL,20,7,13,372.0,21,42,0.5,63,21,42,0.5,0.75
2024-25,203967,Dario Šarić,1610612743,DEN,16,7,9,210.0,8,28,0.286,23,7,24,0.292,0.411
2024-25,1641727,Dariq Whitehead,1610612751,BKN,20,6,14,246.0,32,64,0.5,96,32,64,0.5,0.75
