Season,PLAYER_ID,PLAYER_NAME,TEAM_ID,TEAM_ABBREVIATION,GP,W,L,MIN,PASSES_MADE,PASSES_RECEIVED,AST,FT_AST,SECONDARY_AST,POTENTIAL_AST,AST_POINTS_CREATED,AST_ADJ,AST_TO_PASS_PCT,AST_TO_PASS_PCT_ADJ
2025-26,1631260,AJ Green,1610612749,MIL,23,10,13,28.7,35.9,25.6,1.9,0.3,0.4,2.8,5.2,2.6,0.052,0.073
2025-26,1642358,AJ Johnson,1610612764,WAS,10,0,10,4.5,5.7,5.9,0.4,0.0,0.1,1.3,1.2,0.6,0.07,0.105
2025-26,203932,Aaron Gordon,1610612743,DEN,13,10,3,28.3,28.5,31.1,1.3,0.1,0.1,2.8,3.3,1.5,0.046,0.051
2025-26,1628988,Aaron Holiday,1610612745,HOU,16,13,3,17.1,17.1,20.4,1.2,0.1,0.4,2.1,3.2,1.7,0.07,0.099
2025-26,1630174,Aaron Nesmith,1610612754,IND,11,1,10,30.4,38.5,38.3,1.5,0.3,0.5,3.0,4.5,2.4,0.04,0.061
2025-26,1630598,Aaron Wiggins,1610612760,OKC,12,11,1,25.8,23.6,27.9,2.3,0.1,0.3,3.9,5.3,2.6,0.095,0.11
2025-26,1642846,Ace Bailey,1610612762,UTA,22,8,14,22.8,13.2,17.6,1.6,0.2,0.2,3.0,4.6,2.1,0.124,0.158
2025-26,1641737,Adem Bona,1610612755,PHI,17,11,6,16.1,10.2,6.8,0.2,0.0,0.0,0.4,0.4,0.2,0.017,0.017
2025-26,1642876,Adou Thiero,1610612747,LAL,7,5,2,6.7,5.7,2.9,0.1,0.0,0.0,0.3,0.4,0.1,0.025,0.025
2025-26,1642349,Ajay Mitchell,1610612760,OKC,23,22,1,26.6,32.4,39.9,3.6,0.5,0.5,7.1,9.5,4.6,0.111,0.142
2025-26,201143,Al Horford,1610612744,GSW,13,7,6,21.5,33.3,27.9,2.0,0.2,0.3,4.2,5.5,2.5,0.06,0.074
2025-26,1627936,Alex Caruso,1610612760,OKC,15,15,0,18.8,23.1,19.7,2.5,0.2,0.2,3.3,6.3,2.9,0.11,0.127
2025-26,1642259,Alex Sarr,1610612764,WAS,16,2,14,29.7,41.9,39.1,3.3,0.3,0.4,5.1,8.9,3.8,0.078,0.091
2025-26,1630578,Alperen Sengun,1610612745,HOU,19,14,5,35.9,50.9,57.1,7.1,0.6,0.8,11.7,18.3,8.5,0.139,0.166
2025-26,1642873,Amari Williams,1610612738,BOS,6,4,2,5.2,4.2,2.7,0.2,0.0,0.0,0.7,0.3,0.2,0.04,0.04
2025-26,1641708,Amen Thompson,1610612745,HOU,21,15,6,35.9,53.7,55.3,5.1,0.6,0.6,10.2,14.0,6.3,0.095,0.118
2025-26,1629599,Amir Coffey,1610612749,MIL,18,8,10,8.1,5.1,4.6,0.4,0.0,0.1,0.6,1.1,0.6,0.087,0.109
2025-26,203083,Andre Drummond,1610612755,PHI,21,13,8,21.9,15.8,10.9,0.8,0.0,0.2,1.2,1.9,1.0,0.051,0.063
2025-26,1641748,Andre Jackson Jr.,1610612749,MIL,11,3,8,6.9,11.9,8.2,1.5,0.1,0.0,1.8,4.1,1.5,0.122,0.13
2025-26,1629614,Andrew Nembhard,1610612754,IND,15,3,12,30.9,63.5,75.1,6.3,1.0,0.8,12.7,16.7,8.1,0.099,0.127
2025-26,203952,Andrew Wiggins,1610612748,MIA,19,10,9,32.7,26.5,32.3,2.9,0.1,0.9,4.5,7.4,3.9,0.109,0.149
2025-26,1629014,Anfernee Simons,1610612738,BOS,23,14,9,23.7,27.9,34.7,2.6,0.1,0.5,4.7,7.0,3.1,0.092,0.112
2025-26,1641710,Anthony Black,1610612753,ORL,23,14,9,27.9,36.9,40.2,3.0,0.4,0.4,5.7,7.9,3.9,0.083,0.105
