Season,PLAYER_ID,PLAYER_NAME,TEAM_ID,TEAM_ABBREVIATION,GP,W,L,MIN,TOUCHES,POST_TOUCHES,POST_TOUCH_FGM,POST_TOUCH_FGA,POST_TOUCH_FG_PCT,POST_TOUCH_FTM,POST_TOUCH_FTA,POST_TOUCH_FT_PCT,POST_TOUCH_PTS,POST_TOUCH_PTS_PCT,POST_TOUCH_PASSES,POST_TOUCH_PASSES_PCT,POST_TOUCH_AST,POST_TOUCH_AST_PCT,POST_TOUCH_TOV,POST_TOUCH_TOV_PCT,POST_TOUCH_FOULS,POST_TOUCH_FOULS_PCT
2024-25,1630639,A.J. Lawson,1610612761,TOR,26,14,12,18.7,31.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-25,1631260,AJ Green,1610612749,MIL,73,44,29,22.7,29.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-25,1642358,AJ Johnson,1610612764,WAS,29,8,21,22.0,40.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-25,203932,Aaron Gordon,1610612743,DEN,51,33,18,28.4,41.9,2.0,0.5,1.0,0.529,0.2,0.3,0.625,1.3,0.641,0.5,0.233,0.1,0.039,0.3,0.126,0.2,0.078
2024-25,1628988,Aaron Holiday,1610612745,HOU,62,39,23,12.8,20.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-25,1630174,Aaron Nesmith,1610612754,IND,45,29,16,24.9,38.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-25,1630598,Aaron Wiggins,1610612760,OKC,76,62,14,22.9,32.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-25,1641745,Adam Flagler,1610612760,OKC,37,34,3,5.5,8.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-25,1641766,Adama Sanogo,1610612741,CHI,4,2,2,5.4,5.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-25,1641737,Adem Bona,1610612755,PHI,58,12,46,15.6,18.2,0.2,0.1,0.1,0.625,0.0,0.0,0.5,0.2,0.786,0.1,0.286,0.0,0.0,0.0,0.0,0.0,0.071
