Season,PLAYER_ID,PLAYER_NAME,TEAM_ID,TEAM_ABBREVIATION,GP,W,L,MIN,OREB,OREB_CONTEST,OREB_UNCONTEST,OREB_CONTEST_PCT,OREB_CHANCES,OREB_CHANCE_PCT,OREB_CHANCE_DEFER,OREB_CHANCE_PCT_ADJ,AVG_OREB_DIST,DREB,DREB_CONTEST,DREB_UNCONTEST,DREB_CONTEST_PCT,DREB_CHANCES,DREB_CHANCE_PCT,DREB_CHANCE_DEFER,DREB_CHANCE_PCT_ADJ,AVG_DREB_DIST,REB,REB_CONTEST,REB_UNCONTEST,REB_CONTEST_PCT,REB_CHANCES,REB_CHANCE_PCT,REB_CHANCE_DEFER,REB_CHANCE_PCT_ADJ,AVG_REB_DIST
2025-26,1631260,AJ Green,1610612749,MIL,21,9,12,29.5,0.0,0.0,0.0,0.0,0.7,0.067,0.0,0.071,29.7,2.9,0.6,2.3,0.197,5.0,0.581,0.4,0.629,8.2,3.0,0.6,2.4,0.194,5.5,0.534,0.4,0.579,8.6
2025-26,1642358,AJ Johnson,1610612764,WAS,5,0,5,4.5,0.4,0.0,0.4,0.0,0.4,1.0,0.0,1.0,11.5,0.8,0.2,0.6,0.25,1.4,0.571,0.2,0.667,5.2,1.2,0.2,1.0,0.167,1.8,0.667,0.2,0.75,7.3
2025-26,203932,Aaron Gordon,1610612743,DEN,13,10,3,28.3,1.5,0.8,0.6,0.579,2.8,0.514,0.2,0.543,7.4,4.5,1.3,3.2,0.293,6.2,0.725,0.1,0.734,5.9,5.9,2.2,3.8,0.364,8.8,0.675,0.2,0.694,6.2
2025-26,1628988,Aaron Holiday,1610612745,HOU,10,8,2,21.5,0.2,0.1,0.1,0.5,0.8,0.25,0.0,0.25,17.3,1.4,0.3,1.1,0.214,2.4,0.583,0.2,0.636,10.7,1.6,0.4,1.2,0.25,3.2,0.5,0.2,0.533,11.5
2025-26,1630174,Aaron Nesmith,1610612754,IND,11,1,10,30.4,1.5,0.6,0.9,0.412,3.0,0.515,0.0,0.515,16.5,2.9,0.4,2.5,0.125,5.5,0.533,0.5,0.593,7.6,4.5,1.0,3.5,0.224,8.3,0.538,0.5,0.576,10.7
2025-26,1630598,Aaron Wiggins,1610612760,OKC,12,11,1,25.8,0.9,0.6,0.3,0.636,2.2,0.423,0.2,0.458,8.0,2.3,0.3,2.0,0.143,4.3,0.538,0.5,0.609,7.7,3.3,0.9,2.3,0.282,6.3,0.513,0.7,0.574,7.8
2025-26,1642846,Ace Bailey,1610612762,UTA,21,8,13,23.0,1.5,0.6,0.9,0.406,2.6,0.593,0.0,0.604,9.2,2.0,0.7,1.3,0.333,3.3,0.609,0.3,0.677,8.3,3.5,1.3,2.2,0.365,5.7,0.617,0.4,0.661,8.7
2025-26,1641737,Adem Bona,1610612755,PHI,16,10,6,16.3,1.6,1.3,0.3,0.808,5.1,0.317,0.3,0.333,5.1,2.3,0.7,1.6,0.297,5.1,0.457,0.4,0.5,4.1,3.9,2.0,1.9,0.508,9.9,0.399,0.7,0.429,4.5
2025-26,1642876,Adou Thiero,1610612747,LAL,4,2,2,9.7,1.0,0.3,0.8,0.25,1.8,0.571,0.0,0.571,7.0,0.5,0.3,0.3,0.5,1.0,0.5,0.0,0.5,3.5,1.5,0.5,1.0,0.333,2.8,0.545,0.0,0.545,5.8
2025-26,1642349,Ajay Mitchell,1610612760,OKC,20,19,1,28.0,0.7,0.4,0.3,0.538,2.0,0.333,0.1,0.351,11.0,3.2,0.9,2.4,0.266,4.9,0.653,0.3,0.696,9.5,3.9,1.2,2.7,0.312,6.6,0.583,0.4,0.621,9.8
