Season,PLAYER_ID,PLAYER_NAME,TEAM_ID,TEAM_ABBREVIATION,GP,W,L,MIN,MIN1,DIST_FEET,DIST_MILES,DIST_MILES_OFF,DIST_MILES_DEF,AVG_SPEED,AVG_SPEED_OFF,AVG_SPEED_DEF
2025-26,1630639,A.J. Lawson,1610612761,TOR,2,0,2,8.2,8.2,3218.0,0.6,0.3,0.3,4.59,5.54,3.92
2025-26,1631260,AJ Green,1610612749,MIL,23,10,13,28.7,28.7,10742.5,2.0,1.1,0.9,4.48,4.83,4.12
2025-26,1642358,AJ Johnson,1610612764,WAS,10,0,10,4.5,4.5,1736.6,0.3,0.2,0.2,4.46,5.28,3.77
2025-26,203932,Aaron Gordon,1610612743,DEN,13,10,3,28.3,28.3,9650.3,1.8,1.0,0.9,4.1,4.19,3.98
2025-26,1628988,Aaron Holiday,1610612745,HOU,17,14,3,17.1,17.1,5959.2,1.1,0.6,0.5,4.09,4.19,3.98
2025-26,1630174,Aaron Nesmith,1610612754,IND,11,1,10,30.4,30.4,11732.2,2.2,1.2,1.0,4.56,4.99,4.16
2025-26,1630598,Aaron Wiggins,1610612760,OKC,14,13,1,25.1,25.1,9918.1,1.9,1.0,0.9,4.73,5.13,4.35
2025-26,1642846,Ace Bailey,1610612762,UTA,23,8,15,23.2,23.2,8370.7,1.6,0.8,0.8,4.31,4.46,4.14
2025-26,1641737,Adem Bona,1610612755,PHI,17,11,6,16.1,16.1,6069.6,1.1,0.6,0.5,4.45,4.6,4.34
2025-26,1642876,Adou Thiero,1610612747,LAL,9,6,3,5.8,5.8,2292.0,0.4,0.2,0.2,4.59,4.83,4.37
2025-26,1642349,Ajay Mitchell,1610612760,OKC,25,24,1,26.3,26.3,10200.1,1.9,1.0,0.9,4.61,5.05,4.2
2025-26,201143,Al Horford,1610612744,GSW,13,7,6,21.5,21.5,7501.8,1.4,0.8,0.7,4.12,4.38,3.86
2025-26,1627936,Alex Caruso,1610612760,OKC,16,16,0,18.5,18.5,6858.6,1.3,0.7,0.6,4.37,4.77,4.03
2025-26,1642259,Alex Sarr,1610612764,WAS,16,2,14,29.7,29.7,10908.9,2.1,1.1,1.0,4.44,4.79,4.12
2025-26,1642918,Alijah Martin,1610612761,TOR,2,0,2,3.3,3.3,1194.0,0.2,0.1,0.1,4.79,5.02,4.63
2025-26,1630578,Alperen Sengun,1610612745,HOU,20,15,5,35.9,35.9,11767.9,2.2,1.2,1.0,3.88,3.96,3.79
2025-26,1642873,Amari Williams,1610612738,BOS,6,4,2,5.2,5.2,1856.5,0.4,0.2,0.2,4.14,4.46,3.78
2025-26,1641708,Amen Thompson,1610612745,HOU,22,16,6,36.2,36.2,13094.2,2.5,1.4,1.1,4.3,4.56,4.01
2025-26,1629599,Amir Coffey,1610612749,MIL,19,9,10,7.8,7.8,2760.5,0.5,0.3,0.3,4.09,4.14,4.05
2025-26,203083,Andre Drummond,1610612755,PHI,22,13,9,21.7,21.7,7590.9,1.4,0.7,0.7,4.17,4.22,4.12
2025-26,1641748,Andre Jackson Jr.,1610612749,MIL,12,4,8,6.5,6.5,2571.3,0.5,0.3,0.2,4.48,4.74,4.2
2025-26,1629614,Andrew Nembhard,1610612754,IND,16,4,12,31.0,31.0,11641.6,2.2,1.2,1.0,4.45,4.83,4.07
2025-26,203952,Andrew Wiggins,1610612748,MIA,20,10,10,32.8,32.8,12031.3,2.3,1.2,1.1,4.38,4.87,3.95
2025-26,1629014,Anfernee Simons,1610612738,BOS,25,15,10,23.7,23.7,9057.3,1.7,0.9,0.8,4.54,4.64,4.41
