Season,PLAYER_ID,PLAYER_NAME,TEAM_ID,TEAM_ABBREVIATION,GP,W,L,MIN,POINTS,TOUCHES,FRONT_CT_TOUCHES,TIME_OF_POSS,AVG_SEC_PER_TOUCH,AVG_DRIB_PER_TOUCH,PTS_PER_TOUCH,ELBOW_TOUCHES,POST_TOUCHES,PAINT_TOUCHES,PTS_PER_ELBOW_TOUCH,PTS_PER_POST_TOUCH,PTS_PER_PAINT_TOUCH
2025-26,1630639,A.J. Lawson,1610612761,TOR,2,0,2,16.0,12,25,18,0.6,1.47,0.64,0.48,0,0,3,0.0,0.0,1.333
2025-26,1631260,AJ Green,1610612749,MIL,24,10,14,684.0,263,1078,514,33.7,1.88,0.9,0.244,2,0,6,0.0,0.0,1.0
2025-26,1642358,AJ Johnson,1610612764,WAS,11,0,11,48.0,7,85,36,6.5,4.56,3.97,0.082,0,0,1,0.0,0.0,0.0
2025-26,203932,Aaron Gordon,1610612743,DEN,13,10,3,368.0,244,593,283,37.2,3.76,2.64,0.411,14,19,59,0.857,0.947,1.237
2025-26,1628988,Aaron Holiday,1610612745,HOU,19,14,5,311.0,164,453,213,28.7,3.8,3.53,0.362,3,0,1,0.667,0.0,0.0
2025-26,1630174,Aaron Nesmith,1610612754,IND,11,1,10,335.0,170,620,375,19.6,1.9,1.18,0.274,10,0,15,0.0,0.0,0.2
2025-26,1630598,Aaron Wiggins,1610612760,OKC,16,14,2,386.0,190,540,311,25.9,2.87,2.41,0.352,9,0,19,0.444,0.0,0.895
2025-26,1642846,Ace Bailey,1610612762,UTA,26,10,16,616.0,270,644,474,21.0,1.96,1.2,0.419,12,1,49,0.5,0.0,0.796
2025-26,1641737,Adem Bona,1610612755,PHI,17,11,6,273.0,59,233,130,5.3,1.36,0.38,0.253,6,1,43,0.333,2.0,0.814
2025-26,1642876,Adou Thiero,1610612747,LAL,10,7,3,55.0,10,61,24,1.8,1.75,0.58,0.164,0,0,6,0.0,0.0,0.333
2025-26,1642349,Ajay Mitchell,1610612760,OKC,27,25,2,711.0,380,1274,562,101.3,4.77,4.85,0.298,18,0,29,0.889,0.0,0.828
2025-26,201143,Al Horford,1610612744,GSW,13,7,6,279.0,73,533,335,12.3,1.38,0.45,0.137,14,12,26,0.143,0.333,0.308
2025-26,1627936,Alex Caruso,1610612760,OKC,18,17,1,335.0,103,525,249,22.3,2.55,1.84,0.196,21,0,19,0.286,0.0,0.526
2025-26,1642259,Alex Sarr,1610612764,WAS,17,2,15,499.0,323,1048,637,35.1,2.01,1.01,0.308,92,13,107,0.707,1.0,0.972
2025-26,1642918,Alijah Martin,1610612761,TOR,2,0,2,7.0,0,4,2,0.1,1.74,1.5,0.0,0,0,1,0.0,0.0,0.0
2025-26,1630578,Alperen Sengun,1610612745,HOU,22,15,7,796.0,521,1750,1087,95.0,3.26,2.12,0.298,106,127,134,0.566,0.583,0.672
2025-26,1642873,Amari Williams,1610612738,BOS,6,4,2,31.0,3,28,14,0.6,1.32,0.39,0.107,2,0,4,0.0,0.0,0.5
2025-26,1641708,Amen Thompson,1610612745,HOU,24,16,8,880.0,422,1800,669,136.5,4.55,3.9,0.234,30,0,164,0.6,0.0,0.841
2025-26,1629599,Amir Coffey,1610612749,MIL,20,9,11,158.0,30,134,96,4.0,1.77,0.94,0.224,0,0,1,0.0,0.0,2.0
2025-26,203083,Andre Drummond,1610612755,PHI,24,14,10,514.0,174,541,320,13.1,1.45,0.35,0.322,18,7,130,0.222,1.143,0.854
2025-26,1641748,Andre Jackson Jr.,1610612749,MIL,13,4,9,92.0,17,188,90,7.8,2.49,1.57,0.09,5,0,11,0.0,0.0,0.545
2025-26,1629614,Andrew Nembhard,1610612754,IND,19,4,15,599.0,342,1617,661,119.7,4.44,4.09,0.212,6,4,13,0.667,0.0,0.769
2025-26,203952,Andrew Wiggins,1610612748,MIA,22,11,11,721.0,349,968,652,43.4,2.69,1.96,0.361,10,31,45,1.3,0.548,0.911
2025-26,1629014,Anfernee Simons,1610612738,BOS,26,15,11,617.0,337,1084,515,80.1,4.43,3.99,0.311,4,0,8,0.0,0.0,0.5
2025-26,1641710,Anthony Black,1610612753,ORL,27,15,12,779.0,360,1471,738,82.8,3.38,2.79,0.245,10,5,37,0.9,0.8,1.162
2025-26,203076,Anthony Davis,1610612742,DAL,12,7,5,363.0,235,742,473,31.6,2.56,1.27,0.317,51,39,92,0.588,0.308,1.076
2025-26,1630162,Anthony Edwards,1610612750,MIN,20,13,7,687.0,573,1464,673,127.0,5.21,5.2,0.391,10,23,24,1.5,0.435,0.875
2025-26,1630264,Anthony Gill,1610612764,WAS,10,0,10,32.0,17,33,24,1.2,2.17,0.88,0.515,2,0,3,1.0,0.0,1.333
2025-26,1641810,Antonio Reeves,1610612766,CHA,6,1,5,53.0,21,50,34,1.6,1.87,1.42,0.42,0,0,1,0.0,0.0,0.0
2025-26,1630574,Ariel Hukporti,1610612752,NYK,17,13,4,153.0,23,143,104,4.4,1.86,0.48,0.161,20,2,37,0.15,0.0,0.432
2025-26,1642854,Asa Newell,1610612737,ATL,18,12,6,168.0,91,224,135,5.6,1.51,0.65,0.406,8,1,26,0.75,0.0,0.923
2025-26,1641709,Ausar Thompson,1610612765,DET,22,16,6,582.0,253,1017,492,59.4,3.5,2.81,0.249,34,6,92,0.647,0.5,0.685
2025-26,1630559,Austin Reaves,1610612747,LAL,21,15,6,775.0,583,1680,654,132.9,4.75,4.29,0.347,10,0,14,0.9,0.0,1.0
2025-26,1630245,Ayo Dosunmu,1610612741,CHI,20,8,12,556.0,304,1001,548,52.8,3.16,2.76,0.304,7,0,18,0.857,0.0,0.889
2025-26,1628389,Bam Adebayo,1610612748,MIA,19,10,9,587.0,360,1006,555,40.2,2.4,1.53,0.358,49,31,79,0.898,0.419,0.911
2025-26,1631248,Baylor Scheierman,1610612738,BOS,22,14,8,265.0,68,279,164,10.1,2.16,0.99,0.244,0,0,6,0.0,0.0,0.667
