Season,PLAYER_ID,PLAYER_NAME,PLAYER_LAST_TEAM_ID,PLAYER_LAST_TEAM_ABBREVIATION,AGE,GP,G,FGA_FREQUENCY,FGM,FGA,FG_PCT,EFG_PCT,FG2A_FREQUENCY,FG2M,FG2A,FG2_PCT,FG3A_FREQUENCY,FG3M,FG3A,FG3_PCT
2013-14,201933,Blake Griffin,1610612746,LAC,25.0,80,78,0.265,149,342,0.436,0.449,0.245,140,316,0.443,0.02,9,26,0.346
2013-14,201567,Kevin Love,1610612750,MIN,25.0,77,75,0.251,159,340,0.468,0.643,0.049,40,66,0.606,0.202,119,274,0.434
2013-14,202330,Gordon Hayward,1610612762,UTA,24.0,77,76,0.34,132,333,0.396,0.488,0.149,71,146,0.486,0.191,61,187,0.326
2013-14,2772,Trevor Ariza,1610612764,WAS,28.0,76,74,0.414,153,330,0.464,0.648,0.066,31,53,0.585,0.347,122,277,0.44
2013-14,202083,Wesley Matthews,1610612757,POR,27.0,82,80,0.341,149,330,0.452,0.635,0.052,28,50,0.56,0.289,121,280,0.432
2013-14,2547,Chris Bosh,1610612748,MIA,30.0,79,78,0.352,152,324,0.469,0.557,0.18,95,166,0.572,0.172,57,158,0.361
2013-14,101112,Channing Frye,1610612756,PHX,31.0,82,80,0.41,127,313,0.406,0.565,0.067,27,51,0.529,0.343,100,262,0.382
2013-14,201586,Serge Ibaka,1610612760,OKC,24.0,81,80,0.313,145,296,0.49,0.527,0.258,123,244,0.504,0.055,22,52,0.423
2013-14,201150,Spencer Hawes,1610612739,CLE,26.0,80,78,0.356,136,294,0.463,0.641,0.069,31,57,0.544,0.287,105,237,0.443
2013-14,201144,Mike Conley,1610612763,MEM,26.0,73,71,0.296,127,290,0.438,0.553,0.113,60,111,0.541,0.183,67,179,0.374
2013-14,201939,Stephen Curry,1610612744,GSW,26.0,77,73,0.218,136,288,0.472,0.644,0.056,37,74,0.5,0.162,99,214,0.463
2013-14,201587,Nicolas Batum,1610612757,POR,25.0,82,79,0.359,125,287,0.436,0.598,0.07,32,56,0.571,0.289,93,231,0.403
2013-14,202691,Klay Thompson,1610612744,GSW,24.0,80,77,0.238,132,283,0.466,0.654,0.045,26,54,0.481,0.193,106,229,0.463
2013-14,201177,Josh McRoberts,1610612766,CHA,27.0,77,74,0.52,104,277,0.375,0.529,0.073,19,39,0.487,0.447,85,238,0.357
2013-14,101123,Gerald Green,1610612756,PHX,28.0,82,79,0.276,132,271,0.487,0.662,0.056,37,55,0.673,0.22,95,216,0.44
2013-14,203078,Bradley Beal,1610612764,WAS,21.0,72,69,0.247,125,269,0.465,0.613,0.091,45,99,0.455,0.156,80,170,0.471
2013-14,202331,Paul George,1610612754,IND,24.0,80,70,0.205,129,266,0.485,0.65,0.046,41,60,0.683,0.159,88,206,0.427
2013-14,203081,Damian Lillard,1610612757,POR,23.0,82,78,0.217,119,265,0.449,0.628,0.038,24,46,0.522,0.18,95,219,0.434
2013-14,202322,John Wall,1610612764,WAS,23.0,81,79,0.208,118,263,0.449,0.555,0.104,62,132,0.47,0.104,56,131,0.427
2013-14,2747,JR Smith,1610612752,NYK,28.0,74,70,0.274,111,257,0.432,0.599,0.058,25,54,0.463,0.217,86,203,0.424
2013-14,200751,Randy Foye,1610612743,DEN,30.0,81,74,0.306,114,255,0.447,0.627,0.041,22,34,0.647,0.266,92,221,0.416
2013-14,202688,Brandon Knight,1610612749,MIL,22.0,72,70,0.239,90,247,0.364,0.482,0.08,32,83,0.386,0.159,58,164,0.354
2013-14,200746,LaMarcus Aldridge,1610612757,POR,28.0,69,67,0.177,111,244,0.455,0.457,0.173,110,239,0.46,0.004,1,5,0.2
2013-14,201158,Marco Belinelli,1610612759,SAS,28.0,80,76,0.364,121,242,0.5,0.665,0.101,41,67,0.612,0.264,80,175,0.457
2013-14,201952,Jeff Teague,1610612737,ATL,26.0,78,75,0.254,101,242,0.417,0.537,0.081,43,77,0.558,0.173,58,165,0.352
2013-14,202689,Kemba Walker,1610612766,CHA,24.0,72,67,0.225,103,238,0.433,0.544,0.096,50,102,0.49,0.129,53,136,0.39
2013-14,101107,Marvin Williams,1610612762,UTA,28.0,66,63,0.466,84,237,0.354,0.489,0.12,20,61,0.328,0.346,64,176,0.364
