1,Tyrese Maxey,25,PHI,PG,11,11,445,23.9,.610,.398,.369,1.0,12.5,6.7,33.2,1.4,2.0,8.5,29.5,1.6,0.4,2.0,.219,6.7,0.3,6.9,1.0,,maxeyty01
2,Shai Gilgeous-Alexander,27,OKC,PG,13,13,441,32.2,.644,.287,.440,1.3,14.7,8.2,35.2,1.9,3.1,6.3,34.2,2.3,1.0,3.2,.353,9.5,3.0,12.5,1.6,,gilgesh01
3,Devin Booker,29,PHO,SG,12,12,434,20.6,.618,.284,.405,3.6,9.5,6.5,32.6,1.1,0.7,15.5,31.2,1.1,0.3,1.3,.146,3.3,-2.1,1.2,0.3,,bookede01
4,Derrick White,31,BOS,SG,13,13,422,15.2,.470,.568,.181,2.8,9.6,6.1,22.4,2.8,3.6,6.9,23.2,0.2,0.6,0.8,.095,0.8,1.6,2.4,0.5,,whitede01
5,Franz Wagner,24,ORL,SF,12,12,421,19.3,.592,.276,.427,7.0,13.1,10.1,17.3,1.6,1.2,9.5,24.9,1.0,0.5,1.4,.163,2.8,-0.4,2.5,0.5,,wagnefr01
6,Rui Hachimura,27,LAL,PF,12,12,415,13.6,.685,.370,.236,2.7,10.0,6.5,5.6,0.9,0.7,9.7,16.1,0.7,0.2,0.9,.100,0.8,-1.8,-0.9,0.1,,hachiru01
7,Payton Pritchard,28,BOS,PG,13,13,414,14.9,.539,.565,.194,3.1,10.6,6.8,23.5,1.3,0.0,8.9,20.8,0.7,0.4,1.0,.121,0.3,-0.3,0.0,0.2,,pritcpa01
8,Jaylen Brown,29,BOS,SF,13,13,411,21.6,.603,.279,.291,2.6,14.9,8.6,23.8,1.1,1.0,13.1,34.6,0.7,0.5,1.1,.130,3.9,-0.2,3.7,0.6,,brownja02
9,VJ Edgecombe,20,PHI,SG,11,11,410,11.6,.507,.377,.188,5.7,10.9,8.2,15.9,1.8,1.1,11.7,19.1,0.1,0.4,0.5,.057,-1.7,-0.3,-2.0,0.0,,edgecvj01
10,Cade Cunningham,24,DET,PG,11,11,407,20.8,.538,.300,.354,3.1,12.2,7.7,42.2,1.7,2.2,12.5,32.0,0.7,0.6,1.3,.151,3.9,0.3,4.2,0.6,,cunnica01
11,Grayson Allen,30,PHO,SG,12,12,405,16.9,.630,.671,.192,1.7,9.3,5.4,19.9,2.4,0.9,11.3,21.1,0.8,0.4,1.2,.142,2.3,-0.3,2.0,0.4,,allengr01
12,Kelly Oubre Jr.,30,PHI,SF,11,11,403,14.1,.619,.451,.250,3.8,12.7,8.2,5.4,1.3,2.3,9.6,18.2,0.5,0.4,0.9,.105,-0.2,-0.4,-0.6,0.1,,oubreke01
13,DeMar DeRozan,36,SAC,PF,12,12,402,16.0,.578,.173,.341,1.6,10.2,5.8,15.1,1.4,0.5,6.1,22.2,0.6,0.0,0.6,.071,0.2,-1.6,-1.4,0.1,,derozde01
14,Dyson Daniels,22,ATL,SG,12,12,396,11.9,.479,.114,.190,4.8,14.3,9.7,22.3,3.4,1.4,18.0,14.8,-0.1,0.7,0.6,.075,-3.4,2.5,-1.0,0.1,,daniedy01
